# Raster Studio interface strings, ja. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	日本語
Load path as a selection	パスを選択範囲として読み込む
Loaded file	読み込んだファイル
Lock	ロック
Lock All	すべてをロック
Lock Guides	ガイドをロック
Lock Image Pixels	画像ピクセルをロック
Lock Position	位置をロック
Lock Transparent Pixels	透明ピクセルをロック
Lock all	すべてをロック
Lock pixels	ピクセルをロック
Lock position	位置をロック
Lock transparent pixels	透明ピクセルをロック
Lookup table	ルックアップテーブル
Luminance	輝度
Luminance of the preview source; the markers are the black and white points.	プレビューのソースの輝度です。マーカーは黒点と白点です。
Luminosity	輝度
MP4…	MP4…
Magenta	マゼンタ
Magenta / Green	マゼンタ / グリーン
Magentas	マゼンタ系
Magic Cut	マジックカット
Magic Cut…	マジックカット…
Make Frames	フレームを作成
Make a selection first	先に選択範囲を作成してください
Make work path from selection	選択範囲から作業用パスを作成
Manual	手動
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	すべてのカラーを 1 つのパレットに割り当てます。ドキュメントは RGBA ピクセルのままで、GIF と PNG の書き出しにこのパレットが書き込まれます。
Maps the active layer onto a palette as one undo step; the document stays RGB.	アクティブなレイヤーを 1 回の取り消しステップでパレットに割り当てます。ドキュメントは RGB のままです。
Margins	マージン
Mark this state so you can come back to it	この状態に戻れるようにマークする
Mask	マスク
Mask source	マスクのソース
Match Color	カラーの適用
Match Color…	カラーの適用…
Matting	マット
Maximum	最大値
Maximum…	明るさの最大値…
Mean	平均
Median	中央値
Median…	明るさの中間値…
Medium	ミディアム
Memory	メモリ
Menu Bar and Canvas	メニューバーとカンバス
Merge	結合
Merge Channels	チャンネルの結合
Merge Channels…	チャンネルの結合…
Merge Down	下のレイヤーと結合
Merge Layers	レイヤーを結合
Merge Visible	表示レイヤーを結合
Merged	結合済み
Method	方法
Metrics	メトリクス
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	メトリクスはフォント自身のペアカーニングを使います。0 はカーニングを無効にします。手動は現在のテキストのすべての文字ペアの間に 1 つの値（1/1000 em）を入れ、後で入力した文字はカーニングなしで始まります。2 文字以上が必要なため、それより短いテキストや文字ツールの初期設定では選べません。シェーパーにはオプティカルカーニングがないため、そのモードはありません。
Mezzotint…	メゾティント…
Midtones	中間調
Millimeters	ミリメートル
Min diameter	最小直径
Min roundness	最小の真円率
Min size	最小サイズ
Minimal	最小
Minimum	最小値
Minimum size only applies when pressure controls size.	最小サイズは、筆圧でサイズを制御するときだけ適用されます。
Minimum…	明るさの最小値…
Miter	マイター
Mode	モード
Modify	選択範囲を変更
Monochrome	モノクロ
Monotone	モノトーン
More readouts	その他の表示
More tabs	その他のタブ
Mosaic…	モザイク…
Motion Blur…	ぼかし（移動）…
Move Layer	レイヤーを移動
Move a control first: these settings would change nothing	先にコントロールを動かしてください。この設定では何も変わりません
Move this panel	このパネルを移動
Move this panel within its dock	このパネルをドック内で移動
Move to	移動先
Move with the layer	レイヤーと一緒に移動
Multiply	乗算
Name	名前
Name Change	名前の変更
Name the channel first.	先にチャンネルに名前を付けてください。
Navigator	ナビゲーター
Nearest Neighbour	ニアレストネイバー
Neutralize	中和
Neutrals	ニュートラル系
New	新規
New Adjustment Layer	新規調整レイヤー
New Channel	新規チャンネル
New Document	新規ドキュメント
New Fill Layer	新規塗りつぶしレイヤー
New Guide	新規ガイド
New Guide Layout	新規ガイドレイアウト
New Guide Layout…	新規ガイドレイアウト…
New Guides from Shape	シェイプから新規ガイド
New Guide…	新規ガイド…
New Layer	新規レイヤー
New Layer Based Slice	レイヤーから新規スライス
New Selection	新規選択
New Smart Object via Copy	コピーから新規スマートオブジェクト
New Snapshot	新規スナップショット
New Spot Channel	新規スポットカラーチャンネル
New Spot Channel…	新規スポットカラーチャンネル…
New Style Preset	新規スタイルプリセット
New channel	新規チャンネル
New group	新規グループ
New layer	新規レイヤー
New layer comp	新規レイヤーカンプ
New note at the centre of the view	表示の中央に新規メモ
New path (saves the Work Path when it is selected)	新規パス（選択時は作業用パスを保存）
New set	新規セット
New size	新しいサイズ
New style from the active layer	アクティブなレイヤーから新規スタイル
New tool preset from the active tool	アクティブなツールから新規ツールプリセット
New {noun} from the active text layer	アクティブなテキストレイヤーから新規{noun}
New…	新規…
Next Blend Mode	次の描画モード
No Color	カラーなし
No character styles yet. New records the active text layer's font, size and look.	文字スタイルはまだありません。新規で、アクティブなテキストレイヤーのフォント、サイズ、外観を記録します。
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	このビルドにはチャンネルを選択範囲として読み込むコマンドがありません。代わりに選択範囲メニューの「選択範囲を読み込む」で保存済み選択範囲を復元します
No commands to bind	割り当てるコマンドがありません
No document	ドキュメントなし
No document is open	開いているドキュメントがありません
No export selected	書き出しが選択されていません
No faces listed for this family name	このファミリー名にはスタイルがありません
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	フレームはまだありません。「フレームを追加」で _a_ レイヤーを作成します。各レイヤーが 1 フレームで、一番下から順になります。
No guide crosses the canvas	カンバスを横切るガイドがありません
No installed family matches	一致するインストール済みファミリーがありません
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	レイヤーカンプはまだありません。新規レイヤーカンプで各レイヤーの表示状態、位置、外観を記録します。
No layers yet. Add one with the + button below.	レイヤーはまだありません。下の + ボタンで追加してください。
No layers yet: each top-level layer gets a bar on the timeline.	レイヤーはまだありません。最上位の各レイヤーにタイムラインのバーが付きます。
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	メモはまだありません。メモツール（I）でカンバスをクリックするか、「新規メモ」で表示の中央に貼り付けます。メモはドキュメントと一緒に保存され、書き出されることはありません。
No open document is the same size as this one	これと同じサイズの開いているドキュメントはありません
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	段落スタイルはまだありません。新規で、アクティブなテキストレイヤーの揃え、インデント、間隔を記録します。
No pattern chosen — the overlay paints nothing.	パターンが選択されていません。オーバーレイは何も描画しません。
No patterns are defined yet	定義済みのパターンはまだありません
No profile file was chosen	プロファイルファイルが選択されていません
No recent files yet	最近使用したファイルはまだありません
No selection has been saved	保存された選択範囲はありません
No source recorded for this object	このオブジェクトのソースは記録されていません
No stop selected	分岐点が選択されていません
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	スタイルプリセットはまだありません。「レイヤー > レイヤースタイル > スタイルプリセットを定義」で定義するか、「ファイル > 開く」（.asl）で Photoshop のライブラリを追加してください。
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	スタイルはまだありません。+ ボタンでアクティブなレイヤーのスタイルを保存し、「ファイル > 開く」で .asl スタイルライブラリを読み込みます。
No such command	そのようなコマンドはありません
No tool presets yet. New Tool Preset saves the active tool with its current options.	ツールプリセットはまだありません。新規ツールプリセットで、アクティブなツールを現在のオプションとともに保存します。
Noise	ノイズ
None	なし
Normal	通常
Normal Map…	法線マップ…
Not a hex colour	16 進数のカラーではありません
Not installed — shaping with	未インストール — 次のフォントで組版中：
Not saved yet	未保存
Notes	メモ
Nothing has changed	何も変更されていません
Nothing in this submenu is available right now	現在、このサブメニューで使用できる項目はありません
Nothing is left to learn the background from: paint over it with the background brush.	背景を学習する対象が残っていません。背景ブラシで塗ってください。
Nothing to measure yet — paint or place something on this layer first	まだ計測するものがありません。先にこのレイヤーに描画するか配置してください
Nothing to preview.	プレビューするものがありません。
OK	OK
Oblique	斜体
Off: the wheel pans the view and Ctrl+wheel zooms	オフ：ホイールで表示をスクロールし、Ctrl+ホイールでズームします
Offset…	スクロール…
Oil Paint…	油彩…
One page holding the flattened image; no vector content.	統合した画像を含む 1 ページです。ベクトルコンテンツはありません。
Onion skin	オニオンスキン
Only English is available in this build	このビルドでは英語のみ使用できます
Only a mask channel can be loaded as a selection here	ここで選択範囲として読み込めるのはマスクチャンネルだけです
Only web-safe colours	Web セーフカラーのみに制限
Opacity	不透明度
Opacity 10%	不透明度 10%
Opacity 100%	不透明度 100%
Opacity 20%	不透明度 20%
Opacity 30%	不透明度 30%
Opacity 40%	不透明度 40%
Opacity 50%	不透明度 50%
Opacity 60%	不透明度 60%
Opacity 70%	不透明度 70%
Opacity 80%	不透明度 80%
Opacity 90%	不透明度 90%
Opacity jitter	不透明度のジッター
Opacity key	不透明度のキー
Opacity must be between 0% and 100%	不透明度は 0%〜100% にしてください
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	不透明度はレイヤーとその効果を、塗りはレイヤー自身のピクセルだけを調整します。
Opacity stops sit above the bar, colour stops below it.	不透明度の分岐点はバーの上、カラーの分岐点は下にあります。
Open	開く
Open .ABR…	.ABR を開く…
Open .ACO…	.ACO を開く…
Open .ASL…	.ASL を開く…
Open Recent	最近使用したファイルを開く
Open a document first	先にドキュメントを開いてください
Open a document to animate it.	アニメーションにするドキュメントを開いてください。
Open a document to apply styles to its layers.	レイヤーにスタイルを適用するドキュメントを開いてください。
Open a document to insert glyphs into its text.	テキストに字形を挿入するドキュメントを開いてください。
Open a document to keep text styles in it.	テキストスタイルを保持するドキュメントを開いてください。
Open a document to lay guides out on it.	ガイドをレイアウトするドキュメントを開いてください。
Open a document to pin notes on it.	メモを貼るドキュメントを開いてください。
Open a document to record layer comps.	レイヤーカンプを記録するドキュメントを開いてください。
Open a document to see its CSS	ドキュメントを開くと CSS が表示されます
Open a document to see its facts.	ドキュメントを開くと情報が表示されます。
Open a document to see its histogram	ドキュメントを開くとヒストグラムが表示されます
Open a document to see its history	ドキュメントを開くとヒストリーが表示されます
Open a document to see its properties	ドキュメントを開くとプロパティが表示されます
Open another document, or add another pixel layer, to match its colours.	カラーを合わせるには、別のドキュメントを開くか、別のピクセルレイヤーを追加してください。
Open as	開く形式
Open editor…	エディターを開く…
Open the Adjustments panel	色調補正パネルを開く
Open…	開く…
Operation	操作
Orange	オレンジ
Other	その他
Out of gamut	色域外
Outer Glow	光彩（外側）
Outer Glow…	光彩（外側）…
Outline the path	パスの境界線を描く
Output	出力
Output channel	出力チャンネル
Outside	外側
Overlay	オーバーレイ
PBM…	PBM…
PDF Presentation…	PDF プレゼンテーション…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	ページ
Page {n}	{n} ページ
Page {page} opens at {w} x {h} px	{page} ページは {w} x {h} px で開きます
Pages	ページ
Paint	ペイント
Paint Filter Mask	フィルターマスクをペイント
Paint Mask	マスクをペイント
Paint over the part to keep with the foreground brush first.	先に、残す部分を描画色のブラシで塗ってください。
Paint over what to keep and over what to drop	残す部分と除く部分を塗ってください
Paint the inside of the path	パスの内側を塗りつぶす
Painting	ペイント
Paints a band along the active selection's border.	アクティブな選択範囲の境界に沿って帯を塗ります。
Pair kerning	ペアカーニング
Palette	パレット
Paragraph	段落
Paragraph Style	段落スタイル
Paragraph Styles	段落スタイル
Particles…	パーティクル…
Paste	ペースト
Paste Into	選択範囲内へペースト
Paste Layer Style	レイヤースタイルをペースト
Paste Outside	選択範囲外へペースト
Paste Special	特殊ペースト
Paste in Place	同じ位置にペースト
Path	パス
Path Blur…	パスぼかし…
Path editing lives in the Paths panel	パスの編集はパスパネルで行います
Paths	パス
Pattern	パターン
Pattern Dither	パターンディザ
Pattern Overlay	パターンオーバーレイ
Pattern Overlay…	パターンオーバーレイ…
Pattern Preview	パターンプレビュー
Pattern…	パターン…
Pencil 1px	鉛筆 1 px
Percent	パーセント
Perceptual	知覚的
Perspective	遠近法
Perspective Warp	遠近法ワープ
Photo Filter	レンズフィルター
Photo Filter…	レンズフィルター…
Photography	写真
Picas	パイカ
Pick a filter; it applies at its default settings.	フィルターを選んでください。初期設定で適用されます。
Pin Light	ピンライト
Pinch…	つまむ…
Pixel Grid	ピクセルグリッド
Pixel dimensions	ピクセル数
Pixel mask	ピクセルマスク
Pixelate	ピクセレート
Pixels	ピクセル
Place Embedded…	埋め込みを配置…
Place Linked…	リンクを配置…
Play	再生
Play from step	このステップから再生
Play selection	選択範囲を再生
Play this step (unchecked steps are passed over)	このステップを再生（チェックのないステップはスキップ）
Plays a recorded Action on every image in the source folder and saves each result to the destination.	記録したアクションをソースフォルダーの各画像で再生し、各結果を保存先に保存します。
Pointer	ポインター
Pointillize…	点描…
Points	ポイント
Polar Coordinates…	極座標…
Position	位置
Position is locked — unlock it in the Layers panel to move or resize	位置がロックされています。移動やサイズ変更をするには、レイヤーパネルでロックを解除してください
Position key	位置のキー
Posterize	ポスタリゼーション
Posterize…	ポスタリゼーション…
Precise Cursor	正確なカーソル
Preferences…	環境設定…
Preserve Transparency	透明部分の保持
Preserve luminosity	輝度を保持
Preset Manager…	プリセットマネージャー…
Press a key…	キーを押してください…
Pressure controls flow	筆圧で流量を制御
Pressure controls size	筆圧でサイズを制御
Preview	プレビュー
Preview against	プレビューの背景
Preview is off.	プレビューはオフです。
Previewed on the active layer; applied to its pixels as one undoable step.	アクティブなレイヤーでプレビューし、1 回の取り消し可能なステップでそのピクセルに適用します。
Previous Blend Mode	前の描画モード
Print Size	プリントサイズ
Print as PDF…	PDF としてプリント…
Print size	プリントサイズ
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	グレースケール画像を 1〜4 色のインキで、それぞれ独自のカーブを通してプリントします。モードを変更するとインキがピクセルに適用されます。
Print…	プリント…
Profile	プロファイル
Profile from File…	ファイルからプロファイル…
Profiles are assigned to RGB documents	プロファイルは RGB ドキュメントに指定します
Profiles are converted between in RGB documents	プロファイル間の変換は RGB ドキュメントで行います
Profiles belong to RGB documents; convert to RGB first	プロファイルは RGB ドキュメントのものです。先に RGB に変換してください
Proof Colors	校正カラー
Properties	プロパティ
Puppet Warp	パペットワープ
Purge	メモリをクリア
Purple	パープル
Quadtone	クワッドトーン
Quality	画質
Quick Export Layer as PNG…	レイヤーを PNG としてクイック書き出し…
Quit	終了
RGB Color	RGB カラー
Radial Blur…	ぼかし（放射状）…
Radius	半径
Radius (px)	半径（px）
Range	範囲
Raster Studio Help	Raster Studio ヘルプ
Rasterize	ラスタライズ
Reassign anyway	それでも割り当て直す
Recent	最近使用
Record	記録
Record Source Size	ソースサイズを記録
Record an Action in the Actions panel first	先にアクションパネルでアクションを記録してください
Record an edit, then replay the whole sequence on any document with at least as many layers.	編集を記録し、同じ数以上のレイヤーがある任意のドキュメントで一連の操作全体を再生します。
Record into set	セットに記録
Recording: every edit is captured until Stop	記録中：停止するまですべての編集が記録されます
Red	レッド
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	選択した{noun}をアクティブなテキストレイヤーから再定義し、それを使うすべてのレイヤーのスタイルを更新します
Redo	やり直し
Reds	レッド系
Reduce Colors	カラー数を減らす
Reduce Colors changed nothing: the layer already uses only colours of that palette	カラー数を減らすでは何も変わりませんでした。レイヤーは既にそのパレットのカラーだけを使っています
Reduce Colors: the layer now uses at most {n} colours	カラー数を減らす：レイヤーのカラー数は最大 {n} 色になりました
Reduce Colors…	カラー数を減らす…
Reduce Noise…	ノイズを軽減…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	グレースケール画像を純粋な白と黒にします。レイヤーは白の上で 1 つに統合されます。
Reference point: Bottom	基準点：下
Reference point: Bottom Left	基準点：左下
Reference point: Bottom Right	基準点：右下
Reference point: Centre	基準点：中央
Reference point: Left	基準点：左
Reference point: Right	基準点：右
Reference point: Top	基準点：上
Reference point: Top Left	基準点：左上
Reference point: Top Right	基準点：右上
Refine	調整
Refine Edge…	境界線を調整…
Refine Mask	マスクを調整
Refine Mask…	マスクを調整…
Regular	レギュラー
Relative	相対
Relative Colorimetric	相対的な色域を維持
Release Clipping Mask	クリッピングマスクを解除
Release Notes	リリースノート
Relink to File…	ファイルに再リンク…
Remove Black Matte	黒マット削除
Remove Color Fringe	カラーフリンジを除去
Remove Color Fringe…	カラーフリンジを除去…
Remove Fringe	フリンジ削除
Remove White Matte	白マット削除
Remove export	書き出しを削除
Remove this instance of the effect	この効果のインスタンスを削除
Remove this shortcut	このショートカットを削除
Rename Layer	レイヤー名を変更
Rename Layer…	レイヤー名を変更…
Rename set	セット名を変更
Render	描画
Rendering the preview…	プレビューをレンダリング中…
Repeat…	繰り返し…
Replace Color	色の置き換え
Replace Color…	色の置き換え…
Replace Contents	コンテンツを置き換え
Replace Contents…	コンテンツを置き換え…
Replace existing guides	既存のガイドを置き換え
Replay	もう一度再生
Report an Issue	問題を報告
Reselect	再選択
Reset	リセット
Reset Transform	変形をリセット
Reset View Rotation	表示の回転をリセット
Reset all shortcuts	すべてのショートカットをリセット
Resize Canvas	カンバスサイズを変更
Resize Images	画像をリサイズ
Resize Images…	画像をリサイズ…
Resolution	解像度
Resolution must be greater than zero	解像度は 0 より大きくしてください
Restore Layer	レイヤーを復元
Result	結果
Return this tool to its defaults	このツールを初期設定に戻す
Reveal All	すべての領域を表示
Reveal Selection	選択範囲を表示
Reverse	反転
Revert	復帰
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	各ピクセルレイヤーの値を書き換え、変換後のプロファイルで同じに見えるようにします。1 回の取り消しステップです。
Right	右
Right (narrow)	右（狭い）
Right (wide)	右（広い）
Right Edges	右端
Right indent	右インデント
Right-click a swatch to remove it	スウォッチを右クリックすると削除します
Ring	リング
Ripple…	波紋…
Rise	上昇
Rotate	回転
Rotate 180°	180° 回転
Rotate 90° Clockwise	90° 回転（時計回り）
Rotate 90° Counter Clockwise	90° 回転（反時計回り）
Rotate Canvas	画像の回転
Rotate the active layer so the measured line is level (Enter)	計測した線が水平になるようにアクティブなレイヤーを回転（Enter）
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	カンバスとすべてのレイヤーを回転します。直角はピクセル単位で正確で、その他の角度は再サンプルされます。
Rotation key	回転のキー
Round	丸型
Round (computed)	丸型（計算）
Rounded Steps	丸めたステップ
Roundness jitter	真円率のジッター
Rows	行
Rulers	定規
Run	実行
SVG…	SVG…
Same Radii	半径を統一
Sample a colour from the canvas	カンバスからカラーをサンプル
Sample radius	サンプル半径
Sampled	サンプル
Sampled colour	サンプルしたカラー
Sampled tip not loaded; painting round	サンプルした先端が読み込まれていません。円形で描画します
Satin…	サテン…
Saturation	彩度
Saturation jitter	彩度のジッター
Save	保存
Save As	別名で保存
Save As…	別名で保存…
Save Brush	ブラシを保存
Save Selection	選択範囲を保存
Save Selection…	選択範囲を保存…
Save actions	アクションを保存
Save as PSD…	PSD として保存…
Save current brush	現在のブラシを保存
Save selection as channel	選択範囲をチャンネルとして保存
Saves every image in the source folder to the destination in another format, quality or size.	ソースフォルダーの各画像を、別の形式、画質またはサイズで保存先に保存します。
Scale	拡大・縮小
Scale %	比率 %
Scale Effects	効果を拡大・縮小
Scale Effects…	効果を拡大・縮小…
Scale H	水平比率
Scale V	垂直比率
Scale key	拡大・縮小のキー
Scale:	比率：
Scales every size and distance of the active layer's style as one undo step.	アクティブなレイヤーのスタイルのすべてのサイズと距離を 1 回の取り消しステップで拡大・縮小します。
Scaling by 100% changes nothing	100% での拡大・縮小では何も変わりません
Scratch directory	仮想記憶ディスク
Screen	スクリーン
Screen, print and social presets	画面、印刷、ソーシャル用のプリセット
Script…	スクリプト…
Scroll wheel zooms instead of scrolling	ホイールでスクロールせずにズーム
Search Commands…	コマンドを検索…
Search layers	レイヤーを検索
Search layers by name	名前でレイヤーを検索
Select	選択範囲
Select All	すべてを選択
Select Bottom Layer	最下層のレイヤーを選択
Select Layer Above	上のレイヤーを選択
Select Layer Below	下のレイヤーを選択
Select Linked Layers	リンクしたレイヤーを選択
Select None	選択しない
Select Top Layer	最上層のレイヤーを選択
Select a layer first	先にレイヤーを選択してください
Select a layer to see its CSS	レイヤーを選択すると CSS が表示されます
Select a layer to see its properties	レイヤーを選択するとプロパティが表示されます
Select a layer: a click on a style applies it to the active layer.	レイヤーを選択してください。スタイルをクリックするとアクティブなレイヤーに適用されます。
Select a path first	先にパスを選択してください
Select a text layer, or type into one: a click inserts the glyph at the caret.	テキストレイヤーを選択するか入力してください。クリックすると字形がキャレット位置に挿入されます。
Select every pixel near one colour	1 つのカラーに近いすべてのピクセルを選択
Selection	選択範囲
Selection Edges	選択範囲の境界線
Selection: white is replaced, black is kept.	選択範囲：白は置き換えられ、黒は保持されます。
Selective Color	特定色域の選択
Selective Color…	特定色域の選択…
Selects a band of this width along the selection's edge	選択範囲の境界に沿ってこの幅の帯を選択します
Semi Condensed	セミコンデンス
Semi Expanded	セミエキスパンド
Semibold	セミボールド
Send Backward	背面へ
Send to Back	最背面へ
Separate documents	別々のドキュメント
Separate keywords with commas or semicolons.	キーワードはカンマまたはセミコロンで区切ります。
Sepia	セピア
Set	セット
Set the History Brush to paint from this state (the marked row)	ヒストリーブラシのソースをこの状態にする（マークした行）
Shadows	シャドウ
Shadows/Highlights	シャドウ・ハイライト
Shadows/Highlights…	シャドウ・ハイライト…
Shape	シェイプ
Shape Dynamics	シェイプ
Shape Mosaic…	シェイプモザイク…
Sharpen	シャープ
Sharpen Edges	シャープ（輪郭のみ）
Sharpen More	シャープ（強）
Sharpest, with a little ringing on hard edges.	最もシャープで、硬いエッジに少しリンギングが出ます。
Shear…	シアー…
Shift Edge	エッジをシフト
Show	表示
Show / Hide Layer	レイヤーの表示 / 非表示
Show / hide layer	レイヤーの表示 / 非表示
Show / hide the effects list	効果リストの表示 / 非表示
Show / hide the layer style	レイヤースタイルの表示 / 非表示
Show / hide this channel	このチャンネルの表示 / 非表示
Show / hide this effect	この効果の表示 / 非表示
Show / hide this path	このパスの表示 / 非表示
Show / hide this smart filter	このスマートフィルターの表示 / 非表示
Show Layers	レイヤーを表示
Show every layer	すべてのレイヤーを表示
Show or hide the position, size and alignment fields	位置、サイズ、整列のフィールドを表示または非表示
Show or hide the recorded steps	記録したステップを表示または非表示
Show or hide the set's actions	セットのアクションを表示または非表示
Show this alpha channel alone in grayscale and paint into it; click again to store it	このアルファチャンネルだけをグレースケールで表示してペイントします。もう一度クリックすると保存します
Sides	辺の数
Similar	近似色を選択
Size	サイズ
Size jitter	サイズのジッター
Skew	ゆがみ
Skewness	歪度
Slice Options	スライスオプション
Slice Options…	スライスオプション…
Slices	スライス
Slices from Guides	ガイドからスライス
Slices…	スライス…
Small	小
Small Caps	スモールキャップス
Smart Blur…	ぼかし（詳細）…
Smart Filter	スマートフィルター
Smart Filters	スマートフィルター
Smart Guides	スマートガイド
Smart Object	スマートオブジェクト
Smart Sharpen…	スマートシャープ…
Smart filter mask: click to paint on it	スマートフィルターマスク：クリックしてペイント
Smooth	滑らかに
Smooth Selection	選択範囲を滑らかに
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	「滑らかに」はグレースケールのエッジを描き、「なし」は硬いジャギーのエッジを描きます。字形スケーラーには滑らかなモードが 1 つしかないため、「シャープ」「鮮明」「強く」はありません。
Smooth…	滑らかに…
Snap	スナップ
Snap To	スナップ先
Soft Light	ソフトライト
Soft Round 100	ソフト円ブラシ 100
Soft Round 24	ソフト円ブラシ 24
Soft and cheap. Good for a small enlargement.	ソフトで軽い処理です。小さな拡大に向いています。
Softer Brush	柔らかいブラシ
Solarize	ソラリゼーション
Solid Color…	べた塗り…
Solidity	濃度
Source	ソース
Source 1	ソース 1
Source 2	ソース 2
Source Space	変換前のカラースペース
Spectrum	スペクトル
Spherize…	球面…
Spin Blur…	スピンぼかし…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	アクティブなレイヤーを、残差の上に重ねたリニアライトのディテールレイヤー（最も細かいものが一番上）に分割します。合わせると元のレイヤーに戻ります。
Spot Channel	スポットカラーチャンネル
Spot Channel Options…	スポットカラーチャンネルオプション…
Spot channel: composited over the image as its ink	スポットカラーチャンネル：インキとして画像の上に合成されます
Square	正方形
Squeeze	絞り込み
Stack Mode	スタックモード
Stamp Visible	表示レイヤーを結合したスタンプ
Standard	標準
Standard Deviation	標準偏差
Standard ligatures	欧文標準合字
Step Backward	1 段階戻る
Step Forward	1 段階進む
Stop	停止
Straighten Layer	レイヤーの角度補正
Strength	強さ
Stroke	境界線
Stroke path with the foreground colour at the brush size, on a new shape layer	新規シェイプレイヤーで、描画色とブラシサイズでパスの境界線を描く
Stroke…	境界線を描く…
Style	スタイル
Styles	スタイル
Styles enabled	スタイル有効
Stylize	表現手法
Sub	下付き
Subject	被写体
Subtract	減算
Subtract Front Shape	前面シェイプを削除
Subtract from Selection	現在の選択範囲から一部削除
Summation	合計
Sunset	夕焼け
Super	上付き
Superscript raises and shrinks the text; subscript lowers and shrinks it.	上付きは文字を上げて縮小し、下付きは下げて縮小します。
Surface Blur…	ぼかし（表面）…
Swap colours  (X)	描画色と背景色を入れ替え  (X)
Swap foreground and background (X)	描画色と背景色を入れ替え (X)
Swatches	スウォッチ
TGA…	TGA…
TIF…	TIF…
Templates	テンプレート
Text	テキスト
Text overflows the box	テキストがボックスからあふれています
Text replacement	テキストの置換
Texture Dilation…	テクスチャの拡張…
That channel is no longer in the document	そのチャンネルはもうドキュメント内にありません
That file could not be used:	そのファイルは使用できませんでした：
The CSV ends inside a quoted field	CSV が引用符で囲まれたフィールドの途中で終わっています
The CSV has a header but no data sets	CSV にヘッダーはありますがデータセットがありません
The CSV is empty	CSV が空です
The CSV names a variable that is not defined:	CSV に定義されていない変数名があります：
The active layer has no layer style to save	アクティブなレイヤーに保存するレイヤースタイルがありません
The active layer is not in the document	アクティブなレイヤーがドキュメントにありません
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	アクティブなスマートオブジェクトにソースフォルダーの各画像を順に表示し、各結果を PNG として保存先フォルダーに書き出します。
The amount must be within	値は次の範囲内にしてください
The angle must be a finite number of degrees	角度は有限の度数にしてください
The balanced default for photographs.	写真向けのバランスのとれた初期設定です。
The canvas grows to fit the rotated image.	回転した画像が収まるようにカンバスが大きくなります。
The canvas must be at least 1 x 1 pixel	カンバスは 1 x 1 ピクセル以上にしてください
The cell size must be 2 to 200 pixels	セルサイズは 2〜200 ピクセルにしてください
The cut is empty: paint more of the part to keep.	切り抜き結果が空です。残す部分をもっと塗ってください。
The destination is the profile the document already has	変換後のプロファイルはドキュメントの現在のプロファイルと同じです
The destination must be another folder than the source.	保存先はソースとは別のフォルダーにしてください。
The document has no layers	ドキュメントにレイヤーがありません
The document is already in {name}	ドキュメントは既に {name} です
The document is already tagged with this profile	ドキュメントには既にこのプロファイルが指定されています
The document is already tagged {name}	ドキュメントには既に {name} が指定されています
The document's own profile: {error}	ドキュメント自身のプロファイル：{error}
The first {shown} of {n} pages are listed; a longer file opens only those.	{n} ページのうち最初の {shown} ページを表示しています。それより長いファイルではこれらだけが開きます。
The image has no opaque pixels to count	画像に数えられる不透明ピクセルがありません
The ink is laid over the image; the selection, if there is one, is where it prints.	インキは画像の上に重ねられます。選択範囲がある場合はそこに印刷されます。
The last stop has no segment after it.	最後の分岐点の後にはセグメントがありません。
The layer has no pixels to cut.	レイヤーに切り抜くピクセルがありません。
The layer's pixels are locked	レイヤーのピクセルはロックされています
The list is empty	リストは空です
The margins and gutters leave no room for a column or a row	マージンと間隔で、列や行の余地がありません
The margins and gutters leave no room for a column or a row.	マージンと間隔で、列や行の余地がありません。
The name cannot be empty	名前は空にできません
The name has not changed	名前は変わっていません
