# Raster Studio interface strings, ko. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	한국어
Link selected layers	선택한 레이어 연결
Link with layer	레이어와 연결
Linked	연결됨
Linked file	연결된 파일
Liquify…	픽셀 유동화…
Live Shape	라이브 모양
Live preview	실시간 미리 보기
Live preview is off.	실시간 미리 보기가 꺼져 있습니다.
Load	불러오기
Load .atn	.atn 불러오기
Load .cube file…	.cube 파일 불러오기…
Load Selection	선택 영역 불러오기
Load Selection…	선택 영역 불러오기…
Load actions	액션 불러오기
Load channel as selection	채널을 선택 영역으로 불러오기
Load path as a selection	패스를 선택 영역으로 불러오기
Loaded file	불러온 파일
Lock	잠그기
Lock All	모두 잠그기
Lock Guides	안내선 잠그기
Lock Image Pixels	이미지 픽셀 잠그기
Lock Position	위치 잠그기
Lock Transparent Pixels	투명 픽셀 잠그기
Lock all	모두 잠그기
Lock pixels	픽셀 잠그기
Lock position	위치 잠그기
Lock transparent pixels	투명 픽셀 잠그기
Long-tap as a right click	길게 누르기를 오른쪽 클릭으로 사용
Lookup table	검색 표
Luminance	휘도
Luminance of the preview source; the markers are the black and white points.	미리 보기 소스의 휘도입니다. 표시자는 검정점과 흰색점입니다.
Luminosity	광도
MP4…	MP4…
Magenta	마젠타
Magenta / Green	마젠타 / 녹색
Magentas	마젠타 계열
Magic Cut	매직 컷
Magic Cut…	매직 컷…
Make Frames	프레임 만들기
Make a selection first	먼저 선택 영역을 만드세요
Make work path from selection	선택 영역에서 작업 패스 만들기
Manual	수동
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	모든 색상을 하나의 팔레트에 대응시킵니다. 문서는 RGBA 픽셀을 유지하며 GIF와 PNG 내보내기가 이 팔레트를 기록합니다.
Maps the active layer onto a palette as one undo step; the document stays RGB.	활성 레이어를 한 번의 실행 취소 단계로 팔레트에 대응시킵니다. 문서는 RGB로 유지됩니다.
Margins	여백
Mark this state so you can come back to it	이 상태로 돌아올 수 있도록 표시
Mask	마스크
Mask Properties	마스크 속성
Mask source	마스크 소스
Match Color	색상 일치
Match Color…	색상 일치…
Matting	매트
Maximum	최대
Maximum…	최대값…
Mean	평균
Median	중간값
Median…	중간값…
Medium	중간
Memory	메모리
Menu Bar and Canvas	메뉴 막대와 캔버스
Merge	병합
Merge Channels	채널 병합
Merge Channels…	채널 병합…
Merge Down	아래로 병합
Merge Layers	레이어 병합
Merge Visible	보이는 레이어 병합
Merged	병합됨
Method	방법
Metrics	메트릭
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	메트릭은 글꼴 자체의 쌍 커닝을 사용합니다. 0은 커닝을 끕니다. 수동은 현재 텍스트의 모든 문자 쌍 사이에 한 값(1/1000 em)을 넣으며, 나중에 입력한 문자는 커닝 없이 시작합니다. 문자가 두 개 이상 필요하므로 더 짧은 텍스트와 문자 도구 기본값에서는 제공되지 않습니다. 셰이퍼에 광학 커닝이 없어 해당 모드는 제공되지 않습니다.
Mezzotint…	메조틴트…
Midtones	중간 영역
Millimeters	밀리미터
Min diameter	최소 직경
Min roundness	최소 원형률
Min size	최소 크기
Minimal	최소
Minimum	최소
Minimum size only applies when pressure controls size.	최소 크기는 압력이 크기를 제어할 때만 적용됩니다.
Minimum…	최소값…
Miter	마이터
Mode	모드
Modify	수정
Monochrome	단색
Monotone	모노톤
More readouts	추가 판독값
More tabs	추가 탭
Mosaic…	모자이크…
Motion Blur…	동작 흐림 효과…
Move Layer	레이어 이동
Move a control first: these settings would change nothing	먼저 컨트롤을 움직이세요. 이 설정으로는 아무것도 바뀌지 않습니다
Move this panel	이 패널 이동
Move this panel within its dock	이 패널을 도크 안에서 이동
Move to	이동할 위치
Move with the layer	레이어와 함께 이동
Multiply	곱하기
Name	이름
Name Change	이름 변경
Name the channel first.	먼저 채널 이름을 지정하세요.
Navigator	내비게이터
Nearest Neighbour	최단입점
Neutralize	중화
Neutrals	중간색 계열
New	새로 만들기
New Adjustment Layer	새 조정 레이어
New Channel	새 채널
New Document	새 문서
New Fill Layer	새 칠 레이어
New Folder	새 폴더
New Guide	새 안내선
New Guide Layout	새 안내선 레이아웃
New Guide Layout…	새 안내선 레이아웃…
New Guides from Shape	모양에서 새 안내선
New Guide…	새 안내선…
New Layer	새 레이어
New Layer Based Slice	새 레이어 기반 분할 영역
New Selection	새 선택 영역
New Smart Object via Copy	복사를 통한 새 고급 개체
New Snapshot	새 스냅숏
New Spot Channel	새 별색 채널
New Spot Channel…	새 별색 채널…
New Style Preset	새 스타일 사전 설정
New Video Group	새 비디오 그룹
New channel	새 채널
New folder	새 폴더
New group	새 그룹
New layer	새 레이어
New layer comp	새 레이어 컴프
New note at the centre of the view	보기 가운데에 새 메모
New path (saves the Work Path when it is selected)	새 패스(작업 패스가 선택되어 있으면 저장)
New set	새 세트
New size	새 크기
New style from the active layer	활성 레이어에서 새 스타일
New tool preset from the active tool	활성 도구에서 새 도구 사전 설정
New {noun} from the active text layer	활성 텍스트 레이어에서 새 {noun}
New…	새로 만들기…
Next Blend Mode	다음 혼합 모드
No Color	색상 없음
No character styles yet. New records the active text layer's font, size and look.	아직 문자 스타일이 없습니다. 새로 만들기는 활성 텍스트 레이어의 글꼴, 크기, 모양을 기록합니다.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	이 빌드에는 채널을 선택 영역으로 불러오는 명령이 없습니다. 대신 선택 메뉴의 선택 영역 불러오기가 저장된 선택 영역을 복원합니다
No commands to bind	연결할 명령이 없습니다
No document	문서 없음
No document is open	열려 있는 문서가 없습니다
No export selected	선택한 내보내기가 없습니다
No faces listed for this family name	이 패밀리 이름에 나열된 서체가 없습니다
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	아직 프레임이 없습니다. 프레임 추가는 _a_ 레이어를 만듭니다. 각 레이어가 하나의 프레임이며 맨 아래부터 시작합니다.
No guide crosses the canvas	캔버스를 지나는 안내선이 없습니다
No installed family matches	일치하는 설치된 패밀리가 없습니다
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	아직 레이어 컴프가 없습니다. 새 레이어 컴프는 모든 레이어의 가시성, 위치, 모양을 기록합니다.
No layers yet. Add one with the + button below.	아직 레이어가 없습니다. 아래 + 버튼으로 추가하세요.
No layers yet: each top-level layer gets a bar on the timeline.	아직 레이어가 없습니다. 최상위 레이어마다 타임라인에 막대가 생깁니다.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	아직 메모가 없습니다. 메모 도구(I)로 캔버스를 클릭하거나 새 메모로 보기 가운데에 고정하세요. 메모는 문서와 함께 저장되며 내보내지 않습니다.
No open document is the same size as this one	이 문서와 크기가 같은 열린 문서가 없습니다
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	아직 단락 스타일이 없습니다. 새로 만들기는 활성 텍스트 레이어의 정렬, 들여쓰기, 간격을 기록합니다.
No pattern chosen — the overlay paints nothing.	패턴을 선택하지 않았습니다. 오버레이는 아무것도 칠하지 않습니다.
No patterns are defined yet	아직 정의된 패턴이 없습니다
No profile file was chosen	프로필 파일을 선택하지 않았습니다
No recent files yet	아직 최근 파일이 없습니다
No selection has been saved	저장된 선택 영역이 없습니다
No source recorded for this object	이 개체에 기록된 소스가 없습니다
No stop selected	선택한 정지점이 없습니다
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	아직 스타일 사전 설정이 없습니다. 레이어 > 레이어 스타일 > 스타일 사전 설정 정의로 만들거나 파일 > 열기(.asl)로 Photoshop 라이브러리를 추가하세요.
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	아직 스타일이 없습니다. + 버튼은 활성 레이어의 스타일을 저장하고, 파일 > 열기는 .asl 스타일 라이브러리를 불러옵니다.
No such command	그런 명령이 없습니다
No tool presets yet. New Tool Preset saves the active tool with its current options.	아직 도구 사전 설정이 없습니다. 새 도구 사전 설정은 활성 도구를 현재 옵션과 함께 저장합니다.
Noise	노이즈
None	없음
Normal	표준
Normal Map…	노멀 맵…
Not a hex colour	16진수 색상이 아닙니다
Not installed — shaping with	설치되지 않음 — 다음 글꼴로 조판:
Not saved yet	아직 저장되지 않음
Notes	메모
Nothing has changed	변경된 것이 없습니다
Nothing in this submenu is available right now	지금은 이 하위 메뉴에서 사용할 수 있는 항목이 없습니다
Nothing is left to learn the background from: paint over it with the background brush.	배경을 학습할 것이 남아 있지 않습니다. 배경 브러시로 칠하세요.
Nothing to measure yet — paint or place something on this layer first	아직 측정할 것이 없습니다. 먼저 이 레이어에 칠하거나 무언가를 배치하세요
Nothing to preview.	미리 볼 것이 없습니다.
OK	확인
Oblique	비스듬히
Off: the wheel pans the view and Ctrl+wheel zooms	끔: 휠은 보기를 이동하고 Ctrl+휠은 확대/축소합니다
Offset…	오프셋…
Oil Paint…	유화…
One page holding the flattened image; no vector content.	병합된 이미지가 담긴 한 페이지이며 벡터 내용은 없습니다.
Onion skin	어니언 스킨
Only English is available in this build	이 빌드에서는 영어만 사용할 수 있습니다
Only a mask channel can be loaded as a selection here	여기서는 마스크 채널만 선택 영역으로 불러올 수 있습니다
Only web-safe colours	웹 색상만
Opacity	불투명도
Opacity 10%	불투명도 10%
Opacity 100%	불투명도 100%
Opacity 20%	불투명도 20%
Opacity 30%	불투명도 30%
Opacity 40%	불투명도 40%
Opacity 50%	불투명도 50%
Opacity 60%	불투명도 60%
Opacity 70%	불투명도 70%
Opacity 80%	불투명도 80%
Opacity 90%	불투명도 90%
Opacity jitter	불투명도 지터
Opacity key	불투명도 키
Opacity must be between 0% and 100%	불투명도는 0%에서 100% 사이여야 합니다
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	불투명도는 레이어와 효과에, 칠은 레이어 자체 픽셀에만 적용됩니다.
Opacity stops sit above the bar, colour stops below it.	불투명도 정지점은 막대 위에, 색상 정지점은 아래에 있습니다.
Open	열기
Open .ABR…	.ABR 열기…
Open .ACO…	.ACO 열기…
Open .ASL…	.ASL 열기…
Open Recent	최근 파일 열기
Open a document first	먼저 문서를 여세요
Open a document to animate it.	애니메이션을 만들 문서를 여세요.
Open a document to apply styles to its layers.	레이어에 스타일을 적용할 문서를 여세요.
Open a document to insert glyphs into its text.	텍스트에 글리프를 삽입할 문서를 여세요.
Open a document to keep text styles in it.	텍스트 스타일을 보관할 문서를 여세요.
Open a document to lay guides out on it.	안내선을 배치할 문서를 여세요.
Open a document to pin notes on it.	메모를 고정할 문서를 여세요.
Open a document to record layer comps.	레이어 컴프를 기록할 문서를 여세요.
Open a document to see its CSS	CSS를 보려면 문서를 여세요
Open a document to see its facts.	정보를 보려면 문서를 여세요.
Open a document to see its histogram	히스토그램을 보려면 문서를 여세요
Open a document to see its history	작업 내역을 보려면 문서를 여세요
Open a document to see its properties	속성을 보려면 문서를 여세요
Open another document, or add another pixel layer, to match its colours.	색상을 일치시키려면 다른 문서를 열거나 픽셀 레이어를 하나 더 추가하세요.
Open as	열기 형식
Open editor…	편집기 열기…
Open or close the folder	폴더 열기 또는 닫기
Open the Adjustments panel	조정 패널 열기
Open…	열기…
Operation	작업
Orange	주황
Other	기타
Out of gamut	색상 영역 밖
Outer Glow	외부 광선
Outer Glow…	외부 광선…
Outline the path	패스 윤곽선 그리기
Output	출력
Output channel	출력 채널
Outside	바깥쪽
Overlay	오버레이
PBM…	PBM…
PDF Presentation…	PDF 프레젠테이션…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	페이지
Page {n}	{n}페이지
Page {page} opens at {w} x {h} px	{page}페이지는 {w} x {h} px로 열립니다
Pages	페이지
Paint	페인트
Paint Filter Mask	필터 마스크 칠하기
Paint Mask	마스크 칠하기
Paint over the part to keep with the foreground brush first.	먼저 전경 브러시로 남길 부분을 칠하세요.
Paint over what to keep and over what to drop	남길 부분과 버릴 부분을 칠하세요
Paint the inside of the path	패스 안쪽 칠하기
Painting	페인팅
Paints a band along the active selection's border.	활성 선택 영역의 테두리를 따라 띠를 칠합니다.
Pair kerning	쌍 커닝
Palette	팔레트
Paragraph	단락
Paragraph Style	단락 스타일
Paragraph Styles	단락 스타일
Particles…	파티클…
Paste	붙여넣기
Paste Into	안쪽에 붙여넣기
Paste Layer Style	레이어 스타일 붙여넣기
Paste Outside	바깥쪽에 붙여넣기
Paste Special	특수 붙여넣기
Paste in Place	제자리에 붙여넣기
Path	패스
Path Blur…	패스 흐림 효과…
Path editing lives in the Paths panel	패스 편집은 패스 패널에서 합니다
Paths	패스
Pattern	패턴
Pattern Dither	패턴 디더
Pattern Overlay	패턴 오버레이
Pattern Overlay…	패턴 오버레이…
Pattern Preview	패턴 미리 보기
Pattern…	패턴…
Pencil 1px	연필 1px
Percent	백분율
Perceptual	지각
Perspective	원근
Perspective Warp	원근 뒤틀기
Photo Filter	포토 필터
Photo Filter…	포토 필터…
Photography	사진
Picas	파이카
Pick a filter; it applies at its default settings.	필터를 고르세요. 기본 설정으로 적용됩니다.
Pin Light	핀 라이트
Pinch…	핀치…
Pixel Grid	픽셀 격자
Pixel dimensions	픽셀 크기
Pixel mask	픽셀 마스크
Pixel to Pixel	픽셀 대 픽셀
Pixelate	픽셀화
Pixels	픽셀
Place Embedded…	포함 가져오기…
Place Linked…	연결 가져오기…
Play	재생
Play from step	이 단계부터 재생
Play selection	선택 항목 재생
Play this step (unchecked steps are passed over)	이 단계 재생(선택하지 않은 단계는 건너뜀)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	소스 폴더의 모든 이미지에 기록된 액션을 재생하고 각 결과를 대상 위치에 저장합니다.
Pointer	포인터
Pointillize…	점묘화…
Points	포인트
Polar Coordinates…	극좌표…
Position	위치
Position is locked — unlock it in the Layers panel to move or resize	위치가 잠겨 있습니다. 이동하거나 크기를 조정하려면 레이어 패널에서 잠금을 해제하세요
Position key	위치 키
Posterize	포스터화
Posterize…	포스터화…
Precise Cursor	정밀 커서
Preferences…	환경 설정…
Preserve Transparency	투명도 유지
Preserve luminosity	광도 유지
Preset Manager…	사전 설정 관리자…
Press a key…	키를 누르세요…
Pressure controls flow	압력으로 흐름 제어
Pressure controls size	압력으로 크기 제어
Preview	미리 보기
Preview against	미리 보기 배경
Preview is off.	미리 보기가 꺼져 있습니다.
Previewed on the active layer; applied to its pixels as one undoable step.	활성 레이어에서 미리 보고, 실행 취소할 수 있는 한 단계로 픽셀에 적용합니다.
Previous Blend Mode	이전 혼합 모드
Print Size	인쇄 크기
Print as PDF…	PDF로 인쇄…
Print size	인쇄 크기
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	회색 음영 이미지를 각각 고유한 곡선을 거치는 1~4개의 잉크로 인쇄합니다. 모드를 바꾸면 잉크가 픽셀에 적용됩니다.
Print…	인쇄…
Profile	프로필
Profile from File…	파일에서 프로필…
Profiles are assigned to RGB documents	프로필은 RGB 문서에 지정합니다
Profiles are converted between in RGB documents	프로필 간 변환은 RGB 문서에서 합니다
Profiles belong to RGB documents; convert to RGB first	프로필은 RGB 문서에 속합니다. 먼저 RGB로 변환하세요
Proof Colors	색상 교정
Properties	속성
Puppet Warp	퍼펫 뒤틀기
Purge	제거
Purple	보라
Quadtone	4도
Quality	품질
Quick Export Layer as PNG…	레이어를 PNG로 빠른 내보내기…
Quit	종료
RGB Color	RGB 색상
Radial Blur…	방사형 흐림 효과…
Radius	반경
Radius (px)	반경(px)
Range	범위
Raster Studio Help	Raster Studio 도움말
Rasterize	래스터화
Reassign anyway	그래도 다시 지정
Recent	최근
Record	기록
Record Source Size	소스 크기 기록
Record an Action in the Actions panel first	먼저 액션 패널에서 액션을 기록하세요
Record an edit, then replay the whole sequence on any document with at least as many layers.	편집을 기록한 다음 레이어가 그만큼 이상 있는 문서에서 전체 순서를 재생하세요.
Record into set	세트에 기록
Recording: every edit is captured until Stop	기록 중: 중지할 때까지 모든 편집이 기록됩니다
Red	빨강
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	활성 텍스트 레이어에서 선택한 {noun}을(를) 다시 정의하고 이를 사용하는 모든 레이어의 스타일을 갱신합니다
Redo	다시 실행
Reds	빨강 계열
Reduce Colors	색상 수 줄이기
Reduce Colors changed nothing: the layer already uses only colours of that palette	색상 수 줄이기로 바뀐 것이 없습니다. 레이어가 이미 해당 팔레트의 색상만 사용합니다
Reduce Colors: the layer now uses at most {n} colours	색상 수 줄이기: 이제 레이어는 최대 {n}가지 색상을 사용합니다
Reduce Colors…	색상 수 줄이기…
Reduce Noise…	노이즈 감소…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	회색 음영 이미지를 순수한 흑백으로 줄입니다. 레이어는 흰색 위에서 하나로 병합됩니다.
Reference point: Bottom	기준점: 아래
Reference point: Bottom Left	기준점: 왼쪽 아래
Reference point: Bottom Right	기준점: 오른쪽 아래
Reference point: Centre	기준점: 가운데
Reference point: Left	기준점: 왼쪽
Reference point: Right	기준점: 오른쪽
Reference point: Top	기준점: 위
Reference point: Top Left	기준점: 왼쪽 위
Reference point: Top Right	기준점: 오른쪽 위
Refine	다듬기
Refine Edge…	가장자리 다듬기…
Refine Mask	마스크 다듬기
Refine Mask…	마스크 다듬기…
Regular	보통
Relative	상대
Relative Colorimetric	상대 색도계
Release Clipping Mask	클리핑 마스크 해제
Release Notes	릴리스 정보
Relink to File…	파일에 다시 연결…
Remove Black Matte	검정 매트 제거
Remove Color Fringe	색상 가장자리 제거
Remove Color Fringe…	색상 가장자리 제거…
Remove Fringe	가장자리 제거
Remove White Matte	흰색 매트 제거
Remove export	내보내기 제거
Remove this instance of the effect	이 효과 인스턴스 제거
Remove this shortcut	이 바로 가기 제거
Rename Layer	레이어 이름 바꾸기
Rename Layer…	레이어 이름 바꾸기…
Rename set	세트 이름 바꾸기
Render	렌더
Rendering the preview…	미리 보기 렌더링 중…
Repeat…	반복…
Replace Color	색상 대체
Replace Color…	색상 대체…
Replace Contents	내용 바꾸기
Replace Contents…	내용 바꾸기…
Replace existing guides	기존 안내선 바꾸기
Replay	다시 재생
Report an Issue	문제 보고
Reselect	다시 선택
Reset	재설정
Reset Transform	변형 재설정
Reset View Rotation	보기 회전 재설정
Reset all shortcuts	모든 바로 가기 재설정
Resize Canvas	캔버스 크기 조정
Resize Images	이미지 크기 조정
Resize Images…	이미지 크기 조정…
Resolution	해상도
Resolution must be greater than zero	해상도는 0보다 커야 합니다
Restore Layer	레이어 복원
Result	결과
Return this tool to its defaults	이 도구를 기본값으로 되돌리기
Reveal All	모두 나타내기
Reveal Selection	선택 영역 나타내기
Reverse	반전
Revert	되돌리기
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	대상 프로필에서 그림이 같게 보이도록 모든 픽셀 레이어의 값을 한 번의 실행 취소 단계로 다시 씁니다.
Right	오른쪽
Right (narrow)	오른쪽(좁게)
Right (wide)	오른쪽(넓게)
Right Edges	오른쪽 가장자리
Right indent	오른쪽 들여쓰기
Right-click a swatch to remove it	견본을 마우스 오른쪽 버튼으로 클릭하여 제거
Ring	고리
Ripple…	잔물결…
Rise	상승
Rotate	회전
Rotate 180°	180° 회전
Rotate 90° Clockwise	시계 방향으로 90° 회전
Rotate 90° Counter Clockwise	시계 반대 방향으로 90° 회전
Rotate Canvas	캔버스 회전
Rotate the active layer so the measured line is level (Enter)	측정한 선이 수평이 되도록 활성 레이어 회전(Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	캔버스와 모든 레이어를 회전합니다. 직각은 픽셀 단위로 정확하며 다른 각도는 리샘플링됩니다.
Rotation key	회전 키
Round	원형
Round (computed)	원형(계산됨)
Rounded Steps	둥근 단계
Roundness jitter	원형률 지터
Rows	행
Rulers	눈금자
Run	실행
SVG…	SVG…
Same Radii	같은 반경
Sample a colour from the canvas	캔버스에서 색상 샘플링
Sample radius	샘플 반경
Sampled	샘플링됨
Sampled colour	샘플링한 색상
Sampled tip not loaded; painting round	샘플링한 브러시 모양을 불러오지 않아 원형으로 칠합니다
Satin…	새틴…
Saturation	채도
Saturation jitter	채도 지터
Save	저장
Save As	다른 이름으로 저장
Save As…	다른 이름으로 저장…
Save Brush	브러시 저장
Save Selection	선택 영역 저장
Save Selection…	선택 영역 저장…
Save actions	액션 저장
Save as PSD…	PSD로 저장…
Save current brush	현재 브러시 저장
Save selection as channel	선택 영역을 채널로 저장
Saves every image in the source folder to the destination in another format, quality or size.	소스 폴더의 모든 이미지를 다른 형식, 품질 또는 크기로 대상 위치에 저장합니다.
Scale	비율
Scale %	비율 %
Scale Effects	효과 비율 조정
Scale Effects…	효과 비율 조정…
Scale H	가로 비율
Scale V	세로 비율
Scale key	비율 키
Scale:	비율:
Scales every size and distance of the active layer's style as one undo step.	활성 레이어 스타일의 모든 크기와 거리를 한 번의 실행 취소 단계로 비율 조정합니다.
Scaling by 100% changes nothing	100%로 비율 조정해도 바뀌는 것이 없습니다
Scratch directory	스크래치 디렉터리
Screen	스크린
Screen, print and social presets	화면, 인쇄, 소셜용 사전 설정
Script…	스크립트…
Scroll wheel zooms instead of scrolling	휠로 스크롤 대신 확대/축소
Search Commands…	명령 검색…
Search layers	레이어 검색
Search layers by name	이름으로 레이어 검색
Select	선택
Select All	모두 선택
Select Bottom Layer	맨 아래 레이어 선택
Select Layer Above	위 레이어 선택
Select Layer Below	아래 레이어 선택
Select Linked Layers	연결된 레이어 선택
Select None	선택 안 함
Select Top Layer	맨 위 레이어 선택
Select a layer first	먼저 레이어를 선택하세요
Select a layer to see its CSS	CSS를 보려면 레이어를 선택하세요
Select a layer to see its properties	속성을 보려면 레이어를 선택하세요
Select a layer: a click on a style applies it to the active layer.	레이어를 선택하세요. 스타일을 클릭하면 활성 레이어에 적용됩니다.
Select a path first	먼저 패스를 선택하세요
Select a text layer, or type into one: a click inserts the glyph at the caret.	텍스트 레이어를 선택하거나 입력하세요. 클릭하면 캐럿 위치에 글리프가 삽입됩니다.
Select a text layer to edit its type	텍스트를 편집하려면 텍스트 레이어를 선택하세요
Select every pixel near one colour	한 색상에 가까운 모든 픽셀 선택
Selection	선택 영역
Selection Edges	선택 영역 가장자리
Selection: white is replaced, black is kept.	선택 영역: 흰색은 대체되고 검정은 유지됩니다.
Selective Color	선택 색상
Selective Color…	선택 색상…
Selects a band of this width along the selection's edge	선택 영역 가장자리를 따라 이 너비의 띠를 선택합니다
Semi Condensed	약간 좁게
Semi Expanded	약간 넓게
Semibold	세미볼드
Send Backward	뒤로 보내기
Send to Back	맨 뒤로 보내기
Separate documents	별도의 문서
Separate keywords with commas or semicolons.	키워드는 쉼표나 세미콜론으로 구분하세요.
Sepia	세피아
Set	세트
Set the History Brush to paint from this state (the marked row)	작업 내역 브러시가 이 상태에서 칠하도록 설정(표시된 행)
Shadows	어두운 영역
Shadows/Highlights	어두운 영역/밝은 영역
Shadows/Highlights…	어두운 영역/밝은 영역…
Shape	모양
Shape Dynamics	모양 역학
Shape Mosaic…	모양 모자이크…
Shape Properties	모양 속성
Sharpen	선명하게
Sharpen Edges	가장자리 선명하게
Sharpen More	더 선명하게
Sharpest, with a little ringing on hard edges.	가장 선명하며 딱딱한 가장자리에 약간의 링잉이 생깁니다.
Shear…	기울임…
Shift Edge	가장자리 이동
Show	표시
Show / Hide Layer	레이어 표시 / 숨기기
Show / hide layer	레이어 표시 / 숨기기
Show / hide the effects list	효과 목록 표시 / 숨기기
Show / hide the layer style	레이어 스타일 표시 / 숨기기
Show / hide this channel	이 채널 표시 / 숨기기
Show / hide this effect	이 효과 표시 / 숨기기
Show / hide this path	이 패스 표시 / 숨기기
Show / hide this smart filter	이 고급 필터 표시 / 숨기기
Show Layers	레이어 표시
Show every layer	모든 레이어 표시
Show or hide the position, size and alignment fields	위치, 크기, 정렬 필드 표시 또는 숨기기
Show or hide the recorded steps	기록된 단계 표시 또는 숨기기
Show or hide the set's actions	세트의 액션 표시 또는 숨기기
Show this alpha channel alone in grayscale and paint into it; click again to store it	이 알파 채널만 회색 음영으로 표시하고 그 안에 칠합니다. 다시 클릭하면 저장합니다
Sides	면
Similar	유사 영역 선택
Size	크기
Size jitter	크기 지터
Skew	기울이기
Skewness	왜도
Slice Options	분할 영역 옵션
Slice Options…	분할 영역 옵션…
Slices	분할 영역
Slices from Guides	안내선에서 분할 영역
Slices…	분할 영역…
Small	작게
Small Caps	작은 대문자
Smart Blur…	고급 흐림 효과…
Smart Filter	고급 필터
Smart Filters	고급 필터
Smart Guides	고급 안내선
Smart Object	고급 개체
Smart Sharpen…	고급 선명 효과…
Smart filter mask: click to paint on it	고급 필터 마스크: 클릭하여 칠하기
Smooth	매끄럽게
Smooth Selection	선택 영역 매끄럽게
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	매끄럽게는 회색 음영 가장자리를, 없음은 딱딱한 계단 모양 가장자리를 그립니다. 글리프 스케일러에는 매끄러운 모드가 하나뿐이므로 선명하게, 뚜렷하게, 강하게는 제공되지 않습니다.
Smooth…	매끄럽게…
Snap	스냅
Snap To	스냅 대상
Soft Light	소프트 라이트
Soft Round 100	부드러운 원 100
Soft Round 24	부드러운 원 24
Soft and cheap. Good for a small enlargement.	부드럽고 가볍습니다. 약간 확대할 때 좋습니다.
Softer Brush	더 부드러운 브러시
Solarize	과대 노출
Solid Color…	단색…
Solidity	견고함
Source	소스
Source 1	소스 1
Source 2	소스 2
Source Space	소스 공간
Spectrum	스펙트럼
Spherize…	구형화…
Spin Blur…	회전 흐림 효과…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	활성 레이어를 잔여물 위의 선형 라이트 세부 레이어로 나눕니다(가장 세밀한 것이 맨 위). 합치면 원래 레이어가 됩니다.
Spot Channel	별색 채널
Spot Channel Options…	별색 채널 옵션…
Spot channel: composited over the image as its ink	별색 채널: 잉크로서 이미지 위에 합성됩니다
Square	정사각형
Squeeze	압착
Stack Mode	스택 모드
Stamp Visible	보이는 레이어 도장
Standard	표준
Standard Deviation	표준 편차
Standard ligatures	표준 합자
Step Backward	한 단계 뒤로
Step Forward	한 단계 앞으로
Stop	중지
Straighten Layer	레이어 똑바르게 하기
Strength	강도
Stroke	획
Stroke path with the foreground colour at the brush size, on a new shape layer	새 모양 레이어에서 전경색과 브러시 크기로 패스에 획 긋기
Stroke…	획…
Style	스타일
Styles	스타일
Styles enabled	스타일 사용
Stylize	스타일화
Sub	아래 첨자
Subject	피사체
Subtract	빼기
Subtract Front Shape	전면 모양 빼기
Subtract from Selection	선택 영역에서 빼기
Summation	합계
Sunset	일몰
Super	위 첨자
Superscript raises and shrinks the text; subscript lowers and shrinks it.	위 첨자는 텍스트를 올리고 줄이며, 아래 첨자는 내리고 줄입니다.
Surface Blur…	표면 흐림 효과…
Swap colours  (X)	색상 교체  (X)
Swap foreground and background (X)	전경색과 배경색 교체(X)
Swatches	견본
TGA…	TGA…
TIF…	TIF…
Templates	템플릿
Text	텍스트
Text Properties	텍스트 속성
Text overflows the box	텍스트가 상자를 넘칩니다
Text replacement	텍스트 대체
Texture Dilation…	텍스처 확장…
That channel is no longer in the document	해당 채널은 더 이상 문서에 없습니다
That file could not be used:	해당 파일을 사용할 수 없습니다:
The CSV ends inside a quoted field	CSV가 따옴표로 묶인 필드 안에서 끝납니다
The CSV has a header but no data sets	CSV에 머리글은 있지만 데이터 세트가 없습니다
The CSV is empty	CSV가 비어 있습니다
