# Raster Studio interface strings, ru. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Русский
Live Shape	Динамическая фигура
Live preview	Живой просмотр
Live preview is off.	Живой просмотр выключен.
Load	Загрузить
Load .atn	Загрузить .atn
Load .cube file…	Загрузить файл .cube…
Load Selection	Загрузить выделенную область
Load Selection…	Загрузить выделенную область…
Load actions	Загрузить операции
Load channel as selection	Загрузить канал как выделение
Load path as a selection	Загрузить контур как выделение
Loaded file	Загруженный файл
Lock	Закрепить
Lock All	Закрепить все
Lock Guides	Закрепить направляющие
Lock Image Pixels	Сохранять пикселы изображения
Lock Position	Закрепить положение
Lock Transparent Pixels	Сохранять прозрачность пикселов
Lock all	Закрепить все
Lock pixels	Закрепить пикселы
Lock position	Закрепить положение
Lock transparent pixels	Закрепить прозрачные пикселы
Lookup table	Таблица поиска
Luminance	Яркость
Luminance of the preview source; the markers are the black and white points.	Яркость источника превью; маркеры — точки чёрного и белого.
Luminosity	Яркость
MP4…	MP4…
Magenta	Пурпурный
Magenta / Green	Пурпурный / Зелёный
Magentas	Пурпурные
Magic Cut	Волшебная обрезка
Magic Cut…	Волшебная обрезка…
Make Frames	Создать кадры
Make a selection first	Сначала создайте выделение
Make work path from selection	Создать рабочий контур из выделения
Manual	Вручную
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Сопоставляет каждый цвет с одной палитрой. Документ сохраняет пикселы RGBA; экспорт в GIF и PNG записывает эту палитру.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Сопоставляет активный слой с палитрой за один шаг отмены; документ остаётся в RGB.
Margins	Поля
Mark this state so you can come back to it	Отметить это состояние, чтобы к нему вернуться
Mask	Маска
Mask source	Источник маски
Match Color	Подобрать цвет
Match Color…	Подобрать цвет…
Matting	Обработка краёв
Maximum	Максимум
Maximum…	Максимум…
Mean	Среднее
Median	Медиана
Median…	Медиана…
Medium	Средний
Memory	Память
Menu Bar and Canvas	Строка меню и холст
Merge	Объединить
Merge Channels	Объединить каналы
Merge Channels…	Объединить каналы…
Merge Down	Объединить с предыдущим
Merge Layers	Объединить слои
Merge Visible	Объединить видимые
Merged	Объединённый
Method	Метод
Metrics	Метрический
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Метрический использует парный кернинг шрифта; 0 отключает кернинг; Вручную ставит одно значение (1/1000 em) между каждой парой текущего текста, а символы, набранные позже, начинаются без кернинга; нужны хотя бы два символа, поэтому для более короткого текста и параметров по умолчанию инструмента «Текст» он не предлагается. У модуля шейпинга нет оптического кернинга, поэтому этот режим не предлагается.
Mezzotint…	Меццо-тинто…
Midtones	Средние тона
Millimeters	Миллиметры
Min diameter	Мин. диаметр
Min roundness	Мин. округлость
Min size	Мин. размер
Minimal	Минимальная
Minimum	Минимум
Minimum size only applies when pressure controls size.	Минимальный размер действует, только если нажим управляет размером.
Minimum…	Минимум…
Miter	Острый
Mode	Режим
Modify	Модификация
Monochrome	Монохромный
Monotone	Монотон
More readouts	Другие показатели
More tabs	Другие вкладки
Mosaic…	Мозаика…
Motion Blur…	Размытие в движении…
Move Layer	Переместить слой
Move a control first: these settings would change nothing	Сначала измените какой-либо параметр: эти настройки ничего не изменят
Move this panel	Переместить эту панель
Move this panel within its dock	Переместить эту панель внутри её дока
Move to	Переместить в
Move with the layer	Перемещать вместе со слоем
Multiply	Умножение
Name	Имя
Name Change	Смена имени
Name the channel first.	Сначала назовите канал.
Navigator	Навигатор
Nearest Neighbour	По соседним
Neutralize	Нейтрализовать
Neutrals	Нейтральные
New	Новый
New Adjustment Layer	Новый корректирующий слой
New Channel	Новый канал
New Document	Новый документ
New Fill Layer	Новый слой-заливка
New Guide	Новая направляющая
New Guide Layout	Новый макет направляющих
New Guide Layout…	Новый макет направляющих…
New Guides from Shape	Новые направляющие из фигуры
New Guide…	Новая направляющая…
New Layer	Новый слой
New Layer Based Slice	Новый фрагмент из слоя
New Selection	Новая выделенная область
New Smart Object via Copy	Новый смарт-объект через копирование
New Snapshot	Новый снимок
New Spot Channel	Новый канал плашечного цвета
New Spot Channel…	Новый канал плашечного цвета…
New Style Preset	Новый набор стилей
New channel	Новый канал
New group	Новая группа
New layer	Новый слой
New layer comp	Новая композиция слоёв
New note at the centre of the view	Новая заметка в центре вида
New path (saves the Work Path when it is selected)	Новый контур (сохраняет рабочий контур, если он выбран)
New set	Новый набор
New size	Новый размер
New style from the active layer	Новый стиль из активного слоя
New tool preset from the active tool	Новый набор параметров из активного инструмента
New {noun} from the active text layer	Новый элемент ({noun}) из активного текстового слоя
New…	Новый…
Next Blend Mode	Следующий режим наложения
No Color	Без цвета
No character styles yet. New records the active text layer's font, size and look.	Стилей символов пока нет. «Новый» запоминает шрифт, размер и вид активного текстового слоя.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	В этой сборке ни одна команда не загружает канал как выделение; «Загрузить выделенную область» в меню «Выделение» восстанавливает сохранённое выделение
No commands to bind	Нет команд для привязки
No document	Нет документа
No document is open	Нет открытых документов
No export selected	Экспорт не выбран
No faces listed for this family name	Для этого имени гарнитуры нет начертаний
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Кадров пока нет. «Добавить кадр» создаёт слой _a_: каждый такой слой — кадр, начиная с нижнего.
No guide crosses the canvas	Ни одна направляющая не пересекает холст
No installed family matches	Нет подходящих установленных гарнитур
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Композиций слоёв пока нет. «Новая композиция слоёв» запоминает видимость, положение и вид каждого слоя.
No layers yet. Add one with the + button below.	Слоёв пока нет. Добавьте слой кнопкой + внизу.
No layers yet: each top-level layer gets a bar on the timeline.	Слоёв пока нет: каждый слой верхнего уровня получает полосу на шкале времени.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Заметок пока нет. Щёлкните по холсту инструментом «Заметка» (I) или нажмите «Новая заметка», чтобы закрепить её в центре вида; заметки сохраняются с документом и никогда не экспортируются.
No open document is the same size as this one	Нет открытого документа такого же размера, как этот
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Стилей абзацев пока нет. «Новый» запоминает выключку, отступы и интервалы активного текстового слоя.
No pattern chosen — the overlay paints nothing.	Узор не выбран — наложение ничего не рисует.
No patterns are defined yet	Узоры пока не определены
No profile file was chosen	Файл профиля не выбран
No recent files yet	Недавних файлов пока нет
No selection has been saved	Ни одно выделение не сохранено
No source recorded for this object	Для этого объекта не записан источник
No stop selected	Контрольная точка не выбрана
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Наборов стилей пока нет. Определите его командой «Слои > Стиль слоя > Определить набор стилей» или добавьте библиотеку Photoshop через «Файл > Открыть» (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Стилей пока нет. Кнопка + сохраняет стиль активного слоя; «Файл > Открыть» загружает библиотеку стилей .asl.
No such command	Нет такой команды
No tool presets yet. New Tool Preset saves the active tool with its current options.	Наборов параметров инструментов пока нет. «Новый набор параметров» сохраняет активный инструмент с его текущими параметрами.
Noise	Шум
None	Нет
Normal	Обычные
Normal Map…	Карта нормалей…
Not a hex colour	Это не шестнадцатеричный цвет
Not installed — shaping with	Не установлен — набирается шрифтом
Not saved yet	Ещё не сохранено
Notes	Заметки
Nothing has changed	Ничего не изменилось
Nothing in this submenu is available right now	Сейчас ничего в этом подменю недоступно
Nothing is left to learn the background from: paint over it with the background brush.	Не осталось ничего, по чему можно изучить фон: закрасьте его кистью фона.
Nothing to measure yet — paint or place something on this layer first	Пока нечего измерять — сначала нарисуйте или поместите что-нибудь на этот слой
Nothing to preview.	Нечего показывать.
OK	ОК
Oblique	Наклонный
Off: the wheel pans the view and Ctrl+wheel zooms	Выкл.: колесо прокручивает вид, а Ctrl+колесо масштабирует
Offset…	Сдвиг…
Oil Paint…	Масляная краска…
One page holding the flattened image; no vector content.	Одна страница со сведённым изображением; без векторного содержимого.
Onion skin	Калька
Only English is available in this build	В этой сборке доступен только английский
Only a mask channel can be loaded as a selection here	Здесь как выделение можно загрузить только канал маски
Only web-safe colours	Только веб-цвета
Opacity	Непрозрачность
Opacity 10%	Непрозрачность 10%
Opacity 100%	Непрозрачность 100%
Opacity 20%	Непрозрачность 20%
Opacity 30%	Непрозрачность 30%
Opacity 40%	Непрозрачность 40%
Opacity 50%	Непрозрачность 50%
Opacity 60%	Непрозрачность 60%
Opacity 70%	Непрозрачность 70%
Opacity 80%	Непрозрачность 80%
Opacity 90%	Непрозрачность 90%
Opacity jitter	Колебание непрозрачности
Opacity key	Ключ непрозрачности
Opacity must be between 0% and 100%	Непрозрачность должна быть от 0% до 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	Непрозрачность масштабирует слой и его эффекты; «Заливка» — только собственные пикселы слоя.
Opacity stops sit above the bar, colour stops below it.	Контрольные точки непрозрачности находятся над полосой, точки цвета — под ней.
Open	Открыть
Open .ABR…	Открыть .ABR…
Open .ACO…	Открыть .ACO…
Open .ASL…	Открыть .ASL…
Open Recent	Последние документы
Open a document first	Сначала откройте документ
Open a document to animate it.	Откройте документ, чтобы анимировать его.
Open a document to apply styles to its layers.	Откройте документ, чтобы применять стили к его слоям.
Open a document to insert glyphs into its text.	Откройте документ, чтобы вставлять глифы в его текст.
Open a document to keep text styles in it.	Откройте документ, чтобы хранить в нём текстовые стили.
Open a document to lay guides out on it.	Откройте документ, чтобы расставить на нём направляющие.
Open a document to pin notes on it.	Откройте документ, чтобы закреплять на нём заметки.
Open a document to record layer comps.	Откройте документ, чтобы записывать композиции слоёв.
Open a document to see its CSS	Откройте документ, чтобы увидеть его CSS
Open a document to see its facts.	Откройте документ, чтобы увидеть сведения о нём.
Open a document to see its histogram	Откройте документ, чтобы увидеть его гистограмму
Open a document to see its history	Откройте документ, чтобы увидеть его историю
Open a document to see its properties	Откройте документ, чтобы увидеть его свойства
Open another document, or add another pixel layer, to match its colours.	Откройте другой документ или добавьте ещё один пиксельный слой, чтобы подобрать его цвета.
Open as	Открыть как
Open editor…	Открыть редактор…
Open the Adjustments panel	Открыть панель «Коррекция»
Open…	Открыть…
Operation	Операция
Orange	Оранжевый
Other	Другое
Out of gamut	Вне охвата
Outer Glow	Внешнее свечение
Outer Glow…	Внешнее свечение…
Outline the path	Обвести контур
Output	Выход
Output channel	Выходной канал
Outside	Снаружи
Overlay	Перекрытие
PBM…	PBM…
PDF Presentation…	PDF-презентация…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Страница
Page {n}	Страница {n}
Page {page} opens at {w} x {h} px	Страница {page} откроется размером {w} x {h} пикс.
Pages	Страницы
Paint	Рисование
Paint Filter Mask	Рисовать маску фильтра
Paint Mask	Рисовать маску
Paint over the part to keep with the foreground brush first.	Сначала закрасьте кистью основного цвета часть, которую нужно оставить.
Paint over what to keep and over what to drop	Закрасьте то, что нужно оставить, и то, что нужно убрать
Paint the inside of the path	Закрасить внутренность контура
Painting	Рисование
Paints a band along the active selection's border.	Рисует полосу вдоль границы активного выделения.
Pair kerning	Парный кернинг
Palette	Палитра
Paragraph	Абзац
Paragraph Style	Стиль абзаца
Paragraph Styles	Стили абзацев
Particles…	Частицы…
Paste	Вставить
Paste Into	Вставить в
Paste Layer Style	Вставить стиль слоя
Paste Outside	Вставить снаружи
Paste Special	Специальная вставка
Paste in Place	Вставить вместо
Path	Контур
Path Blur…	Размытие контура…
Path editing lives in the Paths panel	Редактирование контуров — на панели «Контуры»
Paths	Контуры
Pattern	Узор
Pattern Dither	Узорный дизеринг
Pattern Overlay	Перекрытие узора
Pattern Overlay…	Перекрытие узора…
Pattern Preview	Просмотр узора
Pattern…	Узор…
Pencil 1px	Карандаш 1 пикс.
Percent	Проценты
Perceptual	Перцепционный
Perspective	Перспектива
Perspective Warp	Деформация перспективы
Photo Filter	Фотофильтр
Photo Filter…	Фотофильтр…
Photography	Фотография
Picas	Пики
Pick a filter; it applies at its default settings.	Выберите фильтр; он применится с параметрами по умолчанию.
Pin Light	Точечный свет
Pinch…	Щипок…
Pixel Grid	Пиксельная сетка
Pixel dimensions	Размеры в пикселах
Pixel mask	Пиксельная маска
Pixelate	Оформление
Pixels	Пикселы
Place Embedded…	Поместить встроенные…
Place Linked…	Поместить связанные…
Play	Воспроизвести
Play from step	Воспроизвести с шага
Play selection	Воспроизвести выделенное
Play this step (unchecked steps are passed over)	Воспроизвести этот шаг (неотмеченные шаги пропускаются)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Воспроизводит записанную операцию для каждого изображения в исходной папке и сохраняет каждый результат в папке назначения.
Pointer	Указатель
Pointillize…	Пуантилизм…
Points	Пункты
Polar Coordinates…	Полярные координаты…
Position	Положение
Position is locked — unlock it in the Layers panel to move or resize	Положение закреплено — снимите закрепление на панели «Слои», чтобы перемещать или менять размер
Position key	Ключ положения
Posterize	Постеризация
Posterize…	Постеризация…
Precise Cursor	Точный курсор
Preferences…	Настройки…
Preserve Transparency	Сохранять прозрачность
Preserve luminosity	Сохранить яркость
Preset Manager…	Управление наборами…
Press a key…	Нажмите клавишу…
Pressure controls flow	Нажим управляет потоком
Pressure controls size	Нажим управляет размером
Preview	Просмотр
Preview against	Просмотр на фоне
Preview is off.	Просмотр выключен.
Previewed on the active layer; applied to its pixels as one undoable step.	Просмотр на активном слое; применяется к его пикселам одним отменяемым шагом.
Previous Blend Mode	Предыдущий режим наложения
Print Size	Размер оттиска
Print as PDF…	Печать в PDF…
Print size	Размер при печати
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Печатает изображение в градациях серого одной–четырьмя красками, каждой по своей кривой. Краски применяются к пикселам при смене режима.
Print…	Печать…
Profile	Профиль
Profile from File…	Профиль из файла…
Profiles are assigned to RGB documents	Профили назначаются документам RGB
Profiles are converted between in RGB documents	Преобразование между профилями выполняется в документах RGB
Profiles belong to RGB documents; convert to RGB first	Профили относятся к документам RGB; сначала преобразуйте в RGB
Proof Colors	Цветопроба
Properties	Свойства
Puppet Warp	Марионеточная деформация
Purge	Удалить из памяти
Purple	Фиолетовая
Quadtone	Квадротон
Quality	Качество
Quick Export Layer as PNG…	Быстрый экспорт слоя в PNG…
Quit	Выход
RGB Color	Цвета RGB
Radial Blur…	Радиальное размытие…
Radius	Радиус
Radius (px)	Радиус (пикс.)
Range	Диапазон
Raster Studio Help	Справка Raster Studio
Rasterize	Растрировать
Reassign anyway	Всё равно переназначить
Recent	Недавние
Record	Запись
Record Source Size	Записать размер источника
Record an Action in the Actions panel first	Сначала запишите операцию на панели «Операции»
Record an edit, then replay the whole sequence on any document with at least as many layers.	Запишите правку, затем воспроизведите всю последовательность на любом документе, где слоёв не меньше.
Record into set	Записать в набор
Recording: every edit is captured until Stop	Запись: каждая правка фиксируется до нажатия «Стоп»
Red	Красный
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Переопределить выбранное ({noun}) по активному текстовому слою и обновить стиль каждого слоя, который его использует
Redo	Повторить
Reds	Красные
Reduce Colors	Уменьшить число цветов
Reduce Colors changed nothing: the layer already uses only colours of that palette	Уменьшение числа цветов ничего не изменило: слой уже использует только цвета этой палитры
Reduce Colors: the layer now uses at most {n} colours	Уменьшение числа цветов: теперь в слое не более {n} цветов
Reduce Colors…	Уменьшить число цветов…
Reduce Noise…	Уменьшить шум…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Сводит изображение в градациях серого к чистому чёрному и белому. Слои сводятся в один поверх белого.
Reference point: Bottom	Опорная точка: внизу
Reference point: Bottom Left	Опорная точка: внизу слева
Reference point: Bottom Right	Опорная точка: внизу справа
Reference point: Centre	Опорная точка: центр
Reference point: Left	Опорная точка: слева
Reference point: Right	Опорная точка: справа
Reference point: Top	Опорная точка: вверху
Reference point: Top Left	Опорная точка: вверху слева
Reference point: Top Right	Опорная точка: вверху справа
Refine	Уточнить
Refine Edge…	Уточнить край…
Refine Mask	Уточнить маску
Refine Mask…	Уточнить маску…
Regular	Обычный
Relative	Относительно
Relative Colorimetric	Относительный колориметрический
Release Clipping Mask	Отменить обтравочную маску
Release Notes	Заметки о выпуске
Relink to File…	Заново связать с файлом…
Remove Black Matte	Удалить чёрный ореол
Remove Color Fringe	Удалить цветную кайму
Remove Color Fringe…	Удалить цветную кайму…
Remove Fringe	Устранить кайму
Remove White Matte	Удалить белый ореол
Remove export	Удалить экспорт
Remove this instance of the effect	Удалить этот экземпляр эффекта
Remove this shortcut	Удалить это сочетание клавиш
Rename Layer	Переименовать слой
Rename Layer…	Переименовать слой…
Rename set	Переименовать набор
Render	Рендеринг
Rendering the preview…	Рендеринг превью…
Repeat…	Повторить…
Replace Color	Заменить цвет
Replace Color…	Заменить цвет…
Replace Contents	Заменить содержимое
Replace Contents…	Заменить содержимое…
Replace existing guides	Заменить существующие направляющие
Replay	Воспроизвести снова
Report an Issue	Сообщить о проблеме
Reselect	Выделить снова
Reset	Сбросить
Reset Transform	Сбросить трансформацию
Reset View Rotation	Сбросить поворот вида
Reset all shortcuts	Сбросить все сочетания клавиш
Resize Canvas	Изменить размер холста
Resize Images	Изменить размер изображений
Resize Images…	Изменить размер изображений…
Resolution	Разрешение
Resolution must be greater than zero	Разрешение должно быть больше нуля
Restore Layer	Восстановить слой
Result	Результат
Return this tool to its defaults	Вернуть этому инструменту значения по умолчанию
Reveal All	Показать все
Reveal Selection	Показать выделенную область
Reverse	Обратить
Revert	Восстановить
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Переписывает значения каждого пиксельного слоя, чтобы изображение выглядело так же в целевом профиле, одним шагом отмены.
Right	Справа
Right (narrow)	Справа (узкая)
Right (wide)	Справа (широкая)
Right Edges	Правые края
Right indent	Отступ справа
Right-click a swatch to remove it	Щёлкните образец правой кнопкой, чтобы удалить его
Ring	Кольцо
Ripple…	Рябь…
Rise	Подъём
Rotate	Повернуть
Rotate 180°	Повернуть на 180°
Rotate 90° Clockwise	Повернуть на 90° по часовой
Rotate 90° Counter Clockwise	Повернуть на 90° против часовой
Rotate Canvas	Вращение холста
Rotate the active layer so the measured line is level (Enter)	Повернуть активный слой, чтобы измеренная линия стала горизонтальной (Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Поворачивает холст и все слои. Прямые углы точны до пиксела; другие углы пересчитываются.
Rotation key	Ключ поворота
Round	Круглый
Round (computed)	Круглый (вычисленный)
Rounded Steps	Скруглённые шаги
Roundness jitter	Колебание округлости
Rows	Строки
Rulers	Линейки
Run	Запустить
SVG…	SVG…
Same Radii	Одинаковые радиусы
Sample a colour from the canvas	Взять образец цвета с холста
Sample radius	Радиус образца
Sampled	Образец
Sampled colour	Цвет образца
Sampled tip not loaded; painting round	Кончик-образец не загружен; рисуется круглым
Satin…	Глянец…
Saturation	Насыщенность
Saturation jitter	Колебание насыщенности
Save	Сохранить
Save As	Сохранить как
Save As…	Сохранить как…
Save Brush	Сохранить кисть
Save Selection	Сохранить выделенную область
Save Selection…	Сохранить выделенную область…
Save actions	Сохранить операции
Save as PSD…	Сохранить как PSD…
Save current brush	Сохранить текущую кисть
Save selection as channel	Сохранить выделение как канал
Saves every image in the source folder to the destination in another format, quality or size.	Сохраняет каждое изображение из исходной папки в папку назначения в другом формате, качестве или размере.
Scale	Масштаб
Scale %	Масштаб %
Scale Effects	Масштабировать эффекты
Scale Effects…	Масштабировать эффекты…
Scale H	Масштаб по гор.
Scale V	Масштаб по верт.
Scale key	Ключ масштаба
Scale:	Масштаб:
Scales every size and distance of the active layer's style as one undo step.	Масштабирует каждый размер и расстояние стиля активного слоя одним шагом отмены.
Scaling by 100% changes nothing	Масштаб 100% ничего не меняет
Scratch directory	Рабочая папка
Screen	Экран
Screen, print and social presets	Наборы для экрана, печати и соцсетей
Script…	Сценарий…
Scroll wheel zooms instead of scrolling	Колесо масштабирует, а не прокручивает
Search Commands…	Поиск команд…
Search layers	Поиск слоёв
Search layers by name	Поиск слоёв по имени
Select	Выделение
Select All	Все
Select Bottom Layer	Выделить нижний слой
Select Layer Above	Выделить слой выше
Select Layer Below	Выделить слой ниже
Select Linked Layers	Выделить связанные слои
Select None	Снять выделение
Select Top Layer	Выделить верхний слой
Select a layer first	Сначала выберите слой
Select a layer to see its CSS	Выберите слой, чтобы увидеть его CSS
Select a layer to see its properties	Выберите слой, чтобы увидеть его свойства
Select a layer: a click on a style applies it to the active layer.	Выберите слой: щелчок по стилю применяет его к активному слою.
Select a path first	Сначала выберите контур
Select a text layer, or type into one: a click inserts the glyph at the caret.	Выберите текстовый слой или печатайте в нём: щелчок вставляет глиф в позицию курсора.
Select every pixel near one colour	Выделить все пикселы, близкие к одному цвету
Selection	Выделение
Selection Edges	Края выделения
Selection: white is replaced, black is kept.	Выделение: белое заменяется, чёрное сохраняется.
Selective Color	Выборочная коррекция цвета
Selective Color…	Выборочная коррекция цвета…
Selects a band of this width along the selection's edge	Выделяет полосу такой ширины вдоль края выделения
Semi Condensed	Полуузкий
Semi Expanded	Полуширокий
Semibold	Полужирный
Send Backward	Переложить назад
Send to Back	На задний план
Separate documents	Отдельные документы
Separate keywords with commas or semicolons.	Разделяйте ключевые слова запятыми или точками с запятой.
Sepia	Сепия
Set	Набор
Set the History Brush to paint from this state (the marked row)	Сделать это состояние источником архивной кисти (отмеченная строка)
Shadows	Тени
Shadows/Highlights	Тени/Света
Shadows/Highlights…	Тени/Света…
Shape	Фигура
Shape Dynamics	Динамика формы
Shape Mosaic…	Мозаика из фигур…
Sharpen	Резкость
Sharpen Edges	Резкость на краях
Sharpen More	Резкость +
Sharpest, with a little ringing on hard edges.	Самая резкая, с небольшим звоном на жёстких краях.
Shear…	Искривление…
Shift Edge	Сместить край
Show	Показать
Show / Hide Layer	Показать / скрыть слой
Show / hide layer	Показать / скрыть слой
Show / hide the effects list	Показать / скрыть список эффектов
Show / hide the layer style	Показать / скрыть стиль слоя
Show / hide this channel	Показать / скрыть этот канал
Show / hide this effect	Показать / скрыть этот эффект
Show / hide this path	Показать / скрыть этот контур
Show / hide this smart filter	Показать / скрыть этот смарт-фильтр
Show Layers	Показать слои
Show every layer	Показать каждый слой
Show or hide the position, size and alignment fields	Показать или скрыть поля положения, размера и выравнивания
Show or hide the recorded steps	Показать или скрыть записанные шаги
Show or hide the set's actions	Показать или скрыть операции набора
Show this alpha channel alone in grayscale and paint into it; click again to store it	Показать только этот альфа-канал в градациях серого и рисовать в нём; щёлкните снова, чтобы сохранить его
Sides	Стороны
Similar	Подобные оттенки
Size	Размер
Size jitter	Колебание размера
Skew	Наклон
Skewness	Асимметрия
Slice Options	Параметры фрагмента
Slice Options…	Параметры фрагмента…
Slices	Фрагменты
Slices from Guides	Фрагменты по направляющим
Slices…	Фрагменты…
Small	Мелкий
Small Caps	Капитель
Smart Blur…	«Умное» размытие…
Smart Filter	Смарт-фильтр
Smart Filters	Смарт-фильтры
Smart Guides	Быстрые направляющие
Smart Object	Смарт-объект
Smart Sharpen…	«Умная» резкость…
Smart filter mask: click to paint on it	Маска смарт-фильтра: щёлкните, чтобы рисовать на ней
Smooth	Плавное
Smooth Selection	Сгладить выделение
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	«Плавное» рисует края в градациях серого; «Нет» — жёсткие ступенчатые края. У масштабирования глифов один плавный режим, поэтому «Резкое», «Чёткое» и «Сильное» не предлагаются.
Smooth…	Сгладить…
Snap	Привязка
Snap To	Привязать к
Soft Light	Мягкий свет
Soft Round 100	Мягкая круглая 100
Soft Round 24	Мягкая круглая 24
Soft and cheap. Good for a small enlargement.	Мягко и дёшево. Годится для небольшого увеличения.
Softer Brush	Более мягкая кисть
Solarize	Соляризация
Solid Color…	Цвет…
Solidity	Плотность
Source	Источник
Source 1	Источник 1
Source 2	Источник 2
Source Space	Исходное пространство
Spectrum	Спектр
Spherize…	Сферизация…
Spin Blur…	Размытие вращения…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Разбивает активный слой на слои деталей в режиме «Линейный свет» над остатком, самый мелкий сверху; вместе они снова дают слой.
Spot Channel	Канал плашечного цвета
Spot Channel Options…	Параметры канала плашечного цвета…
Spot channel: composited over the image as its ink	Канал плашечного цвета: накладывается на изображение как его краска
Square	Квадрат
Squeeze	Сжатие
Stack Mode	Режим стека
Stamp Visible	Штамп видимых
Standard	Стандартный
Standard Deviation	Стандартное отклонение
Standard ligatures	Стандартные лигатуры
Step Backward	Шаг назад
Step Forward	Шаг вперёд
Stop	Стоп
Straighten Layer	Выпрямить слой
Strength	Сила
Stroke	Обводка
Stroke path with the foreground colour at the brush size, on a new shape layer	Обвести контур основным цветом размером кисти на новом слое-фигуре
Stroke…	Выполнить обводку…
Style	Стиль
Styles	Стили
Styles enabled	Стили включены
Stylize	Стилизация
Sub	Нижний
Subject	Объект
Subtract	Вычитание
Subtract Front Shape	Вычесть переднюю фигуру
Subtract from Selection	Вычесть из выделенной области
Summation	Сумма
Sunset	Закат
Super	Верхний
Superscript raises and shrinks the text; subscript lowers and shrinks it.	Верхний индекс поднимает и уменьшает текст; нижний опускает и уменьшает его.
Surface Blur…	Размытие по поверхности…
Swap colours  (X)	Поменять цвета  (X)
Swap foreground and background (X)	Поменять основной и фоновый цвета (X)
Swatches	Образцы
TGA…	TGA…
TIF…	TIF…
Templates	Шаблоны
Text	Текст
Text overflows the box	Текст не помещается в рамку
Text replacement	Замена текста
Texture Dilation…	Расширение текстуры…
That channel is no longer in the document	Этого канала больше нет в документе
That file could not be used:	Этот файл нельзя использовать:
The CSV ends inside a quoted field	CSV заканчивается внутри поля в кавычках
The CSV has a header but no data sets	В CSV есть заголовок, но нет наборов данных
The CSV is empty	CSV пуст
The CSV names a variable that is not defined:	В CSV упомянута неопределённая переменная:
The active layer has no layer style to save	У активного слоя нет стиля слоя для сохранения
The active layer is not in the document	Активного слоя нет в документе
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	Активный смарт-объект по очереди показывает каждое изображение из исходной папки; каждый результат экспортируется в PNG в папку назначения.
The amount must be within	Значение должно быть в пределах
The angle must be a finite number of degrees	Угол должен быть конечным числом градусов
The balanced default for photographs.	Сбалансированный вариант по умолчанию для фотографий.
The canvas grows to fit the rotated image.	Холст увеличивается, чтобы вместить повёрнутое изображение.
The canvas must be at least 1 x 1 pixel	Холст должен быть не меньше 1 x 1 пиксел
The cell size must be 2 to 200 pixels	Размер ячейки должен быть от 2 до 200 пикселов
The cut is empty: paint more of the part to keep.	Вырез пуст: закрасьте больше той части, которую нужно оставить.
The destination is the profile the document already has	Целевой профиль совпадает с профилем документа
The destination must be another folder than the source.	Папка назначения должна отличаться от исходной.
The document has no layers	В документе нет слоёв
The document is already in {name}	Документ уже в {name}
The document is already tagged with this profile	Документу уже назначен этот профиль
The document is already tagged {name}	Документу уже назначен {name}
The document's own profile: {error}	Собственный профиль документа: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Показаны первые {shown} из {n} страниц; более длинный файл открывает только их.
The image has no opaque pixels to count	В изображении нет непрозрачных пикселов для подсчёта
The ink is laid over the image; the selection, if there is one, is where it prints.	Краска накладывается на изображение; если есть выделение, она печатается в нём.
The last stop has no segment after it.	После последней контрольной точки нет сегмента.
The layer has no pixels to cut.	В слое нет пикселов для выреза.
The layer's pixels are locked	Пикселы слоя закреплены
The list is empty	Список пуст
