# Raster Studio interface strings, pl. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Polski
Import a CSV of data sets first	Najpierw zaimportuj CSV ze zbiorami danych
Import a CSV: the first row names the variables, every further row is one data set.	Zaimportuj CSV: pierwszy wiersz nazywa zmienne, każdy kolejny wiersz to jeden zbiór danych.
In use	W użyciu
Inches	Cale
Indexed Color	Kolor indeksowany
Indexed Color…	Kolor indeksowany…
Inflate	Nadmuchanie
Info	Informacje
Ink	Farba
Ink Color	Kolor farby
Ink printed at 0, 25, 50, 75 and 100% tint	Farba drukowana w tincie 0, 25, 50, 75 i 100%
Inner Glow	Blask wewnętrzny
Inner Glow…	Blask wewnętrzny…
Inner Radius	Promień wewnętrzny
Inner Shadow	Cień wewnętrzny
Inner Shadow…	Cień wewnętrzny…
Inside	Wewnątrz
Intent	Metoda konwersji
Intersect Shape Areas	Przecięcie obszarów kształtów
Intersect with Selection	Przecięcie z zaznaczeniem
Inverse	Odwrotność
Inverse Fourier Transform	Odwrotna transformata Fouriera
Invert	Odwróć
Invert coverage	Odwróć pokrycie
Invert has no parameters	Odwróć nie ma parametrów
Iris Blur…	Rozmycie przysłony…
Italic	Kursywa
JPEG carries the XMP and the source's EXIF	JPEG zawiera XMP i EXIF źródła
JPG…	JPG…
Justify	Wyjustuj
Kaleidoscope…	Kalejdoskop…
Keep as it was	Pozostaw bez zmian
Kept when a comp is first applied	Zachowywane przy pierwszym zastosowaniu kompozycji
Kerning	Kerning
Keyboard Shortcut Sheet…	Ściągawka skrótów klawiszowych…
Keyboard Shortcuts…	Skróty klawiszowe…
Keywords	Słowa kluczowe
Kind	Rodzaj
Kurtosis	Kurtoza
Lab Color	Kolor Lab
Landscape	Poziomo
Language	Język
Large	Duży
Last Document State	Ostatni stan dokumentu
Last Filter	Ostatni filtr
Last line	Ostatni wiersz
Layer	Warstwa
Layer Comps	Kompozycje warstw
Layer Edges	Krawędzie warstwy
Layer Mask	Maska warstwy
Layer Style	Styl warstwy
Layer knocks out drop shadow	Warstwa wycina cień
Layer via Copy	Warstwa przez kopiowanie
Layer via Cut	Warstwa przez wycinanie
Layers	Warstwy
Layers panel options	Opcje panelu Warstwy
Left	Lewo
Left Edges	Lewe krawędzie
Left indent	Wcięcie z lewej
Length	Długość
Lens Blur…	Rozmycie soczewkowe…
Lens Correction…	Korekcja obiektywu…
Lens Flare…	Flara obiektywu…
Level	Poziom
Levels	Poziomy
Levels…	Poziomy…
Light	Cienki
Light Grey	Jasnoszary
Lighten	Jaśniej
Lighter Color	Jaśniejszy kolor
Lighting Effects…	Efekty świetlne…
Lightness	Jasność
Line	Linia
Linear	Liniowy
Linear Burn	Liniowe ściemnianie
Linear Dodge (Add)	Liniowe rozjaśnianie (dodaj)
Linear Light	Światło liniowe
Link / Unlink Mask	Połącz / rozłącz maskę
Link Layers	Połącz warstwy
Link selected layers	Połącz zaznaczone warstwy
Link with layer	Połącz z warstwą
Linked	Połączone
Linked file	Połączony plik
Liquify…	Skraplanie…
Live Shape	Kształt dynamiczny
Live preview	Podgląd na żywo
Live preview is off.	Podgląd na żywo jest wyłączony.
Load	Wczytaj
Load .atn	Wczytaj .atn
Load .cube file…	Wczytaj plik .cube…
Load Selection	Wczytaj zaznaczenie
Load Selection…	Wczytaj zaznaczenie…
Load actions	Wczytaj operacje
Load channel as selection	Wczytaj kanał jako zaznaczenie
Load path as a selection	Wczytaj ścieżkę jako zaznaczenie
Loaded file	Wczytany plik
Lock	Zablokuj
Lock All	Zablokuj wszystko
Lock Guides	Zablokuj linie pomocnicze
Lock Image Pixels	Zablokuj piksele obrazu
Lock Position	Zablokuj położenie
Lock Transparent Pixels	Zablokuj przezroczyste piksele
Lock all	Zablokuj wszystko
Lock pixels	Zablokuj piksele
Lock position	Zablokuj położenie
Lock transparent pixels	Zablokuj przezroczyste piksele
Lookup table	Tablica wyszukiwania
Luminance	Luminancja
Luminance of the preview source; the markers are the black and white points.	Luminancja źródła podglądu; znaczniki to punkty czerni i bieli.
Luminosity	Jasność
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Zielony
Magentas	Magenty
Magic Cut	Magiczne cięcie
Magic Cut…	Magiczne cięcie…
Make Frames	Utwórz klatki
Make a selection first	Najpierw utwórz zaznaczenie
Make work path from selection	Utwórz ścieżkę roboczą z zaznaczenia
Manual	Ręcznie
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Mapuje każdy kolor na jedną paletę. Dokument zachowuje piksele RGBA; eksport GIF i PNG zapisuje tę paletę.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Mapuje aktywną warstwę na paletę w jednym kroku do cofnięcia; dokument pozostaje w RGB.
Margins	Marginesy
Mark this state so you can come back to it	Oznacz ten stan, aby móc do niego wrócić
Mask	Maska
Mask source	Źródło maski
Match Color	Dopasuj kolor
Match Color…	Dopasuj kolor…
Matting	Otoczka
Maximum	Maksimum
Maximum…	Maksimum…
Mean	Średnia
Median	Mediana
Median…	Mediana…
Medium	Średni
Memory	Pamięć
Menu Bar and Canvas	Pasek menu i płótno
Merge	Scal
Merge Channels	Scal kanały
Merge Channels…	Scal kanały…
Merge Down	Scal w dół
Merge Layers	Scal warstwy
Merge Visible	Scal widoczne
Merged	Scalone
Method	Metoda
Metrics	Metryczny
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Metryczny używa kerningu par czcionki; 0 wyłącza kerning; Ręcznie wstawia jedną wartość (1/1000 firetu) między każdą parę obecnego tekstu, a znaki wpisane później zaczynają bez kerningu; wymaga co najmniej dwóch znaków, więc krótszy tekst i ustawienia domyślne narzędzia Tekst go nie oferują. Silnik kształtowania nie ma kerningu optycznego, dlatego ten tryb nie jest dostępny.
Mezzotint…	Mezzotinta…
Midtones	Półcienie
Millimeters	Milimetry
Min diameter	Min. średnica
Min roundness	Min. okrągłość
Min size	Min. rozmiar
Minimal	Minimalny
Minimum	Minimum
Minimum size only applies when pressure controls size.	Minimalny rozmiar działa tylko wtedy, gdy nacisk steruje rozmiarem.
Minimum…	Minimum…
Miter	Ostry
Mode	Tryb
Modify	Zmień
Monochrome	Monochromatyczny
Monotone	Monotonia
More readouts	Więcej odczytów
More tabs	Więcej kart
Mosaic…	Mozaika…
Motion Blur…	Rozmycie w ruchu…
Move Layer	Przesuń warstwę
Move a control first: these settings would change nothing	Najpierw zmień jakąś kontrolkę: te ustawienia niczego by nie zmieniły
Move this panel	Przesuń ten panel
Move this panel within its dock	Przesuń ten panel w obrębie jego doku
Move to	Przesuń do
Move with the layer	Przesuwaj z warstwą
Multiply	Mnożenie
Name	Nazwa
Name Change	Zmiana nazwy
Name the channel first.	Najpierw nadaj kanałowi nazwę.
Navigator	Nawigator
Nearest Neighbour	Najbliższy sąsiad
Neutralize	Neutralizuj
Neutrals	Neutralne
New	Nowy
New Adjustment Layer	Nowa warstwa dopasowania
New Channel	Nowy kanał
New Document	Nowy dokument
New Fill Layer	Nowa warstwa wypełnienia
New Guide	Nowa linia pomocnicza
New Guide Layout	Nowy układ linii pomocniczych
New Guide Layout…	Nowy układ linii pomocniczych…
New Guides from Shape	Nowe linie pomocnicze z kształtu
New Guide…	Nowa linia pomocnicza…
New Layer	Nowa warstwa
New Layer Based Slice	Nowy plasterek na podstawie warstwy
New Selection	Nowe zaznaczenie
New Smart Object via Copy	Nowy obiekt inteligentny przez kopiowanie
New Snapshot	Nowa migawka
New Spot Channel	Nowy kanał koloru dodatkowego
New Spot Channel…	Nowy kanał koloru dodatkowego…
New Style Preset	Nowe ustawienie stylu
New channel	Nowy kanał
New group	Nowa grupa
New layer	Nowa warstwa
New layer comp	Nowa kompozycja warstw
New note at the centre of the view	Nowa notatka na środku widoku
New path (saves the Work Path when it is selected)	Nowa ścieżka (zapisuje ścieżkę roboczą, gdy jest zaznaczona)
New set	Nowy zestaw
New size	Nowy rozmiar
New style from the active layer	Nowy styl z aktywnej warstwy
New tool preset from the active tool	Nowe ustawienie narzędzia z aktywnego narzędzia
New {noun} from the active text layer	Nowy element ({noun}) z aktywnej warstwy tekstowej
New…	Nowy…
Next Blend Mode	Następny tryb mieszania
No Color	Bez koloru
No character styles yet. New records the active text layer's font, size and look.	Nie ma jeszcze stylów znakowych. Nowy zapisuje czcionkę, rozmiar i wygląd aktywnej warstwy tekstowej.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	W tej wersji żadne polecenie nie wczytuje kanału jako zaznaczenia; Wczytaj zaznaczenie z menu Zaznacz przywraca zamiast tego zapisane zaznaczenie
No commands to bind	Brak poleceń do powiązania
No document	Brak dokumentu
No document is open	Żaden dokument nie jest otwarty
No export selected	Nie wybrano eksportu
No faces listed for this family name	Brak krojów dla tej nazwy rodziny
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Nie ma jeszcze klatek. Dodaj klatkę tworzy warstwę _a_: każda jest klatką, od dolnej.
No guide crosses the canvas	Żadna linia pomocnicza nie przecina płótna
No installed family matches	Żadna zainstalowana rodzina nie pasuje
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Nie ma jeszcze kompozycji warstw. Nowa kompozycja warstw zapisuje widoczność, położenie i wygląd każdej warstwy.
No layers yet. Add one with the + button below.	Nie ma jeszcze warstw. Dodaj ją przyciskiem + poniżej.
No layers yet: each top-level layer gets a bar on the timeline.	Nie ma jeszcze warstw: każda warstwa najwyższego poziomu dostaje pasek na osi czasu.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Nie ma jeszcze notatek. Kliknij płótno narzędziem Notatka (I) albo Nowa notatka przypnie ją na środku widoku; notatki są zapisywane z dokumentem i nigdy nie są eksportowane.
No open document is the same size as this one	Żaden otwarty dokument nie ma takiego rozmiaru jak ten
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Nie ma jeszcze stylów akapitowych. Nowy zapisuje wyrównanie, wcięcia i odstępy aktywnej warstwy tekstowej.
No pattern chosen — the overlay paints nothing.	Nie wybrano wzorka — nakładka niczego nie maluje.
No patterns are defined yet	Nie zdefiniowano jeszcze wzorków
No profile file was chosen	Nie wybrano pliku profilu
No recent files yet	Nie ma jeszcze ostatnich plików
No selection has been saved	Nie zapisano żadnego zaznaczenia
No source recorded for this object	Dla tego obiektu nie zapisano źródła
No stop selected	Nie wybrano punktu
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Nie ma jeszcze ustawień stylów. Zdefiniuj je poleceniem Warstwa > Styl warstwy > Zdefiniuj ustawienie stylu lub dodaj bibliotekę Photoshopa poleceniem Plik > Otwórz (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Nie ma jeszcze stylów. Przycisk + zapisuje styl aktywnej warstwy; Plik > Otwórz wczytuje bibliotekę stylów .asl.
No such command	Nie ma takiego polecenia
No tool presets yet. New Tool Preset saves the active tool with its current options.	Nie ma jeszcze ustawień narzędzi. Nowe ustawienie narzędzia zapisuje aktywne narzędzie z bieżącymi opcjami.
Noise	Szum
None	Brak
Normal	Zwykły
Normal Map…	Mapa normalnych…
Not a hex colour	To nie jest kolor szesnastkowy
Not installed — shaping with	Niezainstalowana — składana czcionką
Not saved yet	Jeszcze niezapisany
Notes	Notatki
Nothing has changed	Nic się nie zmieniło
Nothing in this submenu is available right now	Nic w tym podmenu nie jest teraz dostępne
Nothing is left to learn the background from: paint over it with the background brush.	Nie zostało nic, z czego można wyuczyć tło: zamaluj je pędzlem tła.
Nothing to measure yet — paint or place something on this layer first	Nie ma jeszcze czego mierzyć — najpierw namaluj lub umieść coś na tej warstwie
Nothing to preview.	Nie ma czego podglądać.
OK	OK
Oblique	Pochylona
Off: the wheel pans the view and Ctrl+wheel zooms	Wyłączone: kółko przesuwa widok, a Ctrl+kółko powiększa
Offset…	Przesunięcie…
Oil Paint…	Farba olejna…
One page holding the flattened image; no vector content.	Jedna strona ze spłaszczonym obrazem; bez treści wektorowej.
Onion skin	Warstwa cebulowa
Only English is available in this build	W tej wersji dostępny jest tylko angielski
Only a mask channel can be loaded as a selection here	Tutaj jako zaznaczenie można wczytać tylko kanał maski
Only web-safe colours	Tylko kolory bezpieczne dla WWW
Opacity	Krycie
Opacity 10%	Krycie 10%
Opacity 100%	Krycie 100%
Opacity 20%	Krycie 20%
Opacity 30%	Krycie 30%
Opacity 40%	Krycie 40%
Opacity 50%	Krycie 50%
Opacity 60%	Krycie 60%
Opacity 70%	Krycie 70%
Opacity 80%	Krycie 80%
Opacity 90%	Krycie 90%
Opacity jitter	Rozrzut krycia
Opacity key	Klucz krycia
Opacity must be between 0% and 100%	Krycie musi mieścić się w zakresie od 0% do 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	Krycie skaluje warstwę i jej efekty; Wypełnienie skaluje tylko własne piksele warstwy.
Opacity stops sit above the bar, colour stops below it.	Punkty krycia są nad paskiem, punkty koloru pod nim.
Open	Otwórz
Open .ABR…	Otwórz .ABR…
Open .ACO…	Otwórz .ACO…
Open .ASL…	Otwórz .ASL…
Open Recent	Otwórz ostatnie
Open a document first	Najpierw otwórz dokument
Open a document to animate it.	Otwórz dokument, aby go animować.
Open a document to apply styles to its layers.	Otwórz dokument, aby stosować style do jego warstw.
Open a document to insert glyphs into its text.	Otwórz dokument, aby wstawiać glify do jego tekstu.
Open a document to keep text styles in it.	Otwórz dokument, aby przechowywać w nim style tekstu.
Open a document to lay guides out on it.	Otwórz dokument, aby rozmieścić na nim linie pomocnicze.
Open a document to pin notes on it.	Otwórz dokument, aby przypinać do niego notatki.
Open a document to record layer comps.	Otwórz dokument, aby zapisywać kompozycje warstw.
Open a document to see its CSS	Otwórz dokument, aby zobaczyć jego CSS
Open a document to see its facts.	Otwórz dokument, aby zobaczyć informacje o nim.
Open a document to see its histogram	Otwórz dokument, aby zobaczyć jego histogram
Open a document to see its history	Otwórz dokument, aby zobaczyć jego historię
Open a document to see its properties	Otwórz dokument, aby zobaczyć jego właściwości
Open another document, or add another pixel layer, to match its colours.	Otwórz inny dokument lub dodaj kolejną warstwę pikseli, aby dopasować jej kolory.
Open as	Otwórz jako
Open editor…	Otwórz edytor…
Open the Adjustments panel	Otwórz panel Dopasowania
Open…	Otwórz…
Operation	Działanie
Orange	Pomarańczowy
Other	Inne
Out of gamut	Poza gamutem
Outer Glow	Blask zewnętrzny
Outer Glow…	Blask zewnętrzny…
Outline the path	Obrysuj ścieżkę
Output	Wyjście
Output channel	Kanał wyjściowy
Outside	Na zewnątrz
Overlay	Nakładka
PBM…	PBM…
PDF Presentation…	Prezentacja PDF…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Strona
Page {n}	Strona {n}
Page {page} opens at {w} x {h} px	Strona {page} otwiera się w rozmiarze {w} x {h} px
Pages	Strony
Paint	Malowanie
Paint Filter Mask	Maluj maskę filtra
Paint Mask	Maluj maskę
Paint over the part to keep with the foreground brush first.	Najpierw zamaluj pędzlem pierwszego planu część, która ma zostać.
Paint over what to keep and over what to drop	Zamaluj to, co ma zostać, i to, co ma odpaść
Paint the inside of the path	Maluj wnętrze ścieżki
Painting	Malowanie
Paints a band along the active selection's border.	Maluje pas wzdłuż krawędzi aktywnego zaznaczenia.
Pair kerning	Kerning par
Palette	Paleta
Paragraph	Akapit
Paragraph Style	Styl akapitowy
Paragraph Styles	Style akapitowe
Particles…	Cząsteczki…
Paste	Wklej
Paste Into	Wklej do
Paste Layer Style	Wklej styl warstwy
Paste Outside	Wklej na zewnątrz
Paste Special	Wklej specjalnie
Paste in Place	Wklej w miejscu
Path	Ścieżka
Path Blur…	Rozmycie ścieżki…
Path editing lives in the Paths panel	Edycja ścieżek odbywa się w panelu Ścieżki
Paths	Ścieżki
Pattern	Wzorek
Pattern Dither	Dithering wzorkiem
Pattern Overlay	Nakładka wzorka
Pattern Overlay…	Nakładka wzorka…
Pattern Preview	Podgląd wzorka
Pattern…	Wzorek…
Pencil 1px	Ołówek 1 px
Percent	Procent
Perceptual	Percepcyjny
Perspective	Perspektywa
Perspective Warp	Wypaczenie perspektywy
Photo Filter	Filtr fotograficzny
Photo Filter…	Filtr fotograficzny…
Photography	Fotografia
Picas	Pica
Pick a filter; it applies at its default settings.	Wybierz filtr; zostanie zastosowany z ustawieniami domyślnymi.
Pin Light	Światło punktowe
Pinch…	Szczypanie…
Pixel Grid	Siatka pikseli
Pixel dimensions	Wymiary w pikselach
Pixel mask	Maska pikselowa
Pixelate	Pikslowanie
Pixels	Piksele
Place Embedded…	Umieść osadzony…
Place Linked…	Umieść połączony…
Play	Odtwórz
Play from step	Odtwórz od kroku
Play selection	Odtwórz zaznaczenie
Play this step (unchecked steps are passed over)	Odtwórz ten krok (niezaznaczone kroki są pomijane)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Odtwarza nagraną operację na każdym obrazie w folderze źródłowym i zapisuje każdy wynik w miejscu docelowym.
Pointer	Wskaźnik
Pointillize…	Puentylizacja…
Points	Punkty
Polar Coordinates…	Współrzędne biegunowe…
Position	Położenie
Position is locked — unlock it in the Layers panel to move or resize	Położenie jest zablokowane — odblokuj je w panelu Warstwy, aby przesunąć lub zmienić rozmiar
Position key	Klucz położenia
Posterize	Posteryzacja
Posterize…	Posteryzacja…
Precise Cursor	Precyzyjny kursor
Preferences…	Preferencje…
Preserve Transparency	Zachowaj przezroczystość
Preserve luminosity	Zachowaj jasność
Preset Manager…	Menedżer ustawień…
Press a key…	Naciśnij klawisz…
Pressure controls flow	Nacisk steruje przepływem
Pressure controls size	Nacisk steruje rozmiarem
Preview	Podgląd
Preview against	Podgląd na tle
Preview is off.	Podgląd jest wyłączony.
Previewed on the active layer; applied to its pixels as one undoable step.	Podgląd na aktywnej warstwie; stosowany do jej pikseli w jednym kroku do cofnięcia.
Previous Blend Mode	Poprzedni tryb mieszania
Print Size	Rozmiar wydruku
Print as PDF…	Drukuj do PDF…
Print size	Rozmiar wydruku
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Drukuje obraz w skali szarości od jedną do czterech farb, każdą według własnej krzywej. Farby są nakładane na piksele przy zmianie trybu.
Print…	Drukuj…
Profile	Profil
Profile from File…	Profil z pliku…
Profiles are assigned to RGB documents	Profile przypisuje się do dokumentów RGB
Profiles are converted between in RGB documents	Konwersja między profilami odbywa się w dokumentach RGB
Profiles belong to RGB documents; convert to RGB first	Profile należą do dokumentów RGB; najpierw przekonwertuj na RGB
Proof Colors	Kolory próbne
Properties	Właściwości
Puppet Warp	Wypaczenie marionetkowe
Purge	Wyczyść pamięć
Purple	Fioletowy
Quadtone	Czterotonowy
Quality	Jakość
Quick Export Layer as PNG…	Szybki eksport warstwy jako PNG…
Quit	Zakończ
RGB Color	Kolor RGB
Radial Blur…	Rozmycie radialne…
Radius	Promień
Radius (px)	Promień (px)
Range	Zakres
Raster Studio Help	Pomoc programu Raster Studio
Rasterize	Rasteryzuj
Reassign anyway	Przypisz mimo to
Recent	Ostatnie
Record	Nagraj
Record Source Size	Zapisz rozmiar źródła
Record an Action in the Actions panel first	Najpierw nagraj operację w panelu Operacje
Record an edit, then replay the whole sequence on any document with at least as many layers.	Nagraj edycję, a potem odtwórz całą sekwencję na dowolnym dokumencie o co najmniej tylu warstwach.
Record into set	Nagraj do zestawu
Recording: every edit is captured until Stop	Nagrywanie: każda edycja jest rejestrowana aż do Zatrzymaj
Red	Czerwony
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Przedefiniuj zaznaczony element ({noun}) z aktywnej warstwy tekstowej, zmieniając styl każdej warstwy, która go używa
Redo	Ponów
Reds	Czerwone
Reduce Colors	Zmniejsz liczbę kolorów
Reduce Colors changed nothing: the layer already uses only colours of that palette	Zmniejszenie liczby kolorów niczego nie zmieniło: warstwa już używa tylko kolorów z tej palety
Reduce Colors: the layer now uses at most {n} colours	Zmniejszenie liczby kolorów: warstwa używa teraz najwyżej {n} kolorów
Reduce Colors…	Zmniejsz liczbę kolorów…
Reduce Noise…	Redukuj szum…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Redukuje obraz w skali szarości do czystej czerni i bieli. Warstwy są spłaszczane w jedną, na białym tle.
Reference point: Bottom	Punkt odniesienia: dół
Reference point: Bottom Left	Punkt odniesienia: lewy dolny
Reference point: Bottom Right	Punkt odniesienia: prawy dolny
Reference point: Centre	Punkt odniesienia: środek
Reference point: Left	Punkt odniesienia: lewo
Reference point: Right	Punkt odniesienia: prawo
Reference point: Top	Punkt odniesienia: góra
Reference point: Top Left	Punkt odniesienia: lewy górny
Reference point: Top Right	Punkt odniesienia: prawy górny
Refine	Dopracuj
Refine Edge…	Popraw krawędź…
Refine Mask	Popraw maskę
Refine Mask…	Popraw maskę…
Regular	Zwykła
Relative	Względnie
Relative Colorimetric	Względny kolorymetryczny
Release Clipping Mask	Zwolnij maskę przycinającą
Release Notes	Informacje o wersji
Relink to File…	Połącz ponownie z plikiem…
Remove Black Matte	Usuń czarną otoczkę
Remove Color Fringe	Usuń obwódkę koloru
Remove Color Fringe…	Usuń obwódkę koloru…
Remove Fringe	Usuń otoczkę
Remove White Matte	Usuń białą otoczkę
Remove export	Usuń eksport
Remove this instance of the effect	Usuń to wystąpienie efektu
Remove this shortcut	Usuń ten skrót
Rename Layer	Zmień nazwę warstwy
Rename Layer…	Zmień nazwę warstwy…
Rename set	Zmień nazwę zestawu
Render	Renderowanie
Rendering the preview…	Renderowanie podglądu…
Repeat…	Powtórz…
Replace Color	Zastąp kolor
Replace Color…	Zastąp kolor…
Replace Contents	Zastąp zawartość
Replace Contents…	Zastąp zawartość…
Replace existing guides	Zastąp istniejące linie pomocnicze
Replay	Odtwórz ponownie
Report an Issue	Zgłoś problem
Reselect	Zaznacz ponownie
Reset	Resetuj
Reset Transform	Resetuj przekształcenie
Reset View Rotation	Resetuj obrót widoku
Reset all shortcuts	Resetuj wszystkie skróty
Resize Canvas	Zmień rozmiar płótna
Resize Images	Zmień rozmiar obrazów
Resize Images…	Zmień rozmiar obrazów…
Resolution	Rozdzielczość
Resolution must be greater than zero	Rozdzielczość musi być większa od zera
Restore Layer	Przywróć warstwę
Result	Wynik
Return this tool to its defaults	Przywróć ustawienia domyślne tego narzędzia
Reveal All	Odkryj wszystko
Reveal Selection	Odkryj zaznaczenie
Reverse	Odwróć
Revert	Przywróć
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Przepisuje wartości każdej warstwy pikseli, aby obraz wyglądał tak samo w profilu docelowym, jako jeden krok do cofnięcia.
Right	Prawo
Right (narrow)	Prawa (wąska)
Right (wide)	Prawa (szeroka)
Right Edges	Prawe krawędzie
Right indent	Wcięcie z prawej
Right-click a swatch to remove it	Kliknij próbkę prawym przyciskiem, aby ją usunąć
Ring	Pierścień
Ripple…	Zmarszczki…
Rise	Wznoszenie
Rotate	Obróć
Rotate 180°	Obróć o 180°
Rotate 90° Clockwise	Obróć o 90° w prawo
Rotate 90° Counter Clockwise	Obróć o 90° w lewo
Rotate Canvas	Obróć płótno
Rotate the active layer so the measured line is level (Enter)	Obróć aktywną warstwę, aby zmierzona linia była pozioma (Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Obraca płótno i każdą warstwę. Kąty proste są dokładne co do piksela; inne kąty są ponownie próbkowane.
Rotation key	Klucz obrotu
Round	Zaokrąglony
Round (computed)	Zaokrąglony (obliczony)
Rounded Steps	Zaokrąglone kroki
Roundness jitter	Rozrzut okrągłości
Rows	Wiersze
Rulers	Miarki
Run	Uruchom
SVG…	SVG…
Same Radii	Jednakowe promienie
Sample a colour from the canvas	Pobierz kolor z płótna
Sample radius	Promień próbkowania
Sampled	Próbkowany
Sampled colour	Pobrany kolor
Sampled tip not loaded; painting round	Próbkowana końcówka nie jest wczytana; malowanie okrągłe
Satin…	Satyna…
Saturation	Nasycenie
Saturation jitter	Rozrzut nasycenia
Save	Zapisz
Save As	Zapisz jako
Save As…	Zapisz jako…
Save Brush	Zapisz pędzel
Save Selection	Zapisz zaznaczenie
Save Selection…	Zapisz zaznaczenie…
Save actions	Zapisz operacje
Save as PSD…	Zapisz jako PSD…
Save current brush	Zapisz bieżący pędzel
Save selection as channel	Zapisz zaznaczenie jako kanał
Saves every image in the source folder to the destination in another format, quality or size.	Zapisuje każdy obraz z folderu źródłowego w miejscu docelowym w innym formacie, jakości lub rozmiarze.
Scale	Skaluj
Scale %	Skala %
Scale Effects	Skaluj efekty
Scale Effects…	Skaluj efekty…
Scale H	Skala poz.
Scale V	Skala pion.
Scale key	Klucz skali
Scale:	Skala:
Scales every size and distance of the active layer's style as one undo step.	Skaluje każdy rozmiar i odległość stylu aktywnej warstwy w jednym kroku do cofnięcia.
Scaling by 100% changes nothing	Skalowanie o 100% niczego nie zmienia
Scratch directory	Katalog roboczy
Screen	Mnożenie odwrotności
Screen, print and social presets	Ustawienia ekranowe, drukarskie i dla mediów społecznościowych
Script…	Skrypt…
Scroll wheel zooms instead of scrolling	Kółko powiększa zamiast przewijać
Search Commands…	Wyszukaj polecenia…
Search layers	Szukaj warstw
Search layers by name	Szukaj warstw po nazwie
Select	Zaznacz
Select All	Zaznacz wszystko
Select Bottom Layer	Zaznacz najniższą warstwę
Select Layer Above	Zaznacz warstwę powyżej
Select Layer Below	Zaznacz warstwę poniżej
Select Linked Layers	Zaznacz połączone warstwy
Select None	Nie zaznaczaj nic
Select Top Layer	Zaznacz najwyższą warstwę
Select a layer first	Najpierw zaznacz warstwę
Select a layer to see its CSS	Zaznacz warstwę, aby zobaczyć jej CSS
Select a layer to see its properties	Zaznacz warstwę, aby zobaczyć jej właściwości
Select a layer: a click on a style applies it to the active layer.	Zaznacz warstwę: kliknięcie stylu stosuje go do aktywnej warstwy.
Select a path first	Najpierw zaznacz ścieżkę
Select a text layer, or type into one: a click inserts the glyph at the caret.	Zaznacz warstwę tekstową lub pisz w niej: kliknięcie wstawia glif w miejscu kursora.
Select every pixel near one colour	Zaznacz każdy piksel zbliżony do jednego koloru
Selection	Zaznaczenie
Selection Edges	Krawędzie zaznaczenia
Selection: white is replaced, black is kept.	Zaznaczenie: biel jest zastępowana, czerń zachowywana.
Selective Color	Kolor selektywny
Selective Color…	Kolor selektywny…
Selects a band of this width along the selection's edge	Zaznacza pas o tej szerokości wzdłuż krawędzi zaznaczenia
Semi Condensed	Półzwężony
Semi Expanded	Półrozszerzony
Semibold	Półgruby
Send Backward	Przesuń do tyłu
Send to Back	Przesuń na spód
Separate documents	Oddzielne dokumenty
Separate keywords with commas or semicolons.	Oddziel słowa kluczowe przecinkami lub średnikami.
Sepia	Sepia
Set	Zestaw
Set the History Brush to paint from this state (the marked row)	Ustaw pędzel historii tak, aby malował z tego stanu (oznaczony wiersz)
Shadows	Cienie
Shadows/Highlights	Cienie/Podświetlenia
Shadows/Highlights…	Cienie/Podświetlenia…
Shape	Kształt
Shape Dynamics	Dynamika kształtu
Shape Mosaic…	Mozaika kształtów…
Sharpen	Wyostrz
Sharpen Edges	Wyostrz krawędzie
Sharpen More	Wyostrz bardziej
Sharpest, with a little ringing on hard edges.	Najostrzejsza, z lekkim dzwonieniem na ostrych krawędziach.
Shear…	Nożyce…
Shift Edge	Przesuń krawędź
Show	Pokaż
Show / Hide Layer	Pokaż / ukryj warstwę
Show / hide layer	Pokaż / ukryj warstwę
Show / hide the effects list	Pokaż / ukryj listę efektów
