# Raster Studio interface strings, de. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Deutsch
Import PDF	PDF importieren
Import a CSV of data sets first	Importieren Sie zuerst eine CSV mit Datensätzen
Import a CSV: the first row names the variables, every further row is one data set.	Eine CSV importieren: Die erste Zeile benennt die Variablen, jede weitere Zeile ist ein Datensatz.
In use	In Verwendung
Inches	Zoll
Indexed Color	Indizierte Farbe
Indexed Color…	Indizierte Farbe…
Inflate	Aufblasen
Info	Info
Ink	Druckfarbe
Ink Color	Druckfarbe
Ink printed at 0, 25, 50, 75 and 100% tint	Druckfarbe gedruckt mit 0, 25, 50, 75 und 100 % Tonwert
Inner Glow	Schein nach innen
Inner Glow…	Schein nach innen…
Inner Radius	Innenradius
Inner Shadow	Schatten nach innen
Inner Shadow…	Schatten nach innen…
Inside	Innen
Intent	Priorität
Intersect Shape Areas	Schnittmenge von Formbereichen
Intersect with Selection	Schnittmenge mit Auswahl
Inverse	Auswahl umkehren
Inverse Fourier Transform	Inverse Fourier-Transformation
Invert	Umkehren
Invert coverage	Deckung umkehren
Invert has no parameters	Umkehren hat keine Parameter
Iris Blur…	Iris-Weichzeichnung…
Italic	Kursiv
JPEG carries the XMP and the source's EXIF	JPEG enthält die XMP-Daten und das EXIF der Quelle
JPG…	JPG…
Justify	Blocksatz
Kaleidoscope…	Kaleidoskop…
Keep as it was	Unverändert lassen
Kept when a comp is first applied	Beibehalten, wenn eine Komposition erstmals angewendet wird
Kerning	Kerning
Keyboard Shortcut Sheet…	Tastaturbefehlsübersicht…
Keyboard Shortcuts…	Tastaturbefehle…
Keywords	Stichwörter
Kind	Art
Kurtosis	Wölbung
Lab Color	Lab-Farbe
Landscape	Querformat
Language	Sprache
Large	Groß
Last Document State	Letzter Dokumentstatus
Last Filter	Letzter Filter
Last line	Letzte Zeile
Layer	Ebene
Layer Comps	Ebenenkompositionen
Layer Edges	Ebenenkanten
Layer Mask	Ebenenmaske
Layer Style	Ebenenstil
Layer knocks out drop shadow	Ebene spart Schlagschatten aus
Layer via Copy	Ebene durch Kopie
Layer via Cut	Ebene durch Ausschneiden
Layers	Ebenen
Layers panel options	Ebenenbedienfeld-Optionen
Left	Links
Left Edges	Linke Kanten
Left indent	Einzug links
Length	Länge
Lens Blur…	Tiefenschärfe abmildern…
Lens Correction…	Objektivkorrektur…
Lens Flare…	Blendenflecke…
Level	Stufe
Levels	Tonwertkorrektur
Levels…	Tonwertkorrektur…
Light	Leicht
Light Grey	Hellgrau
Lighten	Aufhellen
Lighter Color	Hellere Farbe
Lighting Effects…	Beleuchtungseffekte…
Lightness	Helligkeit
Line	Linie
Linear	Linear
Linear Burn	Linear nachbelichten
Linear Dodge (Add)	Linear abwedeln (Addieren)
Linear Light	Lineares Licht
Link / Unlink Mask	Maske verknüpfen / Verknüpfung aufheben
Link Layers	Ebenen verknüpfen
Link selected layers	Ausgewählte Ebenen verknüpfen
Link with layer	Mit Ebene verknüpfen
Linked	Verknüpft
Linked file	Verknüpfte Datei
Liquify…	Verflüssigen…
Live Shape	Live-Form
Live preview	Live-Vorschau
Live preview is off.	Die Live-Vorschau ist aus.
Load	Laden
Load .atn	.atn laden
Load .cube file…	.cube-Datei laden…
Load Selection	Auswahl laden
Load Selection…	Auswahl laden…
Load actions	Aktionen laden
Load channel as selection	Kanal als Auswahl laden
Load path as a selection	Pfad als Auswahl laden
Loaded file	Geladene Datei
Lock	Sperren
Lock All	Alles sperren
Lock Guides	Hilfslinien sperren
Lock Image Pixels	Bildpixel fixieren
Lock Position	Position fixieren
Lock Transparent Pixels	Transparente Pixel fixieren
Lock all	Alles fixieren
Lock pixels	Pixel fixieren
Lock position	Position fixieren
Lock transparent pixels	Transparente Pixel fixieren
Lookup table	Lookup-Tabelle
Luminance	Luminanz
Luminance of the preview source; the markers are the black and white points.	Luminanz der Vorschauquelle; die Marker sind Schwarz- und Weißpunkt.
Luminosity	Luminanz
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Grün
Magentas	Magentatöne
Magic Cut	Magic Cut
Magic Cut…	Magic Cut…
Make Frames	Frames erstellen
Make a selection first	Erstellen Sie zuerst eine Auswahl
Make work path from selection	Arbeitspfad aus Auswahl erstellen
Manual	Manuell
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Bildet jede Farbe auf eine Palette ab. Das Dokument behält RGBA-Pixel; GIF- und PNG-Export schreiben diese Palette.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Bildet die aktive Ebene in einem Rückgängig-Schritt auf eine Palette ab; das Dokument bleibt RGB.
Margins	Ränder
Mark this state so you can come back to it	Diesen Zustand markieren, um später zu ihm zurückzukehren
Mask	Maske
Mask source	Maskenquelle
Match Color	Gleiche Farbe
Match Color…	Gleiche Farbe…
Matting	Basis
Maximum	Maximum
Maximum…	Helle Bereiche vergrößern…
Mean	Mittelwert
Median	Median
Median…	Median…
Medium	Mittel
Memory	Arbeitsspeicher
Menu Bar and Canvas	Menüleiste und Arbeitsfläche
Merge	Zusammenfügen
Merge Channels	Kanäle zusammenfügen
Merge Channels…	Kanäle zusammenfügen…
Merge Down	Auf eine Ebene reduzieren
Merge Layers	Ebenen zusammenfügen
Merge Visible	Sichtbare auf eine Ebene reduzieren
Merged	Zusammengefügt
Method	Methode
Metrics	Metrisch
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Metrisch nutzt das Paar-Kerning der Schrift; 0 schaltet Kerning aus; Manuell setzt einen Betrag (1/1000 Geviert) zwischen jedes Zeichenpaar des jetzigen Textes, später getippte Zeichen beginnen ohne Kerning; es braucht mindestens zwei Zeichen, daher bieten kürzerer Text und die Standards des Textwerkzeugs es nicht an. Der Shaper hat kein optisches Kerning, daher wird dieser Modus nicht angeboten.
Mezzotint…	Mezzotint…
Midtones	Mitteltöne
Millimeters	Millimeter
Min diameter	Min. Durchmesser
Min roundness	Min. Rundheit
Min size	Min. Größe
Minimal	Minimal
Minimum	Minimum
Minimum size only applies when pressure controls size.	Die Mindestgröße gilt nur, wenn der Druck die Größe steuert.
Minimum…	Dunkle Bereiche vergrößern…
Miter	Gehrung
Mode	Modus
Modify	Ändern
Monochrome	Monochrom
Monotone	Monoton
More readouts	Weitere Anzeigen
More tabs	Weitere Registerkarten
Mosaic…	Mosaikeffekt…
Motion Blur…	Bewegungsunschärfe…
Move Layer	Ebene verschieben
Move a control first: these settings would change nothing	Bewegen Sie zuerst ein Steuerelement: Diese Einstellungen würden nichts ändern
Move this panel	Dieses Bedienfeld verschieben
Move this panel within its dock	Dieses Bedienfeld innerhalb seines Docks verschieben
Move to	Verschieben nach
Move with the layer	Mit der Ebene bewegen
Multiply	Multiplizieren
Name	Name
Name Change	Namensänderung
Name the channel first.	Benennen Sie zuerst den Kanal.
Navigator	Navigator
Nearest Neighbour	Pixelwiederholung
Neutralize	Neutralisieren
Neutrals	Neutraltöne
New	Neu
New Adjustment Layer	Neue Einstellungsebene
New Channel	Neuer Kanal
New Document	Neues Dokument
New Fill Layer	Neue Füllebene
New Guide	Neue Hilfslinie
New Guide Layout	Neues Hilfslinienlayout
New Guide Layout…	Neues Hilfslinienlayout…
New Guides from Shape	Neue Hilfslinien aus Form
New Guide…	Neue Hilfslinie…
New Layer	Neue Ebene
New Layer Based Slice	Neuer ebenenbasierter Slice
New Selection	Neue Auswahl
New Smart Object via Copy	Neues Smartobjekt durch Kopie
New Snapshot	Neuer Schnappschuss
New Spot Channel	Neuer Volltonfarbkanal
New Spot Channel…	Neuer Volltonfarbkanal…
New Style Preset	Neue Stilvorgabe
New channel	Neuer Kanal
New group	Neue Gruppe
New layer	Neue Ebene
New layer comp	Neue Ebenenkomposition
New note at the centre of the view	Neue Notiz in der Mitte der Ansicht
New path (saves the Work Path when it is selected)	Neuer Pfad (speichert den Arbeitspfad, wenn er ausgewählt ist)
New set	Neuer Satz
New size	Neue Größe
New style from the active layer	Neuer Stil aus der aktiven Ebene
New tool preset from the active tool	Neue Werkzeugvorgabe aus dem aktiven Werkzeug
New {noun} from the active text layer	Neue(s) {noun} aus der aktiven Textebene
New…	Neu…
Next Blend Mode	Nächster Mischmodus
No Color	Keine Farbe
No character styles yet. New records the active text layer's font, size and look.	Noch keine Zeichenformate. Neu speichert Schrift, Größe und Aussehen der aktiven Textebene.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	In diesem Build lädt kein Befehl einen Kanal als Auswahl; Auswahl laden im Menü Auswahl stellt stattdessen eine gespeicherte Auswahl wieder her
No commands to bind	Keine Befehle zum Binden
No document	Kein Dokument
No document is open	Kein Dokument ist geöffnet
No export selected	Kein Export ausgewählt
No faces listed for this family name	Für diesen Familiennamen sind keine Schnitte aufgeführt
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Noch keine Frames. Frame hinzufügen erstellt eine _a_-Ebene: Jede ist ein Frame, die unterste zuerst.
No guide crosses the canvas	Keine Hilfslinie kreuzt die Arbeitsfläche
No installed family matches	Keine installierte Schriftfamilie passt
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Noch keine Ebenenkompositionen. Neue Ebenenkomposition speichert Sichtbarkeit, Position und Aussehen jeder Ebene.
No layers yet. Add one with the + button below.	Noch keine Ebenen. Fügen Sie eine mit der Schaltfläche + unten hinzu.
No layers yet: each top-level layer gets a bar on the timeline.	Noch keine Ebenen: Jede Ebene der obersten Stufe erhält einen Balken in der Zeitleiste.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Noch keine Notizen. Klicken Sie mit dem Notiz-Werkzeug (I) auf die Arbeitsfläche, oder Neue Notiz heftet eine in die Mitte der Ansicht; Notizen werden mit dem Dokument gespeichert und nie exportiert.
No open document is the same size as this one	Kein geöffnetes Dokument hat dieselbe Größe wie dieses
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Noch keine Absatzformate. Neu speichert Ausrichtung, Einzüge und Abstände der aktiven Textebene.
No pattern chosen — the overlay paints nothing.	Kein Muster gewählt – die Überlagerung malt nichts.
No patterns are defined yet	Es sind noch keine Muster festgelegt
No profile file was chosen	Es wurde keine Profildatei gewählt
No recent files yet	Noch keine zuletzt verwendeten Dateien
No selection has been saved	Es wurde keine Auswahl gespeichert
No source recorded for this object	Für dieses Objekt ist keine Quelle gespeichert
No stop selected	Keine Unterbrechung ausgewählt
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Noch keine Stilvorgaben. Legen Sie eine mit Ebene > Ebenenstil > Stilvorgabe festlegen fest oder fügen Sie mit Datei > Öffnen (.asl) eine Photoshop-Bibliothek hinzu.
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Noch keine Stile. Die Schaltfläche + speichert den Stil der aktiven Ebene; Datei > Öffnen lädt eine .asl-Stilbibliothek.
No such command	Kein solcher Befehl
No tool presets yet. New Tool Preset saves the active tool with its current options.	Noch keine Werkzeugvorgaben. Neue Werkzeugvorgabe speichert das aktive Werkzeug mit seinen aktuellen Optionen.
Noise	Rauschen
None	Ohne
Normal	Normal
Normal Map…	Normal-Map…
Not a hex colour	Keine Hex-Farbe
Not installed — shaping with	Nicht installiert – gesetzt mit
Not saved yet	Noch nicht gespeichert
Notes	Notizen
Nothing has changed	Es hat sich nichts geändert
Nothing in this submenu is available right now	In diesem Untermenü ist gerade nichts verfügbar
Nothing is left to learn the background from: paint over it with the background brush.	Es ist nichts mehr übrig, woraus der Hintergrund gelernt werden kann: Übermalen Sie ihn mit dem Hintergrundpinsel.
Nothing to measure yet — paint or place something on this layer first	Noch nichts zu messen – malen oder platzieren Sie zuerst etwas auf dieser Ebene
Nothing to preview.	Nichts in der Vorschau.
OK	OK
Oblique	Schräg
Off: the wheel pans the view and Ctrl+wheel zooms	Aus: Das Mausrad verschiebt die Ansicht, Strg+Mausrad zoomt
Offset…	Verschiebungseffekt…
Oil Paint…	Ölfarbe…
One page holding the flattened image; no vector content.	Eine Seite mit dem reduzierten Bild; kein Vektorinhalt.
Onion skin	Zwiebelschicht
Only English is available in this build	In diesem Build ist nur Englisch verfügbar
Only a mask channel can be loaded as a selection here	Hier kann nur ein Maskenkanal als Auswahl geladen werden
Only web-safe colours	Nur websichere Farben
Opacity	Deckkraft
Opacity 10%	Deckkraft 10 %
Opacity 100%	Deckkraft 100 %
Opacity 20%	Deckkraft 20 %
Opacity 30%	Deckkraft 30 %
Opacity 40%	Deckkraft 40 %
Opacity 50%	Deckkraft 50 %
Opacity 60%	Deckkraft 60 %
Opacity 70%	Deckkraft 70 %
Opacity 80%	Deckkraft 80 %
Opacity 90%	Deckkraft 90 %
Opacity jitter	Deckkraft-Jitter
Opacity key	Deckkraft-Keyframe
Opacity must be between 0% and 100%	Die Deckkraft muss zwischen 0 % und 100 % liegen
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	Die Deckkraft skaliert die Ebene und ihre Effekte; die Fläche skaliert nur die eigenen Pixel der Ebene.
Opacity stops sit above the bar, colour stops below it.	Deckkraftunterbrechungen liegen über dem Balken, Farbunterbrechungen darunter.
Open	Öffnen
Open .ABR…	.ABR öffnen…
Open .ACO…	.ACO öffnen…
Open .ASL…	.ASL öffnen…
Open Recent	Letzte Dateien öffnen
Open a document first	Öffnen Sie zuerst ein Dokument
Open a document to animate it.	Öffnen Sie ein Dokument, um es zu animieren.
Open a document to apply styles to its layers.	Öffnen Sie ein Dokument, um Stile auf seine Ebenen anzuwenden.
Open a document to insert glyphs into its text.	Öffnen Sie ein Dokument, um Glyphen in seinen Text einzufügen.
Open a document to keep text styles in it.	Öffnen Sie ein Dokument, um Textformate darin zu speichern.
Open a document to lay guides out on it.	Öffnen Sie ein Dokument, um darauf Hilfslinien anzulegen.
Open a document to pin notes on it.	Öffnen Sie ein Dokument, um Notizen daran zu heften.
Open a document to record layer comps.	Öffnen Sie ein Dokument, um Ebenenkompositionen zu speichern.
Open a document to see its CSS	Öffnen Sie ein Dokument, um sein CSS zu sehen
Open a document to see its facts.	Öffnen Sie ein Dokument, um seine Angaben zu sehen.
Open a document to see its histogram	Öffnen Sie ein Dokument, um sein Histogramm zu sehen
Open a document to see its history	Öffnen Sie ein Dokument, um sein Protokoll zu sehen
Open a document to see its properties	Öffnen Sie ein Dokument, um seine Eigenschaften zu sehen
Open another document, or add another pixel layer, to match its colours.	Öffnen Sie ein weiteres Dokument oder fügen Sie eine weitere Pixelebene hinzu, um deren Farben anzugleichen.
Open as	Öffnen als
Open editor…	Editor öffnen…
Open the Adjustments panel	Korrekturen-Bedienfeld öffnen
Open…	Öffnen…
Operation	Vorgang
Orange	Orange
Other	Sonstige
Out of gamut	Außerhalb des Farbumfangs
Outer Glow	Schein nach außen
Outer Glow…	Schein nach außen…
Outline the path	Kontur des Pfads
Output	Ausgabe
Output channel	Ausgabekanal
Outside	Außen
Overlay	Ineinanderkopieren
PBM…	PBM…
PDF Presentation…	PDF-Präsentation…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Seite
Page {n}	Seite {n}
Page {page} opens at {w} x {h} px	Seite {page} öffnet mit {w} x {h} px
Pages	Seiten
Paint	Malen
Paint Filter Mask	Filtermaske malen
Paint Mask	Maske malen
Paint over the part to keep with the foreground brush first.	Übermalen Sie zuerst mit dem Vordergrundpinsel den Teil, der bleiben soll.
Paint over what to keep and over what to drop	Übermalen Sie, was bleiben, und was wegfallen soll
Paint the inside of the path	Das Innere des Pfads füllen
Painting	Malen
Paints a band along the active selection's border.	Malt ein Band entlang des Rands der aktiven Auswahl.
Pair kerning	Paar-Kerning
Palette	Palette
Paragraph	Absatz
Paragraph Style	Absatzformat
Paragraph Styles	Absatzformate
Particles…	Partikel…
Paste	Einfügen
Paste Into	In die Auswahl einfügen
Paste Layer Style	Ebenenstil einfügen
Paste Outside	Außerhalb einfügen
Paste Special	Inhalte einfügen
Paste in Place	An Originalposition einfügen
Path	Pfad
Path Blur…	Pfad-Weichzeichnung…
Path editing lives in the Paths panel	Die Pfadbearbeitung befindet sich im Pfade-Bedienfeld
Paths	Pfade
Pattern	Muster
Pattern Dither	Muster-Dither
Pattern Overlay	Musterüberlagerung
Pattern Overlay…	Musterüberlagerung…
Pattern Preview	Mustervorschau
Pattern…	Muster…
Pencil 1px	Buntstift 1 px
Percent	Prozent
Perceptual	Perzeptiv
Perspective	Perspektivisch
Perspective Warp	Perspektivische Verformung
Photo Filter	Fotofilter
Photo Filter…	Fotofilter…
Photography	Fotografie
Picas	Pica
Pick a filter; it applies at its default settings.	Wählen Sie einen Filter; er wird mit seinen Standardeinstellungen angewendet.
Pin Light	Lichtpunkt
Pinch…	Zusammenziehen…
Pixel Grid	Pixelraster
Pixel dimensions	Pixelmaße
Pixel mask	Pixelmaske
Pixelate	Vergröberungsfilter
Pixels	Pixel
Place Embedded…	Eingebettet platzieren…
Place Linked…	Verknüpft platzieren…
Play	Abspielen
Play from step	Ab Schritt abspielen
Play selection	Auswahl abspielen
Play this step (unchecked steps are passed over)	Diesen Schritt abspielen (nicht markierte Schritte werden übersprungen)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Spielt eine aufgezeichnete Aktion auf jedes Bild im Quellordner ab und speichert jedes Ergebnis im Ziel.
Pointer	Zeiger
Pointillize…	Punktieren…
Points	Punkt
Polar Coordinates…	Polarkoordinaten…
Position	Position
Position is locked — unlock it in the Layers panel to move or resize	Die Position ist fixiert – heben Sie die Fixierung im Ebenen-Bedienfeld auf, um zu verschieben oder die Größe zu ändern
Position key	Positions-Keyframe
Posterize	Tontrennung
Posterize…	Tontrennung…
Precise Cursor	Präziser Zeiger
Preferences…	Voreinstellungen…
Preserve Transparency	Transparenz erhalten
Preserve luminosity	Luminanz erhalten
Preset Manager…	Vorgaben-Manager…
Press a key…	Drücken Sie eine Taste…
Pressure controls flow	Druck steuert den Fluss
Pressure controls size	Druck steuert die Größe
Preview	Vorschau
Preview against	Vorschau vor
Preview is off.	Die Vorschau ist aus.
Previewed on the active layer; applied to its pixels as one undoable step.	Vorschau auf der aktiven Ebene; wird in einem widerrufbaren Schritt auf ihre Pixel angewendet.
Previous Blend Mode	Vorheriger Mischmodus
Print Size	Ausgabegröße
Print as PDF…	Als PDF drucken…
Print size	Druckgröße
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Druckt das Graustufenbild über eine bis vier Druckfarben, jede über ihre eigene Kurve. Die Druckfarben werden beim Moduswechsel auf die Pixel angewendet.
Print…	Drucken…
Profile	Profil
Profile from File…	Profil aus Datei…
Profiles are assigned to RGB documents	Profile werden RGB-Dokumenten zugewiesen
Profiles are converted between in RGB documents	Zwischen Profilen wird in RGB-Dokumenten umgewandelt
Profiles belong to RGB documents; convert to RGB first	Profile gehören zu RGB-Dokumenten; wandeln Sie zuerst in RGB um
Proof Colors	Farbproof
Properties	Eigenschaften
Puppet Warp	Formgitter
Purge	Entleeren
Purple	Violett
Quadtone	Quadruplex
Quality	Qualität
Quick Export Layer as PNG…	Schnellexport der Ebene als PNG…
Quit	Beenden
RGB Color	RGB-Farbe
Radial Blur…	Radialer Weichzeichner…
Radius	Radius
Radius (px)	Radius (px)
Range	Bereich
Raster Studio Help	Raster Studio-Hilfe
Rasterize	Rastern
Reassign anyway	Trotzdem neu zuweisen
Recent	Zuletzt verwendet
Record	Aufzeichnen
Record Source Size	Quellgröße erfassen
Record an Action in the Actions panel first	Zeichnen Sie zuerst im Aktionen-Bedienfeld eine Aktion auf
Record an edit, then replay the whole sequence on any document with at least as many layers.	Zeichnen Sie eine Bearbeitung auf und spielen Sie die ganze Folge auf jedem Dokument mit mindestens so vielen Ebenen ab.
Record into set	In Satz aufzeichnen
Recording: every edit is captured until Stop	Aufzeichnung: Jede Bearbeitung wird bis Stopp erfasst
Red	Rot
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Ausgewählte(s) {noun} aus der aktiven Textebene neu definieren und jede Ebene umgestalten, die es verwendet
Redo	Wiederholen
Reds	Rottöne
Reduce Colors	Farben reduzieren
Reduce Colors changed nothing: the layer already uses only colours of that palette	Farben reduzieren hat nichts geändert: Die Ebene verwendet bereits nur Farben dieser Palette
Reduce Colors: the layer now uses at most {n} colours	Farben reduzieren: Die Ebene verwendet jetzt höchstens {n} Farben
Reduce Colors…	Farben reduzieren…
Reduce Noise…	Rauschen reduzieren…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Reduziert das Graustufenbild auf reines Schwarz und Weiß. Die Ebenen werden auf Weiß zu einer reduziert.
Reference point: Bottom	Bezugspunkt: Unten
Reference point: Bottom Left	Bezugspunkt: Unten links
Reference point: Bottom Right	Bezugspunkt: Unten rechts
Reference point: Centre	Bezugspunkt: Mitte
Reference point: Left	Bezugspunkt: Links
Reference point: Right	Bezugspunkt: Rechts
Reference point: Top	Bezugspunkt: Oben
Reference point: Top Left	Bezugspunkt: Oben links
Reference point: Top Right	Bezugspunkt: Oben rechts
Refine	Verfeinern
Refine Edge…	Kante verbessern…
Refine Mask	Maske verbessern
Refine Mask…	Maske verbessern…
Regular	Normal
Relative	Relativ
Relative Colorimetric	Relativ farbmetrisch
Release Clipping Mask	Schnittmaske zurückwandeln
Release Notes	Versionshinweise
Relink to File…	Erneut mit Datei verknüpfen…
Remove Black Matte	Schwarz entfernen
Remove Color Fringe	Farbsaum entfernen
Remove Color Fringe…	Farbsaum entfernen…
Remove Fringe	Rand entfernen
Remove White Matte	Weiß entfernen
Remove export	Export entfernen
Remove this instance of the effect	Diese Instanz des Effekts entfernen
Remove this shortcut	Diesen Tastaturbefehl entfernen
Rename Layer	Ebene umbenennen
Rename Layer…	Ebene umbenennen…
Rename set	Satz umbenennen
Render	Rendern
Rendering the preview…	Vorschau wird gerendert…
Repeat…	Wiederholen…
Replace Color	Farbe ersetzen
Replace Color…	Farbe ersetzen…
Replace Contents	Inhalt ersetzen
Replace Contents…	Inhalt ersetzen…
Replace existing guides	Vorhandene Hilfslinien ersetzen
Replay	Erneut abspielen
Report an Issue	Problem melden
Reselect	Erneut auswählen
Reset	Zurücksetzen
Reset Transform	Transformation zurücksetzen
Reset View Rotation	Ansichtsdrehung zurücksetzen
Reset all shortcuts	Alle Tastaturbefehle zurücksetzen
Resize Canvas	Arbeitsfläche ändern
Resize Images	Bilder skalieren
Resize Images…	Bilder skalieren…
Resolution	Auflösung
Resolution must be greater than zero	Die Auflösung muss größer als null sein
Restore Layer	Ebene wiederherstellen
Result	Ergebnis
Return this tool to its defaults	Dieses Werkzeug auf seine Standards zurücksetzen
Reveal All	Alles einblenden
Reveal Selection	Auswahl einblenden
Reverse	Umkehren
Revert	Zurück zur letzten Version
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Schreibt die Werte jeder Pixelebene so um, dass das Bild unter dem Zielprofil gleich aussieht, als ein Rückgängig-Schritt.
Right	Rechts
Right (narrow)	Rechts (schmal)
Right (wide)	Rechts (breit)
Right Edges	Rechte Kanten
Right indent	Einzug rechts
Right-click a swatch to remove it	Klicken Sie mit der rechten Maustaste auf ein Farbfeld, um es zu entfernen
Ring	Ring
Ripple…	Kräuseln…
Rise	Aufsteigend
Rotate	Drehen
Rotate 180°	180° drehen
Rotate 90° Clockwise	90° im Uhrzeigersinn drehen
Rotate 90° Counter Clockwise	90° gegen den Uhrzeigersinn drehen
Rotate Canvas	Arbeitsfläche drehen
Rotate the active layer so the measured line is level (Enter)	Aktive Ebene drehen, sodass die gemessene Linie waagerecht ist (Eingabe)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Dreht die Arbeitsfläche und jede Ebene. Rechte Winkel sind pixelgenau; andere Winkel werden neu berechnet.
Rotation key	Drehungs-Keyframe
Round	Rund
Round (computed)	Rund (berechnet)
Rounded Steps	Gerundete Stufen
Roundness jitter	Rundheits-Jitter
Rows	Zeilen
Rulers	Lineale
Run	Ausführen
SVG…	SVG…
Same Radii	Gleiche Radien
Sample a colour from the canvas	Eine Farbe von der Arbeitsfläche aufnehmen
Sample radius	Aufnahmeradius
Sampled	Aufgenommen
Sampled colour	Aufgenommene Farbe
Sampled tip not loaded; painting round	Aufgenommene Spitze nicht geladen; es wird rund gemalt
Satin…	Glanz…
Saturation	Sättigung
Saturation jitter	Sättigungs-Jitter
Save	Speichern
Save As	Speichern unter
Save As…	Speichern unter…
Save Brush	Pinsel speichern
Save Selection	Auswahl speichern
Save Selection…	Auswahl speichern…
Save actions	Aktionen speichern
Save as PSD…	Als PSD speichern…
Save current brush	Aktuellen Pinsel speichern
Save selection as channel	Auswahl als Kanal speichern
Saves every image in the source folder to the destination in another format, quality or size.	Speichert jedes Bild im Quellordner in einem anderen Format, einer anderen Qualität oder Größe im Ziel.
Scale	Skalieren
Scale %	Skalierung %
Scale Effects	Effekte skalieren
Scale Effects…	Effekte skalieren…
Scale H	Skalierung H
Scale V	Skalierung V
Scale key	Skalierungs-Keyframe
Scale:	Skalieren:
Scales every size and distance of the active layer's style as one undo step.	Skaliert jede Größe und jeden Abstand des Stils der aktiven Ebene in einem Rückgängig-Schritt.
Scaling by 100% changes nothing	Skalieren um 100 % ändert nichts
Scratch directory	Arbeitsverzeichnis
Screen	Negativ multiplizieren
Screen, print and social presets	Vorgaben für Bildschirm, Druck und soziale Netzwerke
Script…	Skript…
Scroll wheel zooms instead of scrolling	Mausrad zoomt statt zu scrollen
Search Commands…	Befehle suchen…
Search layers	Ebenen suchen
Search layers by name	Ebenen nach Namen suchen
Select	Auswahl
Select All	Alles auswählen
Select Bottom Layer	Unterste Ebene auswählen
Select Layer Above	Ebene darüber auswählen
Select Layer Below	Ebene darunter auswählen
Select Linked Layers	Verknüpfte Ebenen auswählen
Select None	Nichts auswählen
Select Top Layer	Oberste Ebene auswählen
Select a layer first	Wählen Sie zuerst eine Ebene aus
Select a layer to see its CSS	Wählen Sie eine Ebene aus, um ihr CSS zu sehen
Select a layer to see its properties	Wählen Sie eine Ebene aus, um ihre Eigenschaften zu sehen
Select a layer: a click on a style applies it to the active layer.	Wählen Sie eine Ebene aus: Ein Klick auf einen Stil wendet ihn auf die aktive Ebene an.
Select a path first	Wählen Sie zuerst einen Pfad aus
Select a text layer, or type into one: a click inserts the glyph at the caret.	Wählen Sie eine Textebene aus oder tippen Sie in eine: Ein Klick fügt die Glyphe an der Einfügemarke ein.
Select every pixel near one colour	Jedes Pixel nahe einer Farbe auswählen
Selection	Auswahl
Selection Edges	Auswahlkanten
Selection: white is replaced, black is kept.	Auswahl: Weiß wird ersetzt, Schwarz bleibt.
Selective Color	Selektive Farbkorrektur
Selective Color…	Selektive Farbkorrektur…
Selects a band of this width along the selection's edge	Wählt ein Band dieser Breite entlang des Auswahlrands aus
Semi Condensed	Halbschmal
Semi Expanded	Halbbreit
Semibold	Halbfett
Send Backward	Schrittweise nach hinten
Send to Back	In den Hintergrund
Separate documents	Separate Dokumente
Separate keywords with commas or semicolons.	Stichwörter mit Kommas oder Semikolons trennen.
Sepia	Sepia
Set	Satz
Set the History Brush to paint from this state (the marked row)	Den Protokollpinsel von diesem Zustand malen lassen (die markierte Zeile)
Shadows	Tiefen
Shadows/Highlights	Tiefen/Lichter
Shadows/Highlights…	Tiefen/Lichter…
Shape	Form
Shape Dynamics	Formeigenschaften
Shape Mosaic…	Formmosaik…
Sharpen	Scharfzeichnen
Sharpen Edges	Konturen scharfzeichnen
Sharpen More	Stärker scharfzeichnen
