# Raster Studio interface strings, pt-BR. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Português (Brasil)
Lighting Effects…	Efeitos de iluminação…
Lightness	Luminosidade
Line	Linha
Linear	Linear
Linear Burn	Superexposição linear
Linear Dodge (Add)	Subexposição linear (adicionar)
Linear Light	Luz linear
Link / Unlink Mask	Vincular / desvincular máscara
Link Layers	Vincular camadas
Link selected layers	Vincular as camadas selecionadas
Link with layer	Vincular à camada
Linked	Vinculado
Linked file	Arquivo vinculado
Liquify…	Dissolver…
Live Shape	Forma dinâmica
Live preview	Visualização ao vivo
Live preview is off.	A visualização ao vivo está desativada.
Load	Carregar
Load .atn	Carregar .atn
Load .cube file…	Carregar arquivo .cube…
Load Selection	Carregar seleção
Load Selection…	Carregar seleção…
Load actions	Carregar ações
Load channel as selection	Carregar canal como seleção
Load path as a selection	Carregar demarcador como seleção
Loaded file	Arquivo carregado
Lock	Bloquear
Lock All	Bloquear tudo
Lock Guides	Bloquear guias
Lock Image Pixels	Bloquear pixels da imagem
Lock Position	Bloquear posição
Lock Transparent Pixels	Bloquear pixels transparentes
Lock all	Bloquear tudo
Lock pixels	Bloquear pixels
Lock position	Bloquear posição
Lock transparent pixels	Bloquear pixels transparentes
Long-tap as a right click	Toque longo como clique direito
Lookup table	Tabela de pesquisa
Luminance	Luminância
Luminance of the preview source; the markers are the black and white points.	Luminância da origem da visualização; os marcadores são os pontos de preto e de branco.
Luminosity	Luminosidade
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Verde
Magentas	Magentas
Magic Cut	Corte mágico
Magic Cut…	Corte mágico…
Make Frames	Criar quadros
Make a selection first	Faça uma seleção primeiro
Make work path from selection	Criar demarcador de trabalho a partir da seleção
Manual	Manual
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Mapeia cada cor em uma paleta. O documento mantém pixels RGBA; a exportação GIF e PNG grava esta paleta.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Mapeia a camada ativa em uma paleta em uma única etapa desfazível; o documento continua RGB.
Margins	Margens
Mark this state so you can come back to it	Marcar este estado para poder voltar a ele
Mask	Máscara
Mask Properties	Propriedades da máscara
Mask source	Origem da máscara
Match Color	Corresponder cor
Match Color…	Corresponder cor…
Matting	Contorno
Maximum	Máximo
Maximum…	Máximo…
Mean	Média
Median	Mediana
Median…	Mediana…
Medium	Médio
Memory	Memória
Menu Bar and Canvas	Barra de menus e tela
Merge	Mesclar
Merge Channels	Mesclar canais
Merge Channels…	Mesclar canais…
Merge Down	Mesclar para baixo
Merge Layers	Mesclar camadas
Merge Visible	Mesclar visíveis
Merged	Mesclado
Method	Método
Metrics	Métrica
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Métrica usa o kerning de pares da fonte; 0 desliga o kerning; Manual coloca um valor (1/1000 em) entre cada par do texto atual, e os caracteres digitados depois começam sem kerning; precisa de pelo menos dois caracteres, então textos mais curtos e os padrões da ferramenta Texto não o oferecem. O modelador não tem kerning óptico, então esse modo não é oferecido.
Mezzotint…	Meia-tinta…
Midtones	Tons médios
Millimeters	Milímetros
Min diameter	Diâmetro mín.
Min roundness	Arredondamento mín.
Min size	Tamanho mín.
Minimal	Mínimo
Minimum	Mínimo
Minimum size only applies when pressure controls size.	O tamanho mínimo só se aplica quando a pressão controla o tamanho.
Minimum…	Mínimo…
Miter	Esquadria
Mode	Modo
Modify	Modificar
Monochrome	Monocromático
Monotone	Monotom
More readouts	Mais leituras
More tabs	Mais abas
Mosaic…	Mosaico…
Motion Blur…	Desfoque de movimento…
Move Layer	Mover camada
Move a control first: these settings would change nothing	Mova primeiro um controle: estas configurações não mudariam nada
Move this panel	Mover este painel
Move this panel within its dock	Mover este painel dentro do seu encaixe
Move to	Mover para
Move with the layer	Mover com a camada
Multiply	Multiplicação
Name	Nome
Name Change	Mudança de nome
Name the channel first.	Dê primeiro um nome ao canal.
Navigator	Navegador
Nearest Neighbour	Vizinho mais próximo
Neutralize	Neutralizar
Neutrals	Neutros
New	Novo
New Adjustment Layer	Nova camada de ajuste
New Channel	Novo canal
New Document	Novo documento
New Fill Layer	Nova camada de preenchimento
New Folder	Nova pasta
New Guide	Nova guia
New Guide Layout	Novo layout de guias
New Guide Layout…	Novo layout de guias…
New Guides from Shape	Novas guias a partir da forma
New Guide…	Nova guia…
New Layer	Nova camada
New Layer Based Slice	Nova fatia baseada em camada
New Selection	Nova seleção
New Smart Object via Copy	Novo objeto inteligente via cópia
New Snapshot	Novo instantâneo
New Spot Channel	Novo canal de cor especial
New Spot Channel…	Novo canal de cor especial…
New Style Preset	Nova predefinição de estilo
New Video Group	Novo grupo de vídeo
New channel	Novo canal
New folder	Nova pasta
New group	Novo grupo
New layer	Nova camada
New layer comp	Nova composição de camadas
New note at the centre of the view	Nova nota no centro da visualização
New path (saves the Work Path when it is selected)	Novo demarcador (salva o demarcador de trabalho quando selecionado)
New set	Novo conjunto
New size	Novo tamanho
New style from the active layer	Novo estilo a partir da camada ativa
New tool preset from the active tool	Nova predefinição de ferramenta a partir da ferramenta ativa
New {noun} from the active text layer	Novo {noun} a partir da camada de texto ativa
New…	Novo…
Next Blend Mode	Próximo modo de mesclagem
No Color	Sem cor
No character styles yet. New records the active text layer's font, size and look.	Ainda não há estilos de caractere. Novo registra a fonte, o tamanho e a aparência da camada de texto ativa.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	Nesta versão nenhum comando carrega um canal como seleção; Carregar seleção do menu Selecionar restaura uma seleção salva em vez disso
No commands to bind	Não há comandos para vincular
No document	Nenhum documento
No document is open	Nenhum documento está aberto
No export selected	Nenhuma exportação selecionada
No faces listed for this family name	Nenhum estilo listado para este nome de família
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Ainda não há quadros. Adicionar quadro cria uma camada _a_: cada uma é um quadro, a de baixo primeiro.
No guide crosses the canvas	Nenhuma guia cruza a tela
No installed family matches	Nenhuma família instalada corresponde
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Ainda não há composições de camadas. Nova composição de camadas registra a visibilidade, a posição e a aparência de cada camada.
No layers yet. Add one with the + button below.	Ainda não há camadas. Adicione uma com o botão + abaixo.
No layers yet: each top-level layer gets a bar on the timeline.	Ainda não há camadas: cada camada de nível superior recebe uma barra na linha do tempo.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Ainda não há notas. Clique na tela com a ferramenta Nota (I), ou Nova nota fixa uma no centro da visualização; as notas são salvas com o documento e nunca exportadas.
No open document is the same size as this one	Nenhum documento aberto tem o mesmo tamanho que este
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Ainda não há estilos de parágrafo. Novo registra o alinhamento, os recuos e o espaçamento da camada de texto ativa.
No pattern chosen — the overlay paints nothing.	Nenhum padrão escolhido — a sobreposição não pinta nada.
No patterns are defined yet	Ainda não há padrões definidos
No profile file was chosen	Nenhum arquivo de perfil foi escolhido
No recent files yet	Ainda não há arquivos recentes
No selection has been saved	Nenhuma seleção foi salva
No source recorded for this object	Nenhuma origem registrada para este objeto
No stop selected	Nenhuma parada selecionada
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Ainda não há predefinições de estilo. Defina uma em Camada > Estilo de camada > Definir predefinição de estilo, ou adicione uma biblioteca do Photoshop em Arquivo > Abrir (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Ainda não há estilos. O botão + salva o estilo da camada ativa; Arquivo > Abrir carrega uma biblioteca de estilos .asl.
No such command	Esse comando não existe
No tool presets yet. New Tool Preset saves the active tool with its current options.	Ainda não há predefinições de ferramenta. Nova predefinição de ferramenta salva a ferramenta ativa com as opções atuais.
Noise	Ruído
None	Nenhum
Normal	Normal
Normal Map…	Mapa normal…
Not a hex colour	Não é uma cor hexadecimal
Not installed — shaping with	Não instalada — composta com
Not saved yet	Ainda não salvo
Notes	Notas
Nothing has changed	Nada mudou
Nothing in this submenu is available right now	Nada neste submenu está disponível agora
Nothing is left to learn the background from: paint over it with the background brush.	Não sobrou nada para aprender o fundo: pinte sobre ele com o pincel de fundo.
Nothing to measure yet — paint or place something on this layer first	Ainda não há nada para medir — pinte ou coloque algo nesta camada primeiro
Nothing to preview.	Nada para visualizar.
OK	OK
Oblique	Oblíquo
Off: the wheel pans the view and Ctrl+wheel zooms	Desativado: a roda rola a visualização e Ctrl+roda aplica zoom
Offset…	Deslocamento…
Oil Paint…	Pintura a óleo…
One page holding the flattened image; no vector content.	Uma página com a imagem achatada; sem conteúdo vetorial.
Onion skin	Papel vegetal
Only English is available in this build	Só o inglês está disponível nesta versão
Only a mask channel can be loaded as a selection here	Aqui só um canal de máscara pode ser carregado como seleção
Only web-safe colours	Somente cores da Web
Opacity	Opacidade
Opacity 10%	Opacidade 10%
Opacity 100%	Opacidade 100%
Opacity 20%	Opacidade 20%
Opacity 30%	Opacidade 30%
Opacity 40%	Opacidade 40%
Opacity 50%	Opacidade 50%
Opacity 60%	Opacidade 60%
Opacity 70%	Opacidade 70%
Opacity 80%	Opacidade 80%
Opacity 90%	Opacidade 90%
Opacity jitter	Variação de opacidade
Opacity key	Chave de opacidade
Opacity must be between 0% and 100%	A opacidade deve estar entre 0% e 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	A opacidade escala a camada e seus efeitos; Preenchimento escala só os pixels da própria camada.
Opacity stops sit above the bar, colour stops below it.	As paradas de opacidade ficam acima da barra e as de cor abaixo.
Open	Abrir
Open .ABR…	Abrir .ABR…
Open .ACO…	Abrir .ACO…
Open .ASL…	Abrir .ASL…
Open Recent	Abrir recentes
Open a document first	Abra um documento primeiro
Open a document to animate it.	Abra um documento para animá-lo.
Open a document to apply styles to its layers.	Abra um documento para aplicar estilos às suas camadas.
Open a document to insert glyphs into its text.	Abra um documento para inserir glifos no texto.
Open a document to keep text styles in it.	Abra um documento para guardar estilos de texto nele.
Open a document to lay guides out on it.	Abra um documento para dispor guias nele.
Open a document to pin notes on it.	Abra um documento para fixar notas nele.
Open a document to record layer comps.	Abra um documento para registrar composições de camadas.
Open a document to see its CSS	Abra um documento para ver o CSS dele
Open a document to see its facts.	Abra um documento para ver os dados dele.
Open a document to see its histogram	Abra um documento para ver o histograma dele
Open a document to see its history	Abra um documento para ver o histórico dele
Open a document to see its properties	Abra um documento para ver as propriedades dele
Open another document, or add another pixel layer, to match its colours.	Abra outro documento, ou adicione outra camada de pixels, para corresponder às cores.
Open as	Abrir como
Open editor…	Abrir editor…
Open or close the folder	Abrir ou fechar a pasta
Open the Adjustments panel	Abrir o painel Ajustes
Open…	Abrir…
Operation	Operação
Orange	Laranja
Other	Outros
Out of gamut	Fora da gama
Outer Glow	Brilho externo
Outer Glow…	Brilho externo…
Outline the path	Contornar o demarcador
Output	Saída
Output channel	Canal de saída
Outside	Fora
Overlay	Sobrepor
PBM…	PBM…
PDF Presentation…	Apresentação PDF…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Página
Page {n}	Página {n}
Page {page} opens at {w} x {h} px	A página {page} abre com {w} x {h} px
Pages	Páginas
Paint	Pintura
Paint Filter Mask	Pintar máscara de filtro
Paint Mask	Pintar máscara
Paint over the part to keep with the foreground brush first.	Pinte primeiro com o pincel de primeiro plano a parte a manter.
Paint over what to keep and over what to drop	Pinte sobre o que manter e sobre o que descartar
Paint the inside of the path	Pintar o interior do demarcador
Painting	Pintura
Paints a band along the active selection's border.	Pinta uma faixa ao longo da borda da seleção ativa.
Pair kerning	Kerning de pares
Palette	Paleta
Paragraph	Parágrafo
Paragraph Style	Estilo de parágrafo
Paragraph Styles	Estilos de parágrafo
Particles…	Partículas…
Paste	Colar
Paste Into	Colar dentro
Paste Layer Style	Colar estilo de camada
Paste Outside	Colar fora
Paste Special	Colar especial
Paste in Place	Colar no lugar
Path	Demarcador
Path Blur…	Desfoque de demarcador…
Path editing lives in the Paths panel	A edição de demarcadores fica no painel Demarcadores
Paths	Demarcadores
Pattern	Padrão
Pattern Dither	Pontilhamento de padrão
Pattern Overlay	Sobreposição de padrão
Pattern Overlay…	Sobreposição de padrão…
Pattern Preview	Visualização de padrão
Pattern…	Padrão…
Pencil 1px	Lápis 1 px
Percent	Porcentagem
Perceptual	Perceptivo
Perspective	Perspectiva
Perspective Warp	Distorção de perspectiva
Photo Filter	Filtro de fotos
Photo Filter…	Filtro de fotos…
Photography	Fotografia
Picas	Paicas
Pick a filter; it applies at its default settings.	Escolha um filtro; ele é aplicado com as configurações padrão.
Pin Light	Luz do pino
Pinch…	Apertar…
Pixel Grid	Grade de pixels
Pixel dimensions	Dimensões em pixels
Pixel mask	Máscara de pixels
Pixel to Pixel	Pixel a pixel
Pixelate	Pixelização
Pixels	Pixels
Place Embedded…	Inserir incorporado…
Place Linked…	Inserir vinculado…
Play	Reproduzir
Play from step	Reproduzir a partir da etapa
Play selection	Reproduzir seleção
Play this step (unchecked steps are passed over)	Reproduzir esta etapa (etapas desmarcadas são ignoradas)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Reproduz uma ação gravada em cada imagem da pasta de origem e salva cada resultado no destino.
Pointer	Ponteiro
Pointillize…	Pontilhar…
Points	Pontos
Polar Coordinates…	Coordenadas polares…
Position	Posição
Position is locked — unlock it in the Layers panel to move or resize	A posição está bloqueada — desbloqueie-a no painel Camadas para mover ou redimensionar
Position key	Chave de posição
Posterize	Posterizar
Posterize…	Posterizar…
Precise Cursor	Cursor preciso
Preferences…	Preferências…
Preserve Transparency	Preservar transparência
Preserve luminosity	Preservar luminosidade
Preset Manager…	Gerenciador de predefinições…
Press a key…	Pressione uma tecla…
Pressure controls flow	A pressão controla o fluxo
Pressure controls size	A pressão controla o tamanho
Preview	Visualizar
Preview against	Visualizar sobre
Preview is off.	A visualização está desativada.
Previewed on the active layer; applied to its pixels as one undoable step.	Visualizado na camada ativa; aplicado aos pixels dela em uma única etapa desfazível.
Previous Blend Mode	Modo de mesclagem anterior
Print Size	Tamanho de impressão
Print as PDF…	Imprimir como PDF…
Print size	Tamanho de impressão
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Imprime a imagem em tons de cinza com uma a quatro tintas, cada uma com sua própria curva. As tintas são aplicadas aos pixels quando o modo muda.
Print…	Imprimir…
Profile	Perfil
Profile from File…	Perfil de arquivo…
Profiles are assigned to RGB documents	Perfis são atribuídos a documentos RGB
Profiles are converted between in RGB documents	A conversão entre perfis ocorre em documentos RGB
Profiles belong to RGB documents; convert to RGB first	Perfis pertencem a documentos RGB; converta para RGB primeiro
Proof Colors	Cores de prova
Properties	Propriedades
Puppet Warp	Distorção de marionete
Purge	Limpar memória
Purple	Roxo
Quadtone	Quadritônico
Quality	Qualidade
Quick Export Layer as PNG…	Exportação rápida da camada como PNG…
Quit	Sair
RGB Color	Cor RGB
Radial Blur…	Desfoque radial…
Radius	Raio
Radius (px)	Raio (px)
Range	Intervalo
Raster Studio Help	Ajuda do Raster Studio
Rasterize	Rasterizar
Reassign anyway	Reatribuir mesmo assim
Recent	Recentes
Record	Gravar
Record Source Size	Registrar tamanho de origem
Record an Action in the Actions panel first	Grave primeiro uma ação no painel Ações
Record an edit, then replay the whole sequence on any document with at least as many layers.	Grave uma edição e depois reproduza a sequência inteira em qualquer documento com pelo menos o mesmo número de camadas.
Record into set	Gravar no conjunto
Recording: every edit is captured until Stop	Gravando: cada edição é capturada até Parar
Red	Vermelho
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Redefinir {noun} selecionado a partir da camada de texto ativa, reestilizando cada camada que o usa
Redo	Refazer
Reds	Vermelhos
Reduce Colors	Reduzir cores
Reduce Colors changed nothing: the layer already uses only colours of that palette	Reduzir cores não mudou nada: a camada já usa só cores dessa paleta
Reduce Colors: the layer now uses at most {n} colours	Reduzir cores: a camada agora usa no máximo {n} cores
Reduce Colors…	Reduzir cores…
Reduce Noise…	Reduzir ruído…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Reduz a imagem em tons de cinza a preto e branco puros. As camadas são achatadas em uma, sobre branco.
Reference point: Bottom	Ponto de referência: inferior
Reference point: Bottom Left	Ponto de referência: inferior esquerdo
Reference point: Bottom Right	Ponto de referência: inferior direito
Reference point: Centre	Ponto de referência: centro
Reference point: Left	Ponto de referência: esquerda
Reference point: Right	Ponto de referência: direita
Reference point: Top	Ponto de referência: superior
Reference point: Top Left	Ponto de referência: superior esquerdo
Reference point: Top Right	Ponto de referência: superior direito
Refine	Refinar
Refine Edge…	Refinar borda…
Refine Mask	Refinar máscara
Refine Mask…	Refinar máscara…
Regular	Regular
Relative	Relativo
Relative Colorimetric	Colorimétrico relativo
Release Clipping Mask	Liberar máscara de corte
Release Notes	Notas da versão
Relink to File…	Revincular ao arquivo…
Remove Black Matte	Remover fosco preto
Remove Color Fringe	Remover franja de cor
Remove Color Fringe…	Remover franja de cor…
Remove Fringe	Remover franjas
Remove White Matte	Remover fosco branco
Remove export	Remover exportação
Remove this instance of the effect	Remover esta instância do efeito
Remove this shortcut	Remover este atalho
Rename Layer	Renomear camada
Rename Layer…	Renomear camada…
Rename set	Renomear conjunto
Render	Acabamento
Rendering the preview…	Renderizando a visualização…
Repeat…	Repetir…
Replace Color	Substituir cor
Replace Color…	Substituir cor…
Replace Contents	Substituir conteúdo
Replace Contents…	Substituir conteúdo…
Replace existing guides	Substituir as guias existentes
Replay	Reproduzir novamente
Report an Issue	Relatar um problema
Reselect	Selecionar novamente
Reset	Redefinir
Reset Transform	Redefinir transformação
Reset View Rotation	Redefinir rotação da visualização
Reset all shortcuts	Redefinir todos os atalhos
Resize Canvas	Redimensionar tela
Resize Images	Redimensionar imagens
Resize Images…	Redimensionar imagens…
Resolution	Resolução
Resolution must be greater than zero	A resolução deve ser maior que zero
Restore Layer	Restaurar camada
Result	Resultado
Return this tool to its defaults	Voltar esta ferramenta aos padrões
Reveal All	Revelar tudo
Reveal Selection	Revelar seleção
Reverse	Inverter
Revert	Reverter
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Regrava os valores de cada camada de pixels para que a imagem pareça igual com o perfil de destino, em uma única etapa desfazível.
Right	Direita
Right (narrow)	Direita (estreita)
Right (wide)	Direita (larga)
Right Edges	Bordas direitas
Right indent	Recuo à direita
Right-click a swatch to remove it	Clique com o botão direito em uma amostra para removê-la
Ring	Anel
Ripple…	Ondulação…
Rise	Ascender
Rotate	Girar
Rotate 180°	Girar 180°
Rotate 90° Clockwise	Girar 90° no sentido horário
Rotate 90° Counter Clockwise	Girar 90° no sentido anti-horário
Rotate Canvas	Girar tela
Rotate the active layer so the measured line is level (Enter)	Girar a camada ativa para que a linha medida fique nivelada (Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Gira a tela e todas as camadas. Ângulos retos são exatos ao pixel; outros ângulos são reamostrados.
Rotation key	Chave de rotação
Round	Redondo
Round (computed)	Redondo (calculado)
Rounded Steps	Etapas arredondadas
Roundness jitter	Variação de arredondamento
Rows	Linhas
Rulers	Réguas
Run	Executar
SVG…	SVG…
Same Radii	Raios iguais
Sample a colour from the canvas	Amostrar uma cor da tela
Sample radius	Raio da amostra
Sampled	Amostrado
Sampled colour	Cor amostrada
Sampled tip not loaded; painting round	Ponta amostrada não carregada; pintando redondo
Satin…	Cetim…
Saturation	Saturação
Saturation jitter	Variação de saturação
Save	Salvar
Save As	Salvar como
Save As…	Salvar como…
Save Brush	Salvar pincel
Save Selection	Salvar seleção
Save Selection…	Salvar seleção…
Save actions	Salvar ações
Save as PSD…	Salvar como PSD…
Save current brush	Salvar o pincel atual
Save selection as channel	Salvar seleção como canal
Saves every image in the source folder to the destination in another format, quality or size.	Salva cada imagem da pasta de origem no destino em outro formato, qualidade ou tamanho.
Scale	Escala
Scale %	Escala %
Scale Effects	Dimensionar efeitos
Scale Effects…	Dimensionar efeitos…
Scale H	Escala H
Scale V	Escala V
Scale key	Chave de escala
Scale:	Escala:
Scales every size and distance of the active layer's style as one undo step.	Dimensiona cada tamanho e distância do estilo da camada ativa em uma única etapa desfazível.
Scaling by 100% changes nothing	Dimensionar em 100% não muda nada
Scratch directory	Diretório temporário
Screen	Divisão
Screen, print and social presets	Predefinições para tela, impressão e redes sociais
Script…	Script…
Scroll wheel zooms instead of scrolling	A roda aplica zoom em vez de rolar
Search Commands…	Pesquisar comandos…
Search layers	Pesquisar camadas
Search layers by name	Pesquisar camadas pelo nome
Select	Selecionar
Select All	Selecionar tudo
Select Bottom Layer	Selecionar a camada inferior
Select Layer Above	Selecionar a camada acima
Select Layer Below	Selecionar a camada abaixo
Select Linked Layers	Selecionar camadas vinculadas
Select None	Não selecionar nada
Select Top Layer	Selecionar a camada superior
Select a layer first	Selecione uma camada primeiro
Select a layer to see its CSS	Selecione uma camada para ver o CSS dela
Select a layer to see its properties	Selecione uma camada para ver as propriedades dela
Select a layer: a click on a style applies it to the active layer.	Selecione uma camada: um clique em um estilo o aplica à camada ativa.
Select a path first	Selecione um demarcador primeiro
Select a text layer, or type into one: a click inserts the glyph at the caret.	Selecione uma camada de texto ou digite em uma: um clique insere o glifo no cursor.
Select a text layer to edit its type	Selecione uma camada de texto para editar seu texto
Select every pixel near one colour	Selecionar cada pixel próximo de uma cor
Selection	Seleção
Selection Edges	Bordas da seleção
Selection: white is replaced, black is kept.	Seleção: o branco é substituído, o preto é mantido.
Selective Color	Cor seletiva
Selective Color…	Cor seletiva…
Selects a band of this width along the selection's edge	Seleciona uma faixa desta largura ao longo da borda da seleção
Semi Condensed	Semicondensado
Semi Expanded	Semiexpandido
Semibold	Seminegrito
Send Backward	Recuar
Send to Back	Enviar para trás
Separate documents	Documentos separados
Separate keywords with commas or semicolons.	Separe as palavras-chave com vírgulas ou ponto e vírgula.
Sepia	Sépia
Set	Conjunto
Set the History Brush to paint from this state (the marked row)	Fazer o pincel do histórico pintar a partir deste estado (a linha marcada)
Shadows	Sombras
Shadows/Highlights	Sombras/realces
Shadows/Highlights…	Sombras/realces…
Shape	Forma
Shape Dynamics	Dinâmica de forma
Shape Mosaic…	Mosaico de formas…
Shape Properties	Propriedades da forma
Sharpen	Tornar nítido
Sharpen Edges	Tornar as bordas nítidas
Sharpen More	Tornar mais nítido
Sharpest, with a little ringing on hard edges.	O mais nítido, com um leve halo em bordas duras.
Shear…	Cisalhamento…
Shift Edge	Deslocar borda
Show	Mostrar
Show / Hide Layer	Mostrar / ocultar camada
Show / hide layer	Mostrar / ocultar camada
Show / hide the effects list	Mostrar / ocultar a lista de efeitos
Show / hide the layer style	Mostrar / ocultar o estilo de camada
Show / hide this channel	Mostrar / ocultar este canal
Show / hide this effect	Mostrar / ocultar este efeito
Show / hide this path	Mostrar / ocultar este demarcador
Show / hide this smart filter	Mostrar / ocultar este filtro inteligente
Show Layers	Mostrar camadas
Show every layer	Mostrar todas as camadas
Show or hide the position, size and alignment fields	Mostrar ou ocultar os campos de posição, tamanho e alinhamento
Show or hide the recorded steps	Mostrar ou ocultar as etapas gravadas
Show or hide the set's actions	Mostrar ou ocultar as ações do conjunto
Show this alpha channel alone in grayscale and paint into it; click again to store it	Mostrar só este canal alfa em tons de cinza e pintar nele; clique novamente para armazená-lo
Sides	Lados
Similar	Semelhante
Size	Tamanho
Size jitter	Variação de tamanho
Skew	Inclinar
Skewness	Assimetria
Slice Options	Opções de fatia
Slice Options…	Opções de fatia…
Slices	Fatias
Slices from Guides	Fatias a partir de guias
Slices…	Fatias…
Small	Pequeno
Small Caps	Versalete
Smart Blur…	Desfoque inteligente…
Smart Filter	Filtro inteligente
Smart Filters	Filtros inteligentes
Smart Guides	Guias inteligentes
Smart Object	Objeto inteligente
Smart Sharpen…	Tornar nítido inteligente…
Smart filter mask: click to paint on it	Máscara de filtro inteligente: clique para pintar nela
Smooth	Suave
Smooth Selection	Suavizar seleção
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Suave desenha bordas em tons de cinza; Nenhum desenha bordas duras e serrilhadas. O redimensionador de glifos tem um único modo suave, então Nítido, Preciso e Forte não são oferecidos.
Smooth…	Suavizar…
Snap	Encaixar
Snap To	Encaixar em
Soft Light	Luz suave
Soft Round 100	Redondo suave 100
Soft Round 24	Redondo suave 24
Soft and cheap. Good for a small enlargement.	Suave e barato. Bom para uma ampliação pequena.
Softer Brush	Pincel mais suave
Solarize	Solarizar
Solid Color…	Cor sólida…
Solidity	Solidez
Source	Origem
Source 1	Origem 1
Source 2	Origem 2
Source Space	Espaço de origem
Spectrum	Espectro
Spherize…	Esfera…
Spin Blur…	Desfoque de rotação…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Divide a camada ativa em camadas de detalhe em Luz linear sobre um resíduo, a mais fina no topo; juntas elas recompõem a camada.
Spot Channel	Canal de cor especial
Spot Channel Options…	Opções do canal de cor especial…
Spot channel: composited over the image as its ink	Canal de cor especial: composto sobre a imagem como sua tinta
Square	Quadrado
Squeeze	Apertar
Stack Mode	Modo de pilha
Stamp Visible	Carimbar visíveis
Standard	Padrão
Standard Deviation	Desvio padrão
Standard ligatures	Ligaturas padrão
Step Backward	Retroceder etapa
Step Forward	Avançar etapa
Stop	Parar
Straighten Layer	Endireitar camada
Strength	Intensidade
Stroke	Traçado
Stroke path with the foreground colour at the brush size, on a new shape layer	Traçar o demarcador com a cor de primeiro plano no tamanho do pincel, em uma nova camada de forma
Stroke…	Traçar…
Style	Estilo
Styles	Estilos
Styles enabled	Estilos ativados
Stylize	Estilização
Sub	Subscrito
Subject	Assunto
Subtract	Subtrair
Subtract Front Shape	Subtrair forma frontal
Subtract from Selection	Subtrair da seleção
Summation	Soma
Sunset	Pôr do sol
Super	Sobrescrito
Superscript raises and shrinks the text; subscript lowers and shrinks it.	O sobrescrito eleva e reduz o texto; o subscrito o abaixa e reduz.
Surface Blur…	Desfoque de superfície…
Swap colours  (X)	Trocar cores  (X)
Swap foreground and background (X)	Trocar primeiro plano e fundo (X)
Swatches	Amostras
TGA…	TGA…
TIF…	TIF…
Templates	Modelos
Text	Texto
Text Properties	Propriedades do texto
Text overflows the box	O texto transborda a caixa
Text replacement	Substituição de texto
Texture Dilation…	Dilatação de textura…
That channel is no longer in the document	Esse canal não está mais no documento
That file could not be used:	Não foi possível usar esse arquivo:
The CSV ends inside a quoted field	O CSV termina dentro de um campo entre aspas
The CSV has a header but no data sets	O CSV tem cabeçalho, mas nenhum conjunto de dados
The CSV is empty	O CSV está vazio
The CSV names a variable that is not defined:	O CSV nomeia uma variável que não está definida:
The active layer is not in the document	A camada ativa não está no documento
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	O objeto inteligente ativo mostra cada imagem da pasta de origem por vez; cada resultado é exportado como PNG para a pasta de destino.
The amount must be within	O valor deve estar dentro de
The angle must be a finite number of degrees	O ângulo deve ser um número finito de graus
The balanced default for photographs.	O padrão equilibrado para fotos.
The canvas grows to fit the rotated image.	A tela cresce para caber a imagem girada.
The canvas must be at least 1 x 1 pixel	A tela deve ter pelo menos 1 x 1 pixel
The cell size must be 2 to 200 pixels	O tamanho da célula deve ser de 2 a 200 pixels
The cut is empty: paint more of the part to keep.	O recorte está vazio: pinte mais da parte a manter.
The destination is the profile the document already has	O destino é o perfil que o documento já tem
