# Raster Studio interface strings, es. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Español
Linear Dodge (Add)	Sobreexposición lineal (añadir)
Linear Light	Luz lineal
Link / Unlink Mask	Vincular / desvincular máscara
Link Layers	Vincular capas
Link selected layers	Vincular las capas seleccionadas
Link with layer	Vincular con la capa
Linked	Vinculado
Linked file	Archivo vinculado
Liquify…	Licuar…
Live Shape	Forma dinámica
Live preview	Vista previa en directo
Live preview is off.	La vista previa en directo está desactivada.
Load	Cargar
Load .atn	Cargar .atn
Load .cube file…	Cargar archivo .cube…
Load Selection	Cargar selección
Load Selection…	Cargar selección…
Load actions	Cargar acciones
Load channel as selection	Cargar canal como selección
Load path as a selection	Cargar trazado como selección
Loaded file	Archivo cargado
Lock	Bloquear
Lock All	Bloquear todo
Lock Guides	Bloquear guías
Lock Image Pixels	Bloquear píxeles de imagen
Lock Position	Bloquear posición
Lock Transparent Pixels	Bloquear píxeles transparentes
Lock all	Bloquear todo
Lock pixels	Bloquear píxeles
Lock position	Bloquear posición
Lock transparent pixels	Bloquear píxeles transparentes
Long-tap as a right click	Pulsación larga como clic derecho
Lookup table	Tabla de consulta
Luminance	Luminancia
Luminance of the preview source; the markers are the black and white points.	Luminancia del origen de la vista previa; los marcadores son los puntos negro y blanco.
Luminosity	Luminosidad
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Verde
Magentas	Magentas
Magic Cut	Corte mágico
Magic Cut…	Corte mágico…
Make Frames	Crear fotogramas
Make a selection first	Primero haga una selección
Make work path from selection	Crear trazado de trabajo a partir de la selección
Manual	Manual
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Asigna cada color a una paleta. El documento conserva píxeles RGBA; la exportación GIF y PNG escribe esta paleta.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Asigna la capa activa a una paleta en un paso que se puede deshacer; el documento sigue en RGB.
Margins	Márgenes
Mark this state so you can come back to it	Marcar este estado para poder volver a él
Mask	Máscara
Mask Properties	Propiedades de máscara
Mask source	Origen de la máscara
Match Color	Igualar color
Match Color…	Igualar color…
Matting	Halos
Maximum	Máximo
Maximum…	Máximo…
Mean	Media
Median	Mediana
Median…	Mediana…
Medium	Media
Memory	Memoria
Menu Bar and Canvas	Barra de menús y lienzo
Merge	Combinar
Merge Channels	Combinar canales
Merge Channels…	Combinar canales…
Merge Down	Combinar hacia abajo
Merge Layers	Combinar capas
Merge Visible	Combinar visibles
Merged	Combinado
Method	Método
Metrics	Métrico
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Métrico usa el kerning de pares de la fuente; 0 desactiva el kerning; Manual pone una cantidad (1/1000 de eme) entre cada par del texto actual, y los caracteres escritos después empiezan sin kerning; necesita al menos dos caracteres, por lo que un texto más corto y los valores predeterminados de la herramienta Texto no lo ofrecen. El modelador no tiene kerning óptico, así que ese modo no se ofrece.
Mezzotint…	Grabado…
Midtones	Medios tonos
Millimeters	Milímetros
Min diameter	Diámetro mínimo
Min roundness	Redondez mínima
Min size	Tamaño mínimo
Minimal	Mínimo
Minimum	Mínimo
Minimum size only applies when pressure controls size.	El tamaño mínimo solo se aplica cuando la presión controla el tamaño.
Minimum…	Mínimo…
Miter	Inglete
Mode	Modo
Modify	Modificar
Monochrome	Monocromo
Monotone	Monotono
More readouts	Más lecturas
More tabs	Más pestañas
Mosaic…	Mosaico…
Motion Blur…	Desenfoque de movimiento…
Move Layer	Mover capa
Move a control first: these settings would change nothing	Mueva primero un control: estos ajustes no cambiarían nada
Move this panel	Mover este panel
Move this panel within its dock	Mover este panel dentro de su panel acoplado
Move to	Mover a
Move with the layer	Mover con la capa
Multiply	Multiplicar
Name	Nombre
Name Change	Cambio de nombre
Name the channel first.	Primero ponga nombre al canal.
Navigator	Navegador
Nearest Neighbour	Por aproximación
Neutralize	Neutralizar
Neutrals	Neutros
New	Nuevo
New Adjustment Layer	Nueva capa de ajuste
New Channel	Nuevo canal
New Document	Nuevo documento
New Fill Layer	Nueva capa de relleno
New Folder	Nueva carpeta
New Guide	Nueva guía
New Guide Layout	Nuevo diseño de guía
New Guide Layout…	Nuevo diseño de guía…
New Guides from Shape	Nuevas guías desde forma
New Guide…	Nueva guía…
New Layer	Nueva capa
New Layer Based Slice	Nuevo sector basado en capas
New Selection	Nueva selección
New Smart Object via Copy	Nuevo objeto inteligente mediante copia
New Snapshot	Nueva instantánea
New Spot Channel	Nuevo canal de tinta plana
New Spot Channel…	Nuevo canal de tinta plana…
New Style Preset	Nuevo ajuste preestablecido de estilo
New Video Group	Nuevo grupo de vídeo
New channel	Nuevo canal
New folder	Nueva carpeta
New group	Nuevo grupo
New layer	Nueva capa
New layer comp	Nueva composición de capas
New note at the centre of the view	Nueva nota en el centro de la vista
New path (saves the Work Path when it is selected)	Nuevo trazado (guarda el trazado de trabajo cuando está seleccionado)
New set	Nuevo conjunto
New size	Nuevo tamaño
New style from the active layer	Nuevo estilo a partir de la capa activa
New tool preset from the active tool	Nuevo ajuste preestablecido a partir de la herramienta activa
New {noun} from the active text layer	Nuevo {noun} a partir de la capa de texto activa
New…	Nuevo…
Next Blend Mode	Siguiente modo de fusión
No Color	Sin color
No character styles yet. New records the active text layer's font, size and look.	Aún no hay estilos de carácter. Nuevo guarda la fuente, el tamaño y el aspecto de la capa de texto activa.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	En esta compilación ningún comando carga un canal como selección; Cargar selección del menú Seleccionar restaura en su lugar una selección guardada
No commands to bind	No hay comandos que vincular
No document	Sin documento
No document is open	No hay ningún documento abierto
No export selected	No hay ninguna exportación seleccionada
No faces listed for this family name	No hay estilos para este nombre de familia
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Aún no hay fotogramas. Añadir fotograma crea una capa _a_: cada una es un fotograma, empezando por la de abajo.
No guide crosses the canvas	Ninguna guía cruza el lienzo
No installed family matches	Ninguna familia instalada coincide
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Aún no hay composiciones de capas. Nueva composición de capas guarda la visibilidad, la posición y el aspecto de cada capa.
No layers yet. Add one with the + button below.	Aún no hay capas. Añada una con el botón + de abajo.
No layers yet: each top-level layer gets a bar on the timeline.	Aún no hay capas: cada capa de nivel superior recibe una barra en la línea de tiempo.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Aún no hay notas. Haga clic en el lienzo con la herramienta Nota (I), o Nueva nota fija una en el centro de la vista; las notas se guardan con el documento y nunca se exportan.
No open document is the same size as this one	Ningún documento abierto tiene el mismo tamaño que este
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Aún no hay estilos de párrafo. Nuevo guarda la alineación, las sangrías y el espaciado de la capa de texto activa.
No pattern chosen — the overlay paints nothing.	No se ha elegido ningún motivo: la superposición no pinta nada.
No patterns are defined yet	Aún no hay motivos definidos
No profile file was chosen	No se eligió ningún archivo de perfil
No recent files yet	Aún no hay archivos recientes
No selection has been saved	No se ha guardado ninguna selección
No source recorded for this object	No hay origen registrado para este objeto
No stop selected	No hay ninguna parada seleccionada
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Aún no hay ajustes preestablecidos de estilo. Defina uno con Capa > Estilo de capa > Definir ajuste preestablecido de estilo, o añada una biblioteca de Photoshop con Archivo > Abrir (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Aún no hay estilos. El botón + guarda el estilo de la capa activa; Archivo > Abrir carga una biblioteca de estilos .asl.
No such command	No existe ese comando
No tool presets yet. New Tool Preset saves the active tool with its current options.	Aún no hay ajustes preestablecidos de herramienta. Nuevo ajuste preestablecido guarda la herramienta activa con sus opciones actuales.
Noise	Ruido
None	Ninguno
Normal	Normal
Normal Map…	Mapa de normales…
Not a hex colour	No es un color hexadecimal
Not installed — shaping with	No instalada: se compone con
Not saved yet	Aún no se ha guardado
Notes	Notas
Nothing has changed	No ha cambiado nada
Nothing in this submenu is available right now	Nada de este submenú está disponible ahora mismo
Nothing is left to learn the background from: paint over it with the background brush.	No queda nada de lo que aprender el fondo: píntelo con el pincel de fondo.
Nothing to measure yet — paint or place something on this layer first	Aún no hay nada que medir: pinte o coloque algo en esta capa primero
Nothing to preview.	Nada que previsualizar.
OK	OK
Oblique	Oblicua
Off: the wheel pans the view and Ctrl+wheel zooms	Desactivado: la rueda desplaza la vista y Ctrl+rueda hace zoom
Offset…	Desplazamiento…
Oil Paint…	Pintura al óleo…
One page holding the flattened image; no vector content.	Una página con la imagen acoplada; sin contenido vectorial.
Onion skin	Papel cebolla
Only English is available in this build	En esta compilación solo está disponible el inglés
Only a mask channel can be loaded as a selection here	Aquí solo se puede cargar como selección un canal de máscara
Only web-safe colours	Solo colores web
Opacity	Opacidad
Opacity 10%	Opacidad 10%
Opacity 100%	Opacidad 100%
Opacity 20%	Opacidad 20%
Opacity 30%	Opacidad 30%
Opacity 40%	Opacidad 40%
Opacity 50%	Opacidad 50%
Opacity 60%	Opacidad 60%
Opacity 70%	Opacidad 70%
Opacity 80%	Opacidad 80%
Opacity 90%	Opacidad 90%
Opacity jitter	Variación de opacidad
Opacity key	Clave de opacidad
Opacity must be between 0% and 100%	La opacidad debe estar entre 0% y 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	La opacidad escala la capa y sus efectos; Relleno escala solo los píxeles propios de la capa.
Opacity stops sit above the bar, colour stops below it.	Las paradas de opacidad están sobre la barra y las de color debajo.
Open	Abrir
Open .ABR…	Abrir .ABR…
Open .ACO…	Abrir .ACO…
Open .ASL…	Abrir .ASL…
Open Recent	Abrir recientes
Open a document first	Abra primero un documento
Open a document to animate it.	Abra un documento para animarlo.
Open a document to apply styles to its layers.	Abra un documento para aplicar estilos a sus capas.
Open a document to insert glyphs into its text.	Abra un documento para insertar glifos en su texto.
Open a document to keep text styles in it.	Abra un documento para guardar en él estilos de texto.
Open a document to lay guides out on it.	Abra un documento para disponer guías en él.
Open a document to pin notes on it.	Abra un documento para fijar notas en él.
Open a document to record layer comps.	Abra un documento para guardar composiciones de capas.
Open a document to see its CSS	Abra un documento para ver su CSS
Open a document to see its facts.	Abra un documento para ver sus datos.
Open a document to see its histogram	Abra un documento para ver su histograma
Open a document to see its history	Abra un documento para ver su historia
Open a document to see its properties	Abra un documento para ver sus propiedades
Open another document, or add another pixel layer, to match its colours.	Abra otro documento o añada otra capa de píxeles para igualar sus colores.
Open as	Abrir como
Open editor…	Abrir editor…
Open or close the folder	Abrir o cerrar la carpeta
Open the Adjustments panel	Abrir el panel Ajustes
Open…	Abrir…
Operation	Operación
Orange	Naranja
Other	Otros
Out of gamut	Fuera de gama
Outer Glow	Resplandor exterior
Outer Glow…	Resplandor exterior…
Outline the path	Contornear el trazado
Output	Salida
Output channel	Canal de salida
Outside	Exterior
Overlay	Superponer
PBM…	PBM…
PDF Presentation…	Presentación PDF…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Página
Page {n}	Página {n}
Page {page} opens at {w} x {h} px	La página {page} se abre a {w} x {h} px
Pages	Páginas
Paint	Pintar
Paint Filter Mask	Pintar máscara de filtro
Paint Mask	Pintar máscara
Paint over the part to keep with the foreground brush first.	Pinte primero con el pincel frontal la parte que se conservará.
Paint over what to keep and over what to drop	Pinte sobre lo que se conservará y sobre lo que se descartará
Paint the inside of the path	Pintar el interior del trazado
Painting	Pintura
Paints a band along the active selection's border.	Pinta una banda a lo largo del borde de la selección activa.
Pair kerning	Kerning de pares
Palette	Paleta
Paragraph	Párrafo
Paragraph Style	Estilo de párrafo
Paragraph Styles	Estilos de párrafo
Particles…	Partículas…
Paste	Pegar
Paste Into	Pegar dentro
Paste Layer Style	Pegar estilo de capa
Paste Outside	Pegar fuera
Paste Special	Pegado especial
Paste in Place	Pegar en el sitio
Path	Trazado
Path Blur…	Desenfoque de trazado…
Path editing lives in the Paths panel	La edición de trazados está en el panel Trazados
Paths	Trazados
Pattern	Motivo
Pattern Dither	Tramado de motivo
Pattern Overlay	Superposición de motivo
Pattern Overlay…	Superposición de motivo…
Pattern Preview	Previsualización de motivo
Pattern…	Motivo…
Pencil 1px	Lápiz 1 px
Percent	Porcentaje
Perceptual	Perceptual
Perspective	Perspectiva
Perspective Warp	Deformación de perspectiva
Photo Filter	Filtro de fotografía
Photo Filter…	Filtro de fotografía…
Photography	Fotografía
Picas	Picas
Pick a filter; it applies at its default settings.	Elija un filtro; se aplica con sus ajustes predeterminados.
Pin Light	Luz focal
Pinch…	Pellizcar…
Pixel Grid	Cuadrícula de píxeles
Pixel dimensions	Dimensiones en píxeles
Pixel mask	Máscara de píxeles
Pixel to Pixel	Píxel a píxel
Pixelate	Pixelizar
Pixels	Píxeles
Place Embedded…	Colocar incrustado…
Place Linked…	Colocar vinculado…
Play	Reproducir
Play from step	Reproducir desde el paso
Play selection	Reproducir selección
Play this step (unchecked steps are passed over)	Reproducir este paso (los pasos no marcados se omiten)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Reproduce una acción grabada en cada imagen de la carpeta de origen y guarda cada resultado en el destino.
Pointer	Puntero
Pointillize…	Puntillista…
Points	Puntos
Polar Coordinates…	Coordenadas polares…
Position	Posición
Position is locked — unlock it in the Layers panel to move or resize	La posición está bloqueada: desbloquéela en el panel Capas para mover o cambiar el tamaño
Position key	Clave de posición
Posterize	Posterizar
Posterize…	Posterizar…
Precise Cursor	Cursor preciso
Preferences…	Preferencias…
Preserve Transparency	Conservar transparencia
Preserve luminosity	Conservar luminosidad
Preset Manager…	Gestor de ajustes preestablecidos…
Press a key…	Pulse una tecla…
Pressure controls flow	La presión controla el flujo
Pressure controls size	La presión controla el tamaño
Preview	Vista previa
Preview against	Vista previa sobre
Preview is off.	La vista previa está desactivada.
Previewed on the active layer; applied to its pixels as one undoable step.	Previsualizado en la capa activa; se aplica a sus píxeles en un paso que se puede deshacer.
Previous Blend Mode	Modo de fusión anterior
Print Size	Tamaño de impresión
Print as PDF…	Imprimir como PDF…
Print size	Tamaño de impresión
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Imprime la imagen en escala de grises con una a cuatro tintas, cada una con su propia curva. Las tintas se aplican a los píxeles al cambiar de modo.
Print…	Imprimir…
Profile	Perfil
Profile from File…	Perfil desde archivo…
Profiles are assigned to RGB documents	Los perfiles se asignan a documentos RGB
Profiles are converted between in RGB documents	Los perfiles se convierten entre sí en documentos RGB
Profiles belong to RGB documents; convert to RGB first	Los perfiles son de documentos RGB; convierta primero a RGB
Proof Colors	Colores de prueba
Properties	Propiedades
Puppet Warp	Deformación de posición libre
Purge	Purgar
Purple	Morado
Quadtone	Cuatritono
Quality	Calidad
Quick Export Layer as PNG…	Exportación rápida de capa como PNG…
Quit	Salir
RGB Color	Color RGB
Radial Blur…	Desenfoque radial…
Radius	Radio
Radius (px)	Radio (px)
Range	Rango
Raster Studio Help	Ayuda de Raster Studio
Rasterize	Rasterizar
Reassign anyway	Reasignar de todos modos
Recent	Recientes
Record	Grabar
Record Source Size	Registrar tamaño de origen
Record an Action in the Actions panel first	Grabe primero una acción en el panel Acciones
Record an edit, then replay the whole sequence on any document with at least as many layers.	Grabe una edición y reproduzca toda la secuencia en cualquier documento que tenga al menos tantas capas.
Record into set	Grabar en el conjunto
Recording: every edit is captured until Stop	Grabando: se captura cada edición hasta Detener
Red	Rojo
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Redefinir {noun} seleccionado a partir de la capa de texto activa y volver a dar estilo a cada capa que lo usa
Redo	Rehacer
Reds	Rojos
Reduce Colors	Reducir colores
Reduce Colors changed nothing: the layer already uses only colours of that palette	Reducir colores no cambió nada: la capa ya usa solo colores de esa paleta
Reduce Colors: the layer now uses at most {n} colours	Reducir colores: la capa ahora usa como máximo {n} colores
Reduce Colors…	Reducir colores…
Reduce Noise…	Reducir ruido…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Reduce la imagen en escala de grises a blanco y negro puros. Las capas se acoplan en una, sobre blanco.
Reference point: Bottom	Punto de referencia: abajo
Reference point: Bottom Left	Punto de referencia: abajo a la izquierda
Reference point: Bottom Right	Punto de referencia: abajo a la derecha
Reference point: Centre	Punto de referencia: centro
Reference point: Left	Punto de referencia: izquierda
Reference point: Right	Punto de referencia: derecha
Reference point: Top	Punto de referencia: arriba
Reference point: Top Left	Punto de referencia: arriba a la izquierda
Reference point: Top Right	Punto de referencia: arriba a la derecha
Refine	Refinar
Refine Edge…	Perfeccionar borde…
Refine Mask	Perfeccionar máscara
Refine Mask…	Perfeccionar máscara…
Regular	Normal
Relative	Relativo
Relative Colorimetric	Colorimétrico relativo
Release Clipping Mask	Soltar máscara de recorte
Release Notes	Notas de la versión
Relink to File…	Volver a vincular al archivo…
Remove Black Matte	Eliminar halo negro
Remove Color Fringe	Eliminar halo de color
Remove Color Fringe…	Eliminar halo de color…
Remove Fringe	Eliminar halos
Remove White Matte	Eliminar halo blanco
Remove export	Quitar exportación
Remove this instance of the effect	Quitar esta instancia del efecto
Remove this shortcut	Quitar este atajo
Rename Layer	Cambiar nombre de capa
Rename Layer…	Cambiar nombre de capa…
Rename set	Cambiar nombre del conjunto
Render	Interpretar
Rendering the preview…	Generando la vista previa…
Repeat…	Repetir…
Replace Color	Reemplazar color
Replace Color…	Reemplazar color…
Replace Contents	Reemplazar contenido
Replace Contents…	Reemplazar contenido…
Replace existing guides	Reemplazar las guías existentes
Replay	Reproducir de nuevo
Report an Issue	Informar de un problema
Reselect	Volver a seleccionar
Reset	Restaurar
Reset Transform	Restablecer transformación
Reset View Rotation	Restablecer rotación de vista
Reset all shortcuts	Restablecer todos los atajos
Resize Canvas	Cambiar tamaño del lienzo
Resize Images	Redimensionar imágenes
Resize Images…	Redimensionar imágenes…
Resolution	Resolución
Resolution must be greater than zero	La resolución debe ser mayor que cero
Restore Layer	Restaurar capa
Result	Resultado
Return this tool to its defaults	Devolver esta herramienta a sus valores predeterminados
Reveal All	Descubrir todas
Reveal Selection	Descubrir selección
Reverse	Invertir
Revert	Volver
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Reescribe los valores de cada capa de píxeles para que la imagen se vea igual con el perfil de destino, en un paso que se puede deshacer.
Right	Derecha
Right (narrow)	Derecha (estrecha)
Right (wide)	Derecha (ancha)
Right Edges	Bordes derechos
Right indent	Sangría derecha
Right-click a swatch to remove it	Haga clic derecho en una muestra para quitarla
Ring	Anillo
Ripple…	Rizo…
Rise	Alzar
Rotate	Rotar
Rotate 180°	Rotar 180°
Rotate 90° Clockwise	Rotar 90° en sentido horario
Rotate 90° Counter Clockwise	Rotar 90° en sentido antihorario
Rotate Canvas	Rotar lienzo
Rotate the active layer so the measured line is level (Enter)	Rotar la capa activa para que la línea medida quede nivelada (Intro)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Rota el lienzo y todas las capas. Los ángulos rectos son exactos al píxel; los demás ángulos se remuestrean.
Rotation key	Clave de rotación
Round	Redondo
Round (computed)	Redondo (calculado)
Rounded Steps	Pasos redondeados
Roundness jitter	Variación de redondez
Rows	Filas
Rulers	Reglas
Run	Ejecutar
SVG…	SVG…
Same Radii	Radios iguales
Sample a colour from the canvas	Muestrear un color del lienzo
Sample radius	Radio de muestra
Sampled	Muestreado
Sampled colour	Color muestreado
Sampled tip not loaded; painting round	La punta muestreada no está cargada; se pinta redonda
Satin…	Satinado…
Saturation	Saturación
Saturation jitter	Variación de saturación
Save	Guardar
Save As	Guardar como
Save As…	Guardar como…
Save Brush	Guardar pincel
Save Selection	Guardar selección
Save Selection…	Guardar selección…
Save actions	Guardar acciones
Save as PSD…	Guardar como PSD…
Save current brush	Guardar el pincel actual
Save selection as channel	Guardar selección como canal
Saves every image in the source folder to the destination in another format, quality or size.	Guarda cada imagen de la carpeta de origen en el destino en otro formato, calidad o tamaño.
Scale	Escala
Scale %	Escala %
Scale Effects	Escalar efectos
Scale Effects…	Escalar efectos…
Scale H	Escala H
Scale V	Escala V
Scale key	Clave de escala
Scale:	Escala:
Scales every size and distance of the active layer's style as one undo step.	Escala cada tamaño y distancia del estilo de la capa activa en un paso que se puede deshacer.
Scaling by 100% changes nothing	Escalar al 100% no cambia nada
Scratch directory	Directorio temporal
Screen	Trama
Screen, print and social presets	Ajustes preestablecidos para pantalla, impresión y redes sociales
Script…	Script…
Scroll wheel zooms instead of scrolling	La rueda hace zoom en lugar de desplazar
Search Commands…	Buscar comandos…
Search layers	Buscar capas
Search layers by name	Buscar capas por nombre
Select	Seleccionar
Select All	Seleccionar todo
Select Bottom Layer	Seleccionar la capa inferior
Select Layer Above	Seleccionar la capa de arriba
Select Layer Below	Seleccionar la capa de abajo
Select Linked Layers	Seleccionar capas vinculadas
Select None	No seleccionar nada
Select Top Layer	Seleccionar la capa superior
Select a layer first	Seleccione primero una capa
Select a layer to see its CSS	Seleccione una capa para ver su CSS
Select a layer to see its properties	Seleccione una capa para ver sus propiedades
Select a layer: a click on a style applies it to the active layer.	Seleccione una capa: un clic en un estilo lo aplica a la capa activa.
Select a path first	Seleccione primero un trazado
Select a text layer, or type into one: a click inserts the glyph at the caret.	Seleccione una capa de texto o escriba en una: un clic inserta el glifo en el cursor.
Select a text layer to edit its type	Seleccione una capa de texto para editar su texto
Select every pixel near one colour	Seleccionar cada píxel próximo a un color
Selection	Selección
Selection Edges	Bordes de selección
Selection: white is replaced, black is kept.	Selección: el blanco se reemplaza, el negro se conserva.
Selective Color	Corrección selectiva
Selective Color…	Corrección selectiva…
Selects a band of this width along the selection's edge	Selecciona una banda de este ancho a lo largo del borde de la selección
Semi Condensed	Semicondensado
Semi Expanded	Semiexpandido
Semibold	Seminegrita
Send Backward	Enviar hacia atrás
Send to Back	Enviar detrás
Separate documents	Documentos separados
Separate keywords with commas or semicolons.	Separe las palabras clave con comas o puntos y coma.
Sepia	Sepia
Set	Conjunto
Set the History Brush to paint from this state (the marked row)	Hacer que el pincel de historia pinte desde este estado (la fila marcada)
Shadows	Sombras
Shadows/Highlights	Sombras/iluminaciones
Shadows/Highlights…	Sombras/iluminaciones…
Shape	Forma
Shape Dynamics	Dinámica de forma
Shape Mosaic…	Mosaico de formas…
Shape Properties	Propiedades de forma
Sharpen	Enfocar
Sharpen Edges	Enfocar bordes
Sharpen More	Enfocar más
Sharpest, with a little ringing on hard edges.	El más nítido, con un leve halo en los bordes duros.
Shear…	Distorsionar…
Shift Edge	Desplazar borde
Show	Mostrar
Show / Hide Layer	Mostrar / ocultar capa
Show / hide layer	Mostrar / ocultar capa
Show / hide the effects list	Mostrar / ocultar la lista de efectos
Show / hide the layer style	Mostrar / ocultar el estilo de capa
Show / hide this channel	Mostrar / ocultar este canal
Show / hide this effect	Mostrar / ocultar este efecto
Show / hide this path	Mostrar / ocultar este trazado
Show / hide this smart filter	Mostrar / ocultar este filtro inteligente
Show Layers	Mostrar capas
Show every layer	Mostrar todas las capas
Show or hide the position, size and alignment fields	Mostrar u ocultar los campos de posición, tamaño y alineación
Show or hide the recorded steps	Mostrar u ocultar los pasos grabados
Show or hide the set's actions	Mostrar u ocultar las acciones del conjunto
Show this alpha channel alone in grayscale and paint into it; click again to store it	Mostrar solo este canal alfa en escala de grises y pintar en él; haga clic de nuevo para guardarlo
Sides	Lados
Similar	Similar
Size	Tamaño
Size jitter	Variación de tamaño
Skew	Sesgar
Skewness	Asimetría
Slice Options	Opciones de sector
Slice Options…	Opciones de sector…
Slices	Sectores
Slices from Guides	Sectores a partir de guías
Slices…	Sectores…
Small	Pequeño
Small Caps	Versalitas
Smart Blur…	Desenfoque de superficie…
Smart Filter	Filtro inteligente
Smart Filters	Filtros inteligentes
Smart Guides	Guías inteligentes
Smart Object	Objeto inteligente
Smart Sharpen…	Enfoque suavizado…
Smart filter mask: click to paint on it	Máscara de filtro inteligente: haga clic para pintar en ella
Smooth	Suave
Smooth Selection	Suavizar selección
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Suave dibuja bordes en escala de grises; Ninguno dibuja bordes duros y dentados. El escalador de glifos tiene un solo modo suave, por eso no se ofrecen Enfocado, Nítido y Fuerte.
Smooth…	Suavizar…
Snap	Ajustar
Snap To	Ajustar a
Soft Light	Luz suave
Soft Round 100	Redondo suave 100
Soft Round 24	Redondo suave 24
Soft and cheap. Good for a small enlargement.	Suave y económico. Bueno para una ampliación pequeña.
Softer Brush	Pincel más suave
Solarize	Solarizar
Solid Color…	Color uniforme…
Solidity	Solidez
Source	Origen
Source 1	Origen 1
Source 2	Origen 2
Source Space	Espacio de origen
Spectrum	Espectro
Spherize…	Esferizar…
Spin Blur…	Desenfoque de giro…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Divide la capa activa en capas de detalle en Luz lineal sobre un residuo, la más fina arriba; juntas vuelven a componer la capa.
Spot Channel	Canal de tinta plana
Spot Channel Options…	Opciones de canal de tinta plana…
Spot channel: composited over the image as its ink	Canal de tinta plana: se compone sobre la imagen como su tinta
Square	Cuadrado
Squeeze	Comprimir
Stack Mode	Modo de pila
Stamp Visible	Estampar visible
Standard	Estándar
Standard Deviation	Desviación estándar
Standard ligatures	Ligaduras estándar
Step Backward	Paso atrás
Step Forward	Paso adelante
Stop	Detener
Straighten Layer	Enderezar capa
Strength	Intensidad
Stroke	Trazo
Stroke path with the foreground colour at the brush size, on a new shape layer	Contornear el trazado con el color frontal al tamaño del pincel, en una nueva capa de forma
Stroke…	Contornear…
Style	Estilo
Styles	Estilos
Styles enabled	Estilos activados
Stylize	Estilizar
Sub	Sub
Subject	Sujeto
Subtract	Restar
Subtract Front Shape	Restar forma frontal
Subtract from Selection	Restar de la selección
Summation	Suma
Sunset	Puesta de sol
Super	Super
Superscript raises and shrinks the text; subscript lowers and shrinks it.	El superíndice sube y reduce el texto; el subíndice lo baja y lo reduce.
Surface Blur…	Desenfoque de superficie…
Swap colours  (X)	Intercambiar colores  (X)
Swap foreground and background (X)	Intercambiar colores frontal y de fondo (X)
Swatches	Muestras
TGA…	TGA…
TIF…	TIF…
Templates	Plantillas
Text	Texto
Text Properties	Propiedades de texto
Text overflows the box	El texto desborda el cuadro
Text replacement	Reemplazo de texto
Texture Dilation…	Dilatación de textura…
That channel is no longer in the document	Ese canal ya no está en el documento
That file could not be used:	No se pudo usar ese archivo:
The CSV ends inside a quoted field	El CSV termina dentro de un campo entre comillas
The CSV has a header but no data sets	El CSV tiene encabezado pero no conjuntos de datos
The CSV is empty	El CSV está vacío
The CSV names a variable that is not defined:	El CSV nombra una variable que no está definida:
The active layer is not in the document	La capa activa no está en el documento
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	El objeto inteligente activo muestra por turnos cada imagen de la carpeta de origen; cada resultado se exporta como PNG a la carpeta de destino.
The amount must be within	La cantidad debe estar dentro de
The angle must be a finite number of degrees	El ángulo debe ser un número finito de grados
The balanced default for photographs.	El valor predeterminado equilibrado para fotografías.
The canvas grows to fit the rotated image.	El lienzo crece para que quepa la imagen rotada.
The canvas must be at least 1 x 1 pixel	El lienzo debe ser de al menos 1 x 1 píxel
The cell size must be 2 to 200 pixels	El tamaño de celda debe ser de 2 a 200 píxeles
The cut is empty: paint more of the part to keep.	El corte está vacío: pinte más de la parte que se conservará.
The destination is the profile the document already has	El destino es el perfil que el documento ya tiene
