# Raster Studio interface strings, it. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Italiano
Lens Correction…	Correzione lente…
Lens Flare…	Riflesso lente…
Level	Livello
Levels	Livelli
Levels…	Livelli…
Light	Chiaro
Light Grey	Grigio chiaro
Lighten	Schiarisci
Lighter Color	Colore più chiaro
Lighting Effects…	Effetti di luce…
Lightness	Luminosità
Line	Linea
Linear	Lineare
Linear Burn	Brucia lineare
Linear Dodge (Add)	Scherma lineare (aggiungi)
Linear Light	Luce lineare
Link / Unlink Mask	Collega / scollega maschera
Link Layers	Collega livelli
Link selected layers	Collega i livelli selezionati
Link with layer	Collega al livello
Linked	Collegato
Linked file	File collegato
Liquify…	Fluidifica…
Live Shape	Forma dinamica
Live preview	Anteprima dal vivo
Live preview is off.	L'anteprima dal vivo è disattivata.
Load	Carica
Load .atn	Carica .atn
Load .cube file…	Carica file .cube…
Load Selection	Carica selezione
Load Selection…	Carica selezione…
Load actions	Carica azioni
Load channel as selection	Carica canale come selezione
Load path as a selection	Carica tracciato come selezione
Loaded file	File caricato
Lock	Blocca
Lock All	Blocca tutto
Lock Guides	Blocca guide
Lock Image Pixels	Blocca pixel immagine
Lock Position	Blocca posizione
Lock Transparent Pixels	Blocca pixel trasparenti
Lock all	Blocca tutto
Lock pixels	Blocca pixel
Lock position	Blocca posizione
Lock transparent pixels	Blocca pixel trasparenti
Long-tap as a right click	Pressione prolungata come clic destro
Lookup table	Tabella di consultazione
Luminance	Luminanza
Luminance of the preview source; the markers are the black and white points.	Luminanza dell'origine dell'anteprima; i marcatori sono i punti del nero e del bianco.
Luminosity	Luminosità
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Verde
Magentas	Magenta
Magic Cut	Taglio magico
Magic Cut…	Taglio magico…
Make Frames	Crea fotogrammi
Make a selection first	Crea prima una selezione
Make work path from selection	Crea tracciato di lavoro dalla selezione
Manual	Manuale
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Mappa ogni colore su una palette. Il documento mantiene pixel RGBA; le esportazioni GIF e PNG scrivono questa palette.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Mappa il livello attivo su una palette in un solo passaggio annullabile; il documento resta RGB.
Margins	Margini
Mark this state so you can come back to it	Contrassegna questo stato per poterci tornare
Mask	Maschera
Mask Properties	Proprietà maschera
Mask source	Origine maschera
Match Color	Corrispondenza colore
Match Color…	Corrispondenza colore…
Matting	Alone
Maximum	Massimo
Maximum…	Massimo…
Mean	Media
Median	Mediana
Median…	Mediana…
Medium	Medio
Memory	Memoria
Menu Bar and Canvas	Barra dei menu e tela
Merge	Unisci
Merge Channels	Unisci canali
Merge Channels…	Unisci canali…
Merge Down	Unisci sotto
Merge Layers	Unisci livelli
Merge Visible	Unisci visibili
Merged	Unito
Method	Metodo
Metrics	Metrica
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Metrica usa la crenatura a coppie del font; 0 disattiva la crenatura; Manuale mette un valore (1/1000 em) fra ogni coppia del testo attuale, e i caratteri digitati dopo iniziano senza crenatura; servono almeno due caratteri, quindi un testo più corto e i valori predefiniti dello strumento Testo non la offrono. Il motore di composizione non ha crenatura ottica, quindi quella modalità non è offerta.
Mezzotint…	Mezzatinta…
Midtones	Mezzitoni
Millimeters	Millimetri
Min diameter	Diametro min.
Min roundness	Rotondità min.
Min size	Dimensione min.
Minimal	Minimo
Minimum	Minimo
Minimum size only applies when pressure controls size.	La dimensione minima vale solo quando la pressione controlla la dimensione.
Minimum…	Minimo…
Miter	Spigolo
Mode	Metodo
Modify	Modifica
Monochrome	Monocromatico
Monotone	Monotono
More readouts	Altre letture
More tabs	Altre schede
Mosaic…	Mosaico…
Motion Blur…	Sfocatura movimento…
Move Layer	Sposta livello
Move a control first: these settings would change nothing	Sposta prima un controllo: queste impostazioni non cambierebbero nulla
Move this panel	Sposta questo pannello
Move this panel within its dock	Sposta questo pannello nel suo dock
Move to	Sposta in
Move with the layer	Sposta con il livello
Multiply	Moltiplica
Name	Nome
Name Change	Cambio nome
Name the channel first.	Dai prima un nome al canale.
Navigator	Navigatore
Nearest Neighbour	Vicino più prossimo
Neutralize	Neutralizza
Neutrals	Neutri
New	Nuovo
New Adjustment Layer	Nuovo livello di regolazione
New Channel	Nuovo canale
New Document	Nuovo documento
New Fill Layer	Nuovo livello di riempimento
New Folder	Nuova cartella
New Guide	Nuova guida
New Guide Layout	Nuovo layout guide
New Guide Layout…	Nuovo layout guide…
New Guides from Shape	Nuove guide da forma
New Guide…	Nuova guida…
New Layer	Nuovo livello
New Layer Based Slice	Nuova sezione basata sul livello
New Selection	Nuova selezione
New Smart Object via Copy	Nuovo oggetto avanzato tramite copia
New Snapshot	Nuova istantanea
New Spot Channel	Nuovo canale tinta piatta
New Spot Channel…	Nuovo canale tinta piatta…
New Style Preset	Nuovo stile predefinito
New Video Group	Nuovo gruppo video
New channel	Nuovo canale
New folder	Nuova cartella
New group	Nuovo gruppo
New layer	Nuovo livello
New layer comp	Nuova composizione livelli
New note at the centre of the view	Nuova nota al centro della vista
New path (saves the Work Path when it is selected)	Nuovo tracciato (salva il tracciato di lavoro quando è selezionato)
New set	Nuovo set
New size	Nuova dimensione
New style from the active layer	Nuovo stile dal livello attivo
New tool preset from the active tool	Nuovo strumento predefinito dallo strumento attivo
New {noun} from the active text layer	Nuovo {noun} dal livello di testo attivo
New…	Nuovo…
Next Blend Mode	Metodo di fusione successivo
No Color	Nessun colore
No character styles yet. New records the active text layer's font, size and look.	Ancora nessuno stile carattere. Nuovo registra font, dimensione e aspetto del livello di testo attivo.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	In questa build nessun comando carica un canale come selezione; Carica selezione del menu Selezione ripristina invece una selezione salvata
No commands to bind	Nessun comando da associare
No document	Nessun documento
No document is open	Nessun documento aperto
No export selected	Nessuna esportazione selezionata
No faces listed for this family name	Nessuno stile elencato per questo nome di famiglia
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Ancora nessun fotogramma. Aggiungi fotogramma crea un livello _a_: ognuno è un fotogramma, a partire dal basso.
No guide crosses the canvas	Nessuna guida attraversa la tela
No installed family matches	Nessuna famiglia installata corrisponde
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Ancora nessuna composizione livelli. Nuova composizione livelli registra visibilità, posizione e aspetto di ogni livello.
No layers yet. Add one with the + button below.	Ancora nessun livello. Aggiungine uno con il pulsante + qui sotto.
No layers yet: each top-level layer gets a bar on the timeline.	Ancora nessun livello: ogni livello di primo livello riceve una barra nella timeline.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Ancora nessuna nota. Fai clic sulla tela con lo strumento Nota (I), oppure Nuova nota ne fissa una al centro della vista; le note vengono salvate con il documento e mai esportate.
No open document is the same size as this one	Nessun documento aperto ha le stesse dimensioni di questo
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Ancora nessuno stile paragrafo. Nuovo registra allineamento, rientri e spaziatura del livello di testo attivo.
No pattern chosen — the overlay paints nothing.	Nessun pattern scelto: la sovrapposizione non dipinge nulla.
No patterns are defined yet	Non sono ancora definiti pattern
No profile file was chosen	Non è stato scelto alcun file di profilo
No recent files yet	Ancora nessun file recente
No selection has been saved	Non è stata salvata alcuna selezione
No source recorded for this object	Nessuna origine registrata per questo oggetto
No stop selected	Nessun punto selezionato
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Ancora nessuno stile predefinito. Definiscine uno con Livello > Stile livello > Definisci stile predefinito, oppure aggiungi una libreria di Photoshop con File > Apri (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Ancora nessuno stile. Il pulsante + salva lo stile del livello attivo; File > Apri carica una libreria di stili .asl.
No such command	Comando inesistente
No tool presets yet. New Tool Preset saves the active tool with its current options.	Ancora nessuno strumento predefinito. Nuovo strumento predefinito salva lo strumento attivo con le sue opzioni correnti.
Noise	Disturbo
None	Nessuno
Normal	Normale
Normal Map…	Mappa normale…
Not a hex colour	Non è un colore esadecimale
Not installed — shaping with	Non installato: composto con
Not saved yet	Non ancora salvato
Notes	Note
Nothing has changed	Non è cambiato nulla
Nothing in this submenu is available right now	Al momento nulla in questo sottomenu è disponibile
Nothing is left to learn the background from: paint over it with the background brush.	Non resta nulla da cui imparare lo sfondo: dipingilo con il pennello dello sfondo.
Nothing to measure yet — paint or place something on this layer first	Ancora nulla da misurare: dipingi o inserisci prima qualcosa su questo livello
Nothing to preview.	Nulla da visualizzare in anteprima.
OK	OK
Oblique	Obliquo
Off: the wheel pans the view and Ctrl+wheel zooms	Disattivato: la rotellina scorre la vista e Ctrl+rotellina ingrandisce
Offset…	Sposta…
Oil Paint…	Pittura a olio…
One page holding the flattened image; no vector content.	Una pagina con l'immagine unita; nessun contenuto vettoriale.
Onion skin	Onion skin
Only English is available in this build	In questa build è disponibile solo l'inglese
Only a mask channel can be loaded as a selection here	Qui si può caricare come selezione solo un canale maschera
Only web-safe colours	Solo colori per il Web
Opacity	Opacità
Opacity 10%	Opacità 10%
Opacity 100%	Opacità 100%
Opacity 20%	Opacità 20%
Opacity 30%	Opacità 30%
Opacity 40%	Opacità 40%
Opacity 50%	Opacità 50%
Opacity 60%	Opacità 60%
Opacity 70%	Opacità 70%
Opacity 80%	Opacità 80%
Opacity 90%	Opacità 90%
Opacity jitter	Variazione opacità
Opacity key	Chiave opacità
Opacity must be between 0% and 100%	L'opacità deve essere tra 0% e 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	L'opacità agisce sul livello e sui suoi effetti; Riempimento agisce solo sui pixel del livello.
Opacity stops sit above the bar, colour stops below it.	I punti di opacità stanno sopra la barra, quelli di colore sotto.
Open	Apri
Open .ABR…	Apri .ABR…
Open .ACO…	Apri .ACO…
Open .ASL…	Apri .ASL…
Open Recent	Apri recenti
Open a document first	Apri prima un documento
Open a document to animate it.	Apri un documento per animarlo.
Open a document to apply styles to its layers.	Apri un documento per applicare stili ai suoi livelli.
Open a document to insert glyphs into its text.	Apri un documento per inserire glifi nel suo testo.
Open a document to keep text styles in it.	Apri un documento per conservarvi stili di testo.
Open a document to lay guides out on it.	Apri un documento per disporvi delle guide.
Open a document to pin notes on it.	Apri un documento per fissarvi delle note.
Open a document to record layer comps.	Apri un documento per registrare composizioni livelli.
Open a document to see its CSS	Apri un documento per vederne il CSS
Open a document to see its facts.	Apri un documento per vederne i dati.
Open a document to see its histogram	Apri un documento per vederne l'istogramma
Open a document to see its history	Apri un documento per vederne la storia
Open a document to see its properties	Apri un documento per vederne le proprietà
Open another document, or add another pixel layer, to match its colours.	Apri un altro documento, o aggiungi un altro livello di pixel, per farne corrispondere i colori.
Open as	Apri come
Open editor…	Apri editor…
Open or close the folder	Apri o chiudi la cartella
Open the Adjustments panel	Apri il pannello Regolazioni
Open…	Apri…
Operation	Operazione
Orange	Arancione
Other	Altro
Out of gamut	Fuori gamma
Outer Glow	Bagliore esterno
Outer Glow…	Bagliore esterno…
Outline the path	Traccia il contorno del tracciato
Output	Output
Output channel	Canale di output
Outside	Esterno
Overlay	Sovrapponi
PBM…	PBM…
PDF Presentation…	Presentazione PDF…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Pagina
Page {n}	Pagina {n}
Page {page} opens at {w} x {h} px	La pagina {page} si apre a {w} x {h} px
Pages	Pagine
Paint	Dipingi
Paint Filter Mask	Dipingi maschera filtro
Paint Mask	Dipingi maschera
Paint over the part to keep with the foreground brush first.	Dipingi prima con il pennello di primo piano la parte da tenere.
Paint over what to keep and over what to drop	Dipingi su ciò che va tenuto e su ciò che va scartato
Paint the inside of the path	Dipingi l'interno del tracciato
Painting	Pittura
Paints a band along the active selection's border.	Dipinge una fascia lungo il bordo della selezione attiva.
Pair kerning	Crenatura a coppie
Palette	Palette
Paragraph	Paragrafo
Paragraph Style	Stile paragrafo
Paragraph Styles	Stili paragrafo
Particles…	Particelle…
Paste	Incolla
Paste Into	Incolla dentro
Paste Layer Style	Incolla stile livello
Paste Outside	Incolla fuori
Paste Special	Incolla speciale
Paste in Place	Incolla nella stessa posizione
Path	Tracciato
Path Blur…	Sfocatura tracciato…
Path editing lives in the Paths panel	La modifica dei tracciati si trova nel pannello Tracciati
Paths	Tracciati
Pattern	Pattern
Pattern Dither	Dithering pattern
Pattern Overlay	Sovrapposizione pattern
Pattern Overlay…	Sovrapposizione pattern…
Pattern Preview	Anteprima pattern
Pattern…	Pattern…
Pencil 1px	Matita 1 px
Percent	Percentuale
Perceptual	Percettivo
Perspective	Prospettiva
Perspective Warp	Alterazione prospettiva
Photo Filter	Filtro fotografico
Photo Filter…	Filtro fotografico…
Photography	Fotografia
Picas	Pica
Pick a filter; it applies at its default settings.	Scegli un filtro; si applica con le impostazioni predefinite.
Pin Light	Luce puntiforme
Pinch…	Pizzica…
Pixel Grid	Griglia pixel
Pixel dimensions	Dimensioni in pixel
Pixel mask	Maschera pixel
Pixel to Pixel	Pixel per pixel
Pixelate	Effetto pixel
Pixels	Pixel
Place Embedded…	Inserisci incorporato…
Place Linked…	Inserisci collegato…
Play	Esegui
Play from step	Esegui dal passaggio
Play selection	Esegui selezione
Play this step (unchecked steps are passed over)	Esegui questo passaggio (i passaggi non selezionati vengono saltati)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Esegue un'azione registrata su ogni immagine della cartella di origine e salva ogni risultato nella destinazione.
Pointer	Puntatore
Pointillize…	Puntinismo…
Points	Punti
Polar Coordinates…	Coordinate polari…
Position	Posizione
Position is locked — unlock it in the Layers panel to move or resize	La posizione è bloccata: sbloccala nel pannello Livelli per spostare o ridimensionare
Position key	Chiave posizione
Posterize	Posterizza
Posterize…	Posterizza…
Precise Cursor	Cursore di precisione
Preferences…	Preferenze…
Preserve Transparency	Mantieni trasparenza
Preserve luminosity	Mantieni luminosità
Preset Manager…	Gestione predefiniti…
Press a key…	Premi un tasto…
Pressure controls flow	La pressione controlla il flusso
Pressure controls size	La pressione controlla la dimensione
Preview	Anteprima
Preview against	Anteprima su
Preview is off.	L'anteprima è disattivata.
Previewed on the active layer; applied to its pixels as one undoable step.	Anteprima sul livello attivo; applicato ai suoi pixel in un solo passaggio annullabile.
Previous Blend Mode	Metodo di fusione precedente
Print Size	Dimensioni di stampa
Print as PDF…	Stampa come PDF…
Print size	Dimensione di stampa
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Stampa l'immagine in scala di grigio con da uno a quattro inchiostri, ciascuno con la propria curva. Gli inchiostri vengono applicati ai pixel al cambio di metodo.
Print…	Stampa…
Profile	Profilo
Profile from File…	Profilo da file…
Profiles are assigned to RGB documents	I profili si assegnano ai documenti RGB
Profiles are converted between in RGB documents	La conversione fra profili avviene nei documenti RGB
Profiles belong to RGB documents; convert to RGB first	I profili appartengono ai documenti RGB; converti prima in RGB
Proof Colors	Colori di prova
Properties	Proprietà
Puppet Warp	Alterazione burattino
Purge	Svuota
Purple	Viola
Quadtone	Quadricromia
Quality	Qualità
Quick Export Layer as PNG…	Esportazione rapida livello come PNG…
Quit	Esci
RGB Color	Colore RGB
Radial Blur…	Sfocatura radiale…
Radius	Raggio
Radius (px)	Raggio (px)
Range	Intervallo
Raster Studio Help	Guida di Raster Studio
Rasterize	Rasterizza
Reassign anyway	Riassegna comunque
Recent	Recenti
Record	Registra
Record Source Size	Registra dimensioni origine
Record an Action in the Actions panel first	Registra prima un'azione nel pannello Azioni
Record an edit, then replay the whole sequence on any document with at least as many layers.	Registra una modifica, poi riproduci l'intera sequenza su qualsiasi documento con almeno altrettanti livelli.
Record into set	Registra nel set
Recording: every edit is captured until Stop	Registrazione: ogni modifica viene acquisita fino a Interrompi
Red	Rosso
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Ridefinisci {noun} selezionato dal livello di testo attivo, riapplicando lo stile a ogni livello che lo usa
Redo	Ripeti
Reds	Rossi
Reduce Colors	Riduci colori
Reduce Colors changed nothing: the layer already uses only colours of that palette	Riduci colori non ha cambiato nulla: il livello usa già solo colori di quella palette
Reduce Colors: the layer now uses at most {n} colours	Riduci colori: ora il livello usa al massimo {n} colori
Reduce Colors…	Riduci colori…
Reduce Noise…	Riduci disturbo…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Riduce l'immagine in scala di grigio a bianco e nero puri. I livelli vengono uniti in uno, su bianco.
Reference point: Bottom	Punto di riferimento: in basso
Reference point: Bottom Left	Punto di riferimento: in basso a sinistra
Reference point: Bottom Right	Punto di riferimento: in basso a destra
Reference point: Centre	Punto di riferimento: centro
Reference point: Left	Punto di riferimento: sinistra
Reference point: Right	Punto di riferimento: destra
Reference point: Top	Punto di riferimento: in alto
Reference point: Top Left	Punto di riferimento: in alto a sinistra
Reference point: Top Right	Punto di riferimento: in alto a destra
Refine	Perfeziona
Refine Edge…	Migliora bordo…
Refine Mask	Migliora maschera
Refine Mask…	Migliora maschera…
Regular	Normale
Relative	Relativo
Relative Colorimetric	Colorimetrico relativo
Release Clipping Mask	Rilascia maschera di ritaglio
Release Notes	Note sulla versione
Relink to File…	Ricollega al file…
Remove Black Matte	Rimuovi alone nero
Remove Color Fringe	Rimuovi frange di colore
Remove Color Fringe…	Rimuovi frange di colore…
Remove Fringe	Rimuovi alone
Remove White Matte	Rimuovi alone bianco
Remove export	Rimuovi esportazione
Remove this instance of the effect	Rimuovi questa istanza dell'effetto
Remove this shortcut	Rimuovi questa scelta rapida
Rename Layer	Rinomina livello
Rename Layer…	Rinomina livello…
Rename set	Rinomina set
Render	Rendering
Rendering the preview…	Rendering dell'anteprima…
Repeat…	Ripeti…
Replace Color	Sostituisci colore
Replace Color…	Sostituisci colore…
Replace Contents	Sostituisci contenuto
Replace Contents…	Sostituisci contenuto…
Replace existing guides	Sostituisci le guide esistenti
Replay	Riproduci di nuovo
Report an Issue	Segnala un problema
Reselect	Riseleziona
Reset	Ripristina
Reset Transform	Ripristina trasformazione
Reset View Rotation	Ripristina rotazione vista
Reset all shortcuts	Ripristina tutte le scelte rapide
Resize Canvas	Ridimensiona quadro
Resize Images	Ridimensiona immagini
Resize Images…	Ridimensiona immagini…
Resolution	Risoluzione
Resolution must be greater than zero	La risoluzione deve essere maggiore di zero
Restore Layer	Ripristina livello
Result	Risultato
Return this tool to its defaults	Riporta questo strumento ai valori predefiniti
Reveal All	Mostra tutto
Reveal Selection	Mostra selezione
Reverse	Inverti
Revert	Ripristina versione precedente
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Riscrive i valori di ogni livello di pixel perché l'immagine appaia uguale con il profilo di destinazione, in un solo passaggio annullabile.
Right	Destra
Right (narrow)	Destra (stretta)
Right (wide)	Destra (larga)
Right Edges	Bordi destri
Right indent	Rientro a destra
Right-click a swatch to remove it	Fai clic destro su un campione per rimuoverlo
Ring	Anello
Ripple…	Increspatura…
Rise	Innalzamento
Rotate	Ruota
Rotate 180°	Ruota di 180°
Rotate 90° Clockwise	Ruota di 90° in senso orario
Rotate 90° Counter Clockwise	Ruota di 90° in senso antiorario
Rotate Canvas	Ruota quadro
Rotate the active layer so the measured line is level (Enter)	Ruota il livello attivo in modo che la linea misurata sia orizzontale (Invio)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Ruota la tela e ogni livello. Gli angoli retti sono esatti al pixel; gli altri angoli vengono ricampionati.
Rotation key	Chiave rotazione
Round	Arrotondato
Round (computed)	Arrotondato (calcolato)
Rounded Steps	Passaggi arrotondati
Roundness jitter	Variazione rotondità
Rows	Righe
Rulers	Righelli
Run	Esegui
SVG…	SVG…
Same Radii	Raggi uguali
Sample a colour from the canvas	Campiona un colore dalla tela
Sample radius	Raggio di campionamento
Sampled	Campionato
Sampled colour	Colore campionato
Sampled tip not loaded; painting round	Punta campionata non caricata; si dipinge tonda
Satin…	Raso…
Saturation	Saturazione
Saturation jitter	Variazione saturazione
Save	Salva
Save As	Salva con nome
Save As…	Salva con nome…
Save Brush	Salva pennello
Save Selection	Salva selezione
Save Selection…	Salva selezione…
Save actions	Salva azioni
Save as PSD…	Salva come PSD…
Save current brush	Salva il pennello corrente
Save selection as channel	Salva selezione come canale
Saves every image in the source folder to the destination in another format, quality or size.	Salva ogni immagine della cartella di origine nella destinazione in un altro formato, qualità o dimensione.
Scale	Scala
Scale %	Scala %
Scale Effects	Scala effetti
Scale Effects…	Scala effetti…
Scale H	Scala O
Scale V	Scala V
Scale key	Chiave scala
Scale:	Scala:
Scales every size and distance of the active layer's style as one undo step.	Scala ogni dimensione e distanza dello stile del livello attivo in un solo passaggio annullabile.
Scaling by 100% changes nothing	Scalare al 100% non cambia nulla
Scratch directory	Directory temporanea
Screen	Scolora
Screen, print and social presets	Predefiniti per schermo, stampa e social
Script…	Script…
Scroll wheel zooms instead of scrolling	La rotellina ingrandisce invece di scorrere
Search Commands…	Cerca comandi…
Search layers	Cerca livelli
Search layers by name	Cerca livelli per nome
Select	Selezione
Select All	Seleziona tutto
Select Bottom Layer	Seleziona livello in basso
Select Layer Above	Seleziona livello sopra
Select Layer Below	Seleziona livello sotto
Select Linked Layers	Seleziona livelli collegati
Select None	Non selezionare nulla
Select Top Layer	Seleziona livello in alto
Select a layer first	Seleziona prima un livello
Select a layer to see its CSS	Seleziona un livello per vederne il CSS
Select a layer to see its properties	Seleziona un livello per vederne le proprietà
Select a layer: a click on a style applies it to the active layer.	Seleziona un livello: un clic su uno stile lo applica al livello attivo.
Select a path first	Seleziona prima un tracciato
Select a text layer, or type into one: a click inserts the glyph at the caret.	Seleziona un livello di testo, o digita in uno: un clic inserisce il glifo nel punto di inserimento.
Select a text layer to edit its type	Seleziona un livello di testo per modificarne il testo
Select every pixel near one colour	Seleziona ogni pixel vicino a un colore
Selection	Selezione
Selection Edges	Bordi selezione
Selection: white is replaced, black is kept.	Selezione: il bianco viene sostituito, il nero mantenuto.
Selective Color	Correzione colore selettiva
Selective Color…	Correzione colore selettiva…
Selects a band of this width along the selection's edge	Seleziona una fascia di questa larghezza lungo il bordo della selezione
Semi Condensed	Semi stretto
Semi Expanded	Semi espanso
Semibold	Semigrassetto
Send Backward	Porta indietro
Send to Back	Porta sotto
Separate documents	Documenti separati
Separate keywords with commas or semicolons.	Separa le parole chiave con virgole o punti e virgola.
Sepia	Seppia
Set	Set
Set the History Brush to paint from this state (the marked row)	Imposta il pennello storia per dipingere da questo stato (la riga contrassegnata)
Shadows	Ombre
Shadows/Highlights	Ombre/Luci
Shadows/Highlights…	Ombre/Luci…
Shape	Forma
Shape Dynamics	Dinamica forma
Shape Mosaic…	Mosaico di forme…
Shape Properties	Proprietà forma
Sharpen	Contrasta
Sharpen Edges	Contrasta bordi
Sharpen More	Contrasta maggiormente
Sharpest, with a little ringing on hard edges.	Il più nitido, con un leggero alone sui bordi netti.
Shear…	Deformazione…
Shift Edge	Sposta bordo
Show	Mostra
Show / Hide Layer	Mostra / nascondi livello
Show / hide layer	Mostra / nascondi livello
Show / hide the effects list	Mostra / nascondi l'elenco degli effetti
Show / hide the layer style	Mostra / nascondi lo stile livello
Show / hide this channel	Mostra / nascondi questo canale
Show / hide this effect	Mostra / nascondi questo effetto
Show / hide this path	Mostra / nascondi questo tracciato
Show / hide this smart filter	Mostra / nascondi questo filtro avanzato
Show Layers	Mostra livelli
Show every layer	Mostra ogni livello
Show or hide the position, size and alignment fields	Mostra o nascondi i campi di posizione, dimensione e allineamento
Show or hide the recorded steps	Mostra o nascondi i passaggi registrati
Show or hide the set's actions	Mostra o nascondi le azioni del set
Show this alpha channel alone in grayscale and paint into it; click again to store it	Mostra da solo questo canale alfa in scala di grigio e dipingici; fai di nuovo clic per salvarlo
Sides	Lati
Similar	Simile
Size	Dimensione
Size jitter	Variazione dimensione
Skew	Inclina
Skewness	Asimmetria
Slice Options	Opzioni sezione
Slice Options…	Opzioni sezione…
Slices	Sezioni
Slices from Guides	Sezioni da guide
Slices…	Sezioni…
Small	Piccolo
Small Caps	Maiuscoletto
Smart Blur…	Sfocatura migliore…
Smart Filter	Filtro avanzato
Smart Filters	Filtri avanzati
Smart Guides	Guide avanzate
Smart Object	Oggetto avanzato
Smart Sharpen…	Maschera di contrasto migliore…
Smart filter mask: click to paint on it	Maschera del filtro avanzato: fai clic per dipingerci sopra
Smooth	Arrotondato
Smooth Selection	Arrotonda selezione
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Arrotondato disegna bordi in scala di grigio; Nessuno disegna bordi netti e seghettati. Il rasterizzatore dei glifi ha una sola modalità arrotondata, quindi Nitido, Più nitido e Forte non sono offerti.
Smooth…	Arrotonda…
Snap	Aggancia
Snap To	Aggancia a
Soft Light	Luce soffusa
Soft Round 100	Tondo morbido 100
Soft Round 24	Tondo morbido 24
Soft and cheap. Good for a small enlargement.	Morbido ed economico. Buono per un piccolo ingrandimento.
Softer Brush	Pennello più morbido
Solarize	Solarizza
Solid Color…	Colore uniforme…
Solidity	Solidità
Source	Origine
Source 1	Origine 1
Source 2	Origine 2
Source Space	Spazio di origine
Spectrum	Spettro
Spherize…	Sferizza…
Spin Blur…	Sfocatura rotazione…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Divide il livello attivo in livelli di dettaglio in Luce lineare sopra un residuo, il più fine in alto; insieme ricompongono il livello.
Spot Channel	Canale tinta piatta
Spot Channel Options…	Opzioni canale tinta piatta…
Spot channel: composited over the image as its ink	Canale tinta piatta: composto sull'immagine come suo inchiostro
Square	Quadrato
Squeeze	Schiaccia
Stack Mode	Metodo pila
Stamp Visible	Timbra visibili
Standard	Standard
Standard Deviation	Deviazione standard
Standard ligatures	Legature standard
Step Backward	Passo indietro
Step Forward	Passo avanti
Stop	Interrompi
Straighten Layer	Raddrizza livello
Strength	Intensità
Stroke	Traccia
Stroke path with the foreground colour at the brush size, on a new shape layer	Traccia il tracciato con il colore di primo piano alla dimensione del pennello, su un nuovo livello forma
Stroke…	Traccia…
Style	Stile
Styles	Stili
Styles enabled	Stili attivati
Stylize	Stilizzazione
Sub	Pedice
Subject	Soggetto
Subtract	Sottrai
Subtract Front Shape	Sottrai forma anteriore
Subtract from Selection	Sottrai dalla selezione
Summation	Somma
Sunset	Tramonto
Super	Apice
Superscript raises and shrinks the text; subscript lowers and shrinks it.	L'apice alza e rimpicciolisce il testo; il pedice lo abbassa e lo rimpicciolisce.
Surface Blur…	Sfocatura superficie…
Swap colours  (X)	Scambia colori  (X)
Swap foreground and background (X)	Scambia primo piano e sfondo (X)
Swatches	Campioni
TGA…	TGA…
TIF…	TIF…
Templates	Modelli
Text	Testo
Text Properties	Proprietà testo
Text overflows the box	Il testo supera il riquadro
Text replacement	Sostituzione testo
Texture Dilation…	Dilatazione texture…
That channel is no longer in the document	Quel canale non è più nel documento
That file could not be used:	Non è stato possibile usare quel file:
The CSV ends inside a quoted field	Il CSV termina all'interno di un campo tra virgolette
The CSV has a header but no data sets	Il CSV ha un'intestazione ma nessun set di dati
The CSV is empty	Il CSV è vuoto
The CSV names a variable that is not defined:	Il CSV nomina una variabile non definita:
The active layer is not in the document	Il livello attivo non è nel documento
