# Raster Studio interface strings, uk. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Українська
Lighter Color	Світліше
Lighting Effects…	Ефекти освітлення…
Lightness	Світлість
Line	Лінія
Linear	Лінійний
Linear Burn	Лінійний затемнювач
Linear Dodge (Add)	Лінійний освітлювач (додати)
Linear Light	Лінійне світло
Link / Unlink Mask	Зв'язати / від'єднати маску
Link Layers	Зв'язати шари
Link selected layers	Зв'язати вибрані шари
Link with layer	Зв'язати з шаром
Linked	Зв'язано
Linked file	Зв'язаний файл
Liquify…	Пластика…
Live Shape	Динамічна фігура
Live preview	Живий перегляд
Live preview is off.	Живий перегляд вимкнено.
Load	Завантажити
Load .atn	Завантажити .atn
Load .cube file…	Завантажити файл .cube…
Load Selection	Завантажити виділення
Load Selection…	Завантажити виділення…
Load actions	Завантажити операції
Load channel as selection	Завантажити канал як виділення
Load path as a selection	Завантажити контур як виділення
Loaded file	Завантажений файл
Lock	Закріпити
Lock All	Закріпити все
Lock Guides	Закріпити напрямні
Lock Image Pixels	Зберігати пікселі зображення
Lock Position	Закріпити положення
Lock Transparent Pixels	Зберігати прозорість пікселів
Lock all	Закріпити все
Lock pixels	Закріпити пікселі
Lock position	Закріпити положення
Lock transparent pixels	Закріпити прозорі пікселі
Lookup table	Таблиця пошуку
Luminance	Яскравість
Luminance of the preview source; the markers are the black and white points.	Яскравість джерела попереднього перегляду; маркери — точки чорного й білого.
Luminosity	Яскравість
MP4…	MP4…
Magenta	Пурпуровий
Magenta / Green	Пурпуровий / Зелений
Magentas	Пурпурові
Magic Cut	Чарівне обрізання
Magic Cut…	Чарівне обрізання…
Make Frames	Створити кадри
Make a selection first	Спершу створіть виділення
Make work path from selection	Створити робочий контур з виділення
Manual	Вручну
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Зіставляє кожен колір з однією палітрою. Документ зберігає пікселі RGBA; експорт у GIF і PNG записує цю палітру.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Зіставляє активний шар з палітрою за один крок скасування; документ лишається в RGB.
Margins	Поля
Mark this state so you can come back to it	Позначити цей стан, щоб до нього повернутися
Mask	Маска
Mask source	Джерело маски
Match Color	Підібрати колір
Match Color…	Підібрати колір…
Matting	Обробка країв
Maximum	Максимум
Maximum…	Максимум…
Mean	Середнє
Median	Медіана
Median…	Медіана…
Medium	Середній
Memory	Пам'ять
Menu Bar and Canvas	Рядок меню й полотно
Merge	Об'єднати
Merge Channels	Об'єднати канали
Merge Channels…	Об'єднати канали…
Merge Down	Об'єднати з попереднім
Merge Layers	Об'єднати шари
Merge Visible	Об'єднати видимі
Merged	Об'єднаний
Method	Метод
Metrics	Метричний
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Метричний використовує парний кернінг шрифту; 0 вимикає кернінг; Вручну ставить одне значення (1/1000 em) між кожною парою поточного тексту, а символи, набрані пізніше, починаються без кернінгу; потрібні принаймні два символи, тому для коротшого тексту й типових параметрів інструмента «Текст» він не пропонується. Модуль шейпінгу не має оптичного кернінгу, тому цей режим не пропонується.
Mezzotint…	Меццо-тинто…
Midtones	Середні тони
Millimeters	Міліметри
Min diameter	Мін. діаметр
Min roundness	Мін. округлість
Min size	Мін. розмір
Minimal	Мінімальна
Minimum	Мінімум
Minimum size only applies when pressure controls size.	Мінімальний розмір діє, лише коли натиск керує розміром.
Minimum…	Мінімум…
Miter	Гострий
Mode	Режим
Modify	Модифікація
Monochrome	Монохромний
Monotone	Монотон
More readouts	Інші показники
More tabs	Інші вкладки
Mosaic…	Мозаїка…
Motion Blur…	Розмиття в русі…
Move Layer	Перемістити шар
Move a control first: these settings would change nothing	Спершу змініть якийсь параметр: ці налаштування нічого не змінять
Move this panel	Перемістити цю панель
Move this panel within its dock	Перемістити цю панель у межах її доку
Move to	Перемістити до
Move with the layer	Переміщувати разом із шаром
Multiply	Множення
Name	Назва
Name Change	Зміна назви
Name the channel first.	Спершу назвіть канал.
Navigator	Навігатор
Nearest Neighbour	За сусідніми
Neutralize	Нейтралізувати
Neutrals	Нейтральні
New	Новий
New Adjustment Layer	Новий коригувальний шар
New Channel	Новий канал
New Document	Новий документ
New Fill Layer	Новий шар-заливка
New Guide	Нова напрямна
New Guide Layout	Новий макет напрямних
New Guide Layout…	Новий макет напрямних…
New Guides from Shape	Нові напрямні з фігури
New Guide…	Нова напрямна…
New Layer	Новий шар
New Layer Based Slice	Новий фрагмент із шару
New Selection	Нове виділення
New Smart Object via Copy	Новий смарт-об'єкт через копіювання
New Snapshot	Новий знімок
New Spot Channel	Новий канал плашкового кольору
New Spot Channel…	Новий канал плашкового кольору…
New Style Preset	Новий набір стилів
New channel	Новий канал
New group	Нова група
New layer	Новий шар
New layer comp	Нова композиція шарів
New note at the centre of the view	Нова нотатка в центрі вигляду
New path (saves the Work Path when it is selected)	Новий контур (зберігає робочий контур, якщо його вибрано)
New set	Новий набір
New size	Новий розмір
New style from the active layer	Новий стиль з активного шару
New tool preset from the active tool	Новий набір параметрів з активного інструмента
New {noun} from the active text layer	Новий елемент ({noun}) з активного текстового шару
New…	Новий…
Next Blend Mode	Наступний режим накладання
No Color	Без кольору
No character styles yet. New records the active text layer's font, size and look.	Стилів символів поки немає. «Новий» запам'ятовує шрифт, розмір і вигляд активного текстового шару.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	У цій збірці жодна команда не завантажує канал як виділення; «Завантажити виділення» в меню «Виділення» натомість відновлює збережене виділення
No commands to bind	Немає команд для прив'язки
No document	Немає документа
No document is open	Немає відкритих документів
No export selected	Експорт не вибрано
No faces listed for this family name	Для цієї назви гарнітури немає накреслень
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Кадрів поки немає. «Додати кадр» створює шар _a_: кожен такий шар — кадр, починаючи з нижнього.
No guide crosses the canvas	Жодна напрямна не перетинає полотно
No installed family matches	Немає відповідних установлених гарнітур
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Композицій шарів поки немає. «Нова композиція шарів» запам'ятовує видимість, положення й вигляд кожного шару.
No layers yet. Add one with the + button below.	Шарів поки немає. Додайте шар кнопкою + унизу.
No layers yet: each top-level layer gets a bar on the timeline.	Шарів поки немає: кожен шар верхнього рівня отримує смугу на шкалі часу.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Нотаток поки немає. Клацніть полотно інструментом «Нотатка» (I) або натисніть «Нова нотатка», щоб закріпити її в центрі вигляду; нотатки зберігаються з документом і ніколи не експортуються.
No open document is the same size as this one	Немає відкритого документа такого самого розміру, як цей
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Стилів абзаців поки немає. «Новий» запам'ятовує вирівнювання, відступи й інтервали активного текстового шару.
No pattern chosen — the overlay paints nothing.	Візерунок не вибрано — накладання нічого не малює.
No patterns are defined yet	Візерунки ще не визначено
No profile file was chosen	Файл профілю не вибрано
No recent files yet	Нещодавніх файлів поки немає
No selection has been saved	Жодне виділення не збережено
No source recorded for this object	Для цього об'єкта не записано джерело
No stop selected	Контрольну точку не вибрано
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Наборів стилів поки немає. Визначте його командою «Шар > Стиль шару > Визначити набір стилів» або додайте бібліотеку Photoshop через «Файл > Відкрити» (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Стилів поки немає. Кнопка + зберігає стиль активного шару; «Файл > Відкрити» завантажує бібліотеку стилів .asl.
No such command	Немає такої команди
No tool presets yet. New Tool Preset saves the active tool with its current options.	Наборів параметрів інструментів поки немає. «Новий набір параметрів» зберігає активний інструмент із його поточними параметрами.
Noise	Шум
None	Немає
Normal	Звичайний
Normal Map…	Карта нормалей…
Not a hex colour	Це не шістнадцятковий колір
Not installed — shaping with	Не встановлено — набирається шрифтом
Not saved yet	Ще не збережено
Notes	Нотатки
Nothing has changed	Нічого не змінилося
Nothing in this submenu is available right now	Зараз нічого в цьому підменю недоступне
Nothing is left to learn the background from: paint over it with the background brush.	Не залишилося нічого, за чим можна вивчити тло: зафарбуйте його пензлем тла.
Nothing to measure yet — paint or place something on this layer first	Поки нічого вимірювати — спершу намалюйте або розмістіть щось на цьому шарі
Nothing to preview.	Нічого показувати.
OK	OK
Oblique	Похилий
Off: the wheel pans the view and Ctrl+wheel zooms	Вимк.: коліщатко прокручує вигляд, а Ctrl+коліщатко масштабує
Offset…	Зсув…
Oil Paint…	Олійна фарба…
One page holding the flattened image; no vector content.	Одна сторінка зі зведеним зображенням; без векторного вмісту.
Onion skin	Калька
Only English is available in this build	У цій збірці доступна лише англійська
Only a mask channel can be loaded as a selection here	Тут як виділення можна завантажити лише канал маски
Only web-safe colours	Лише веб-кольори
Opacity	Непрозорість
Opacity 10%	Непрозорість 10%
Opacity 100%	Непрозорість 100%
Opacity 20%	Непрозорість 20%
Opacity 30%	Непрозорість 30%
Opacity 40%	Непрозорість 40%
Opacity 50%	Непрозорість 50%
Opacity 60%	Непрозорість 60%
Opacity 70%	Непрозорість 70%
Opacity 80%	Непрозорість 80%
Opacity 90%	Непрозорість 90%
Opacity jitter	Коливання непрозорості
Opacity key	Ключ непрозорості
Opacity must be between 0% and 100%	Непрозорість має бути від 0% до 100%
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	Непрозорість масштабує шар і його ефекти; «Заливка» — лише власні пікселі шару.
Opacity stops sit above the bar, colour stops below it.	Контрольні точки непрозорості розташовані над смугою, точки кольору — під нею.
Open	Відкрити
Open .ABR…	Відкрити .ABR…
Open .ACO…	Відкрити .ACO…
Open .ASL…	Відкрити .ASL…
Open Recent	Останні документи
Open a document first	Спершу відкрийте документ
Open a document to animate it.	Відкрийте документ, щоб анімувати його.
Open a document to apply styles to its layers.	Відкрийте документ, щоб застосовувати стилі до його шарів.
Open a document to insert glyphs into its text.	Відкрийте документ, щоб вставляти гліфи в його текст.
Open a document to keep text styles in it.	Відкрийте документ, щоб зберігати в ньому текстові стилі.
Open a document to lay guides out on it.	Відкрийте документ, щоб розставити на ньому напрямні.
Open a document to pin notes on it.	Відкрийте документ, щоб закріплювати на ньому нотатки.
Open a document to record layer comps.	Відкрийте документ, щоб записувати композиції шарів.
Open a document to see its CSS	Відкрийте документ, щоб побачити його CSS
Open a document to see its facts.	Відкрийте документ, щоб побачити відомості про нього.
Open a document to see its histogram	Відкрийте документ, щоб побачити його гістограму
Open a document to see its history	Відкрийте документ, щоб побачити його історію
Open a document to see its properties	Відкрийте документ, щоб побачити його властивості
Open another document, or add another pixel layer, to match its colours.	Відкрийте інший документ або додайте ще один піксельний шар, щоб підібрати його кольори.
Open as	Відкрити як
Open editor…	Відкрити редактор…
Open the Adjustments panel	Відкрити панель «Корекція»
Open…	Відкрити…
Operation	Операція
Orange	Помаранчевий
Other	Інше
Out of gamut	Поза охопленням
Outer Glow	Зовнішнє світіння
Outer Glow…	Зовнішнє світіння…
Outline the path	Обвести контур
Output	Вихід
Output channel	Вихідний канал
Outside	Зовні
Overlay	Перекриття
PBM…	PBM…
PDF Presentation…	PDF-презентація…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Сторінка
Page {n}	Сторінка {n}
Page {page} opens at {w} x {h} px	Сторінка {page} відкриється розміром {w} x {h} пікс.
Pages	Сторінки
Paint	Малювання
Paint Filter Mask	Малювати маску фільтра
Paint Mask	Малювати маску
Paint over the part to keep with the foreground brush first.	Спершу зафарбуйте пензлем основного кольору частину, яку треба залишити.
Paint over what to keep and over what to drop	Зафарбуйте те, що треба залишити, і те, що треба прибрати
Paint the inside of the path	Зафарбувати внутрішню частину контуру
Painting	Малювання
Paints a band along the active selection's border.	Малює смугу вздовж межі активного виділення.
Pair kerning	Парний кернінг
Palette	Палітра
Paragraph	Абзац
Paragraph Style	Стиль абзацу
Paragraph Styles	Стилі абзаців
Particles…	Частинки…
Paste	Вставити
Paste Into	Вставити в
Paste Layer Style	Вставити стиль шару
Paste Outside	Вставити назовні
Paste Special	Спеціальна вставка
Paste in Place	Вставити на місце
Path	Контур
Path Blur…	Розмиття контуру…
Path editing lives in the Paths panel	Редагування контурів — на панелі «Контури»
Paths	Контури
Pattern	Візерунок
Pattern Dither	Візерунковий дизеринг
Pattern Overlay	Накладання візерунка
Pattern Overlay…	Накладання візерунка…
Pattern Preview	Перегляд візерунка
Pattern…	Візерунок…
Pencil 1px	Олівець 1 пікс.
Percent	Відсотки
Perceptual	Перцептивний
Perspective	Перспектива
Perspective Warp	Деформація перспективи
Photo Filter	Фотофільтр
Photo Filter…	Фотофільтр…
Photography	Фотографія
Picas	Піки
Pick a filter; it applies at its default settings.	Виберіть фільтр; він застосується з типовими параметрами.
Pin Light	Точкове світло
Pinch…	Щипок…
Pixel Grid	Піксельна сітка
Pixel dimensions	Розміри в пікселях
Pixel mask	Піксельна маска
Pixelate	Оформлення
Pixels	Пікселі
Place Embedded…	Розмістити вбудовані…
Place Linked…	Розмістити зв'язані…
Play	Відтворити
Play from step	Відтворити з кроку
Play selection	Відтворити виділене
Play this step (unchecked steps are passed over)	Відтворити цей крок (непозначені кроки пропускаються)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Відтворює записану операцію для кожного зображення у вихідній теці й зберігає кожен результат у теці призначення.
Pointer	Вказівник
Pointillize…	Пуантилізм…
Points	Пункти
Polar Coordinates…	Полярні координати…
Position	Положення
Position is locked — unlock it in the Layers panel to move or resize	Положення закріплено — зніміть закріплення на панелі «Шари», щоб переміщувати або змінювати розмір
Position key	Ключ положення
Posterize	Постеризація
Posterize…	Постеризація…
Precise Cursor	Точний курсор
Preferences…	Налаштування…
Preserve Transparency	Зберігати прозорість
Preserve luminosity	Зберегти яскравість
Preset Manager…	Керування наборами…
Press a key…	Натисніть клавішу…
Pressure controls flow	Натиск керує потоком
Pressure controls size	Натиск керує розміром
Preview	Перегляд
Preview against	Перегляд на тлі
Preview is off.	Перегляд вимкнено.
Previewed on the active layer; applied to its pixels as one undoable step.	Перегляд на активному шарі; застосовується до його пікселів одним кроком, який можна скасувати.
Previous Blend Mode	Попередній режим накладання
Print Size	Розмір відбитка
Print as PDF…	Друк у PDF…
Print size	Розмір друку
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Друкує зображення в градаціях сірого однією–чотирма фарбами, кожною за власною кривою. Фарби застосовуються до пікселів під час зміни режиму.
Print…	Друк…
Profile	Профіль
Profile from File…	Профіль із файлу…
Profiles are assigned to RGB documents	Профілі призначаються документам RGB
Profiles are converted between in RGB documents	Перетворення між профілями виконується в документах RGB
Profiles belong to RGB documents; convert to RGB first	Профілі належать документам RGB; спершу перетворіть на RGB
Proof Colors	Кольоропроба
Properties	Властивості
Puppet Warp	Маріонеткова деформація
Purge	Очистити пам'ять
Purple	Фіолетова
Quadtone	Квадротон
Quality	Якість
Quick Export Layer as PNG…	Швидкий експорт шару в PNG…
Quit	Вихід
RGB Color	Кольори RGB
Radial Blur…	Радіальне розмиття…
Radius	Радіус
Radius (px)	Радіус (пікс.)
Range	Діапазон
Raster Studio Help	Довідка Raster Studio
Rasterize	Растеризувати
Reassign anyway	Однаково перепризначити
Recent	Нещодавні
Record	Запис
Record Source Size	Записати розмір джерела
Record an Action in the Actions panel first	Спершу запишіть операцію на панелі «Операції»
Record an edit, then replay the whole sequence on any document with at least as many layers.	Запишіть редагування, потім відтворіть усю послідовність на будь-якому документі, де шарів не менше.
Record into set	Записати в набір
Recording: every edit is captured until Stop	Запис: кожне редагування фіксується до натискання «Стоп»
Red	Червоний
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Перевизначити вибране ({noun}) за активним текстовим шаром і оновити стиль кожного шару, що його використовує
Redo	Повторити
Reds	Червоні
Reduce Colors	Зменшити кількість кольорів
Reduce Colors changed nothing: the layer already uses only colours of that palette	Зменшення кількості кольорів нічого не змінило: шар уже використовує лише кольори цієї палітри
Reduce Colors: the layer now uses at most {n} colours	Зменшення кількості кольорів: тепер у шарі не більше {n} кольорів
Reduce Colors…	Зменшити кількість кольорів…
Reduce Noise…	Зменшити шум…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Зводить зображення в градаціях сірого до чистого чорного й білого. Шари зводяться в один поверх білого.
Reference point: Bottom	Опорна точка: знизу
Reference point: Bottom Left	Опорна точка: знизу ліворуч
Reference point: Bottom Right	Опорна точка: знизу праворуч
Reference point: Centre	Опорна точка: центр
Reference point: Left	Опорна точка: ліворуч
Reference point: Right	Опорна точка: праворуч
Reference point: Top	Опорна точка: зверху
Reference point: Top Left	Опорна точка: зверху ліворуч
Reference point: Top Right	Опорна точка: зверху праворуч
Refine	Уточнити
Refine Edge…	Уточнити край…
Refine Mask	Уточнити маску
Refine Mask…	Уточнити маску…
Regular	Звичайний
Relative	Відносно
Relative Colorimetric	Відносний колориметричний
Release Clipping Mask	Скасувати обтравлювальну маску
Release Notes	Примітки до випуску
Relink to File…	Знову зв'язати з файлом…
Remove Black Matte	Прибрати чорний ореол
Remove Color Fringe	Прибрати кольорову облямівку
Remove Color Fringe…	Прибрати кольорову облямівку…
Remove Fringe	Усунути облямівку
Remove White Matte	Прибрати білий ореол
Remove export	Видалити експорт
Remove this instance of the effect	Видалити цей екземпляр ефекту
Remove this shortcut	Видалити це сполучення клавіш
Rename Layer	Перейменувати шар
Rename Layer…	Перейменувати шар…
Rename set	Перейменувати набір
Render	Рендеринг
Rendering the preview…	Рендеринг попереднього перегляду…
Repeat…	Повторити…
Replace Color	Замінити колір
Replace Color…	Замінити колір…
Replace Contents	Замінити вміст
Replace Contents…	Замінити вміст…
Replace existing guides	Замінити наявні напрямні
Replay	Відтворити знову
Report an Issue	Повідомити про проблему
Reselect	Виділити знову
Reset	Скинути
Reset Transform	Скинути трансформування
Reset View Rotation	Скинути поворот вигляду
Reset all shortcuts	Скинути всі сполучення клавіш
Resize Canvas	Змінити розмір полотна
Resize Images	Змінити розмір зображень
Resize Images…	Змінити розмір зображень…
Resolution	Роздільність
Resolution must be greater than zero	Роздільність має бути більшою за нуль
Restore Layer	Відновити шар
Result	Результат
Return this tool to its defaults	Повернути цьому інструменту типові значення
Reveal All	Показати все
Reveal Selection	Показати виділення
Reverse	Обернути
Revert	Відновити
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Переписує значення кожного піксельного шару, щоб зображення виглядало так само в цільовому профілі, одним кроком скасування.
Right	Праворуч
Right (narrow)	Праворуч (вузька)
Right (wide)	Праворуч (широка)
Right Edges	Праві краї
Right indent	Відступ праворуч
Right-click a swatch to remove it	Клацніть зразок правою кнопкою, щоб видалити його
Ring	Кільце
Ripple…	Брижі…
Rise	Підйом
Rotate	Повернути
Rotate 180°	Повернути на 180°
Rotate 90° Clockwise	Повернути на 90° за годинниковою
Rotate 90° Counter Clockwise	Повернути на 90° проти годинникової
Rotate Canvas	Обертання полотна
Rotate the active layer so the measured line is level (Enter)	Повернути активний шар, щоб виміряна лінія стала горизонтальною (Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Повертає полотно й усі шари. Прямі кути точні до пікселя; інші кути перераховуються.
Rotation key	Ключ повороту
Round	Круглий
Round (computed)	Круглий (обчислений)
Rounded Steps	Заокруглені кроки
Roundness jitter	Коливання округлості
Rows	Рядки
Rulers	Лінійки
Run	Запустити
SVG…	SVG…
Same Radii	Однакові радіуси
Sample a colour from the canvas	Взяти зразок кольору з полотна
Sample radius	Радіус зразка
Sampled	Зразок
Sampled colour	Колір зразка
Sampled tip not loaded; painting round	Кінчик-зразок не завантажено; малюється круглим
Satin…	Глянець…
Saturation	Насиченість
Saturation jitter	Коливання насиченості
Save	Зберегти
Save As	Зберегти як
Save As…	Зберегти як…
Save Brush	Зберегти пензель
Save Selection	Зберегти виділення
Save Selection…	Зберегти виділення…
Save actions	Зберегти операції
Save as PSD…	Зберегти як PSD…
Save current brush	Зберегти поточний пензель
Save selection as channel	Зберегти виділення як канал
Saves every image in the source folder to the destination in another format, quality or size.	Зберігає кожне зображення з вихідної теки в теку призначення в іншому форматі, якості або розмірі.
Scale	Масштаб
Scale %	Масштаб %
Scale Effects	Масштабувати ефекти
Scale Effects…	Масштабувати ефекти…
Scale H	Масштаб по гор.
Scale V	Масштаб по верт.
Scale key	Ключ масштабу
Scale:	Масштаб:
Scales every size and distance of the active layer's style as one undo step.	Масштабує кожен розмір і відстань стилю активного шару одним кроком скасування.
Scaling by 100% changes nothing	Масштаб 100% нічого не змінює
Scratch directory	Робоча тека
Screen	Екран
Screen, print and social presets	Набори для екрана, друку й соцмереж
Script…	Сценарій…
Scroll wheel zooms instead of scrolling	Коліщатко масштабує, а не прокручує
Search Commands…	Пошук команд…
Search layers	Пошук шарів
Search layers by name	Пошук шарів за назвою
Select	Виділення
Select All	Усе
Select Bottom Layer	Виділити нижній шар
Select Layer Above	Виділити шар вище
Select Layer Below	Виділити шар нижче
Select Linked Layers	Виділити зв'язані шари
Select None	Скасувати виділення
Select Top Layer	Виділити верхній шар
Select a layer first	Спершу виберіть шар
Select a layer to see its CSS	Виберіть шар, щоб побачити його CSS
Select a layer to see its properties	Виберіть шар, щоб побачити його властивості
Select a layer: a click on a style applies it to the active layer.	Виберіть шар: клацання стилю застосовує його до активного шару.
Select a path first	Спершу виберіть контур
Select a text layer, or type into one: a click inserts the glyph at the caret.	Виберіть текстовий шар або друкуйте в ньому: клацання вставляє гліф у позицію курсора.
Select every pixel near one colour	Виділити всі пікселі, близькі до одного кольору
Selection	Виділення
Selection Edges	Краї виділення
Selection: white is replaced, black is kept.	Виділення: біле замінюється, чорне зберігається.
Selective Color	Вибіркова корекція кольору
Selective Color…	Вибіркова корекція кольору…
Selects a band of this width along the selection's edge	Виділяє смугу такої ширини вздовж краю виділення
Semi Condensed	Напіввузький
Semi Expanded	Напівширокий
Semibold	Напівжирний
Send Backward	Перемістити назад
Send to Back	На задній план
Separate documents	Окремі документи
Separate keywords with commas or semicolons.	Розділяйте ключові слова комами або крапками з комою.
Sepia	Сепія
Set	Набір
Set the History Brush to paint from this state (the marked row)	Зробити цей стан джерелом архівного пензля (позначений рядок)
Shadows	Тіні
Shadows/Highlights	Тіні/Світлі тони
Shadows/Highlights…	Тіні/Світлі тони…
Shape	Фігура
Shape Dynamics	Динаміка форми
Shape Mosaic…	Мозаїка з фігур…
Sharpen	Різкість
Sharpen Edges	Різкість на краях
Sharpen More	Посилена різкість
Sharpest, with a little ringing on hard edges.	Найрізкіша, з невеликим дзвоном на жорстких краях.
Shear…	Викривлення…
Shift Edge	Змістити край
Show	Показати
Show / Hide Layer	Показати / приховати шар
Show / hide layer	Показати / приховати шар
Show / hide the effects list	Показати / приховати список ефектів
Show / hide the layer style	Показати / приховати стиль шару
Show / hide this channel	Показати / приховати цей канал
Show / hide this effect	Показати / приховати цей ефект
Show / hide this path	Показати / приховати цей контур
Show / hide this smart filter	Показати / приховати цей смарт-фільтр
Show Layers	Показати шари
Show every layer	Показати кожен шар
Show or hide the position, size and alignment fields	Показати або приховати поля положення, розміру й вирівнювання
Show or hide the recorded steps	Показати або приховати записані кроки
Show or hide the set's actions	Показати або приховати операції набору
Show this alpha channel alone in grayscale and paint into it; click again to store it	Показати лише цей альфа-канал у градаціях сірого й малювати в ньому; клацніть знову, щоб зберегти його
Sides	Сторони
Similar	Подібні відтінки
Size	Розмір
Size jitter	Коливання розміру
Skew	Нахил
Skewness	Асиметрія
Slice Options	Параметри фрагмента
Slice Options…	Параметри фрагмента…
Slices	Фрагменти
Slices from Guides	Фрагменти за напрямними
Slices…	Фрагменти…
Small	Дрібний
Small Caps	Капітель
Smart Blur…	«Розумне» розмиття…
Smart Filter	Смарт-фільтр
Smart Filters	Смарт-фільтри
Smart Guides	Швидкі напрямні
Smart Object	Смарт-об'єкт
Smart Sharpen…	«Розумна» різкість…
Smart filter mask: click to paint on it	Маска смарт-фільтра: клацніть, щоб малювати на ній
Smooth	Плавне
Smooth Selection	Згладити виділення
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	«Плавне» малює краї в градаціях сірого; «Немає» — жорсткі сходинкові краї. Масштабування гліфів має один плавний режим, тому «Різке», «Чітке» й «Сильне» не пропонуються.
Smooth…	Згладити…
Snap	Прив'язка
Snap To	Прив'язати до
Soft Light	М'яке світло
Soft Round 100	М'який круглий 100
Soft Round 24	М'який круглий 24
Soft and cheap. Good for a small enlargement.	М'яко й дешево. Підходить для невеликого збільшення.
Softer Brush	М'якший пензель
Solarize	Соляризація
Solid Color…	Колір…
Solidity	Щільність
Source	Джерело
Source 1	Джерело 1
Source 2	Джерело 2
Source Space	Вихідний простір
Spectrum	Спектр
Spherize…	Сферизація…
Spin Blur…	Розмиття обертання…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Розбиває активний шар на шари деталей у режимі «Лінійне світло» над залишком, найдрібніший зверху; разом вони знову дають шар.
Spot Channel	Канал плашкового кольору
Spot Channel Options…	Параметри каналу плашкового кольору…
Spot channel: composited over the image as its ink	Канал плашкового кольору: накладається на зображення як його фарба
Square	Квадрат
Squeeze	Стискання
Stack Mode	Режим стека
Stamp Visible	Штамп видимих
Standard	Стандартний
Standard Deviation	Стандартне відхилення
Standard ligatures	Стандартні лігатури
Step Backward	Крок назад
Step Forward	Крок уперед
Stop	Стоп
Straighten Layer	Вирівняти шар
Strength	Сила
Stroke	Обведення
Stroke path with the foreground colour at the brush size, on a new shape layer	Обвести контур основним кольором розміром пензля на новому шарі-фігурі
Stroke…	Виконати обведення…
Style	Стиль
Styles	Стилі
Styles enabled	Стилі увімкнено
Stylize	Стилізація
Sub	Нижній
Subject	Об'єкт
Subtract	Віднімання
Subtract Front Shape	Відняти передню фігуру
Subtract from Selection	Відняти від виділення
Summation	Сума
Sunset	Захід сонця
Super	Верхній
Superscript raises and shrinks the text; subscript lowers and shrinks it.	Верхній індекс піднімає й зменшує текст; нижній опускає й зменшує його.
Surface Blur…	Розмиття за поверхнею…
Swap colours  (X)	Поміняти кольори  (X)
Swap foreground and background (X)	Поміняти основний і фоновий кольори (X)
Swatches	Зразки
TGA…	TGA…
TIF…	TIF…
Templates	Шаблони
Text	Текст
Text overflows the box	Текст не вміщується в рамку
Text replacement	Заміна тексту
Texture Dilation…	Розширення текстури…
That channel is no longer in the document	Цього каналу більше немає в документі
That file could not be used:	Цей файл не вдалося використати:
The CSV ends inside a quoted field	CSV закінчується всередині поля в лапках
The CSV has a header but no data sets	У CSV є заголовок, але немає наборів даних
The CSV is empty	CSV порожній
The CSV names a variable that is not defined:	У CSV згадано невизначену змінну:
The active layer has no layer style to save	Активний шар не має стилю шару для збереження
The active layer is not in the document	Активного шару немає в документі
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	Активний смарт-об'єкт по черзі показує кожне зображення з вихідної теки; кожен результат експортується в PNG у теку призначення.
The amount must be within	Значення має бути в межах
The angle must be a finite number of degrees	Кут має бути скінченним числом градусів
The balanced default for photographs.	Збалансований типовий варіант для фотографій.
The canvas grows to fit the rotated image.	Полотно збільшується, щоб умістити повернуте зображення.
The canvas must be at least 1 x 1 pixel	Полотно має бути не менше 1 x 1 піксель
The cell size must be 2 to 200 pixels	Розмір комірки має бути від 2 до 200 пікселів
