# Raster Studio interface strings, tr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Türkçe
Hue jitter	Ton titreşimi
Hue/Saturation	Ton/Doygunluk
Hue/Saturation…	Ton/Doygunluk…
ICC profile	ICC profili
ICO…	ICO…
Image	Görüntü
Image Options	Görüntü Seçenekleri
Image Rotation	Görüntü Döndürme
Image Size	Görüntü Boyutu
Image Size…	Görüntü Boyutu…
Image size	Görüntü boyutu
Import CSV…	CSV İçe Aktar…
Import PDF	PDF İçe Aktar
Import a CSV of data sets first	Önce veri kümelerinden oluşan bir CSV içe aktarın
Import a CSV: the first row names the variables, every further row is one data set.	Bir CSV içe aktarın: ilk satır değişkenleri adlandırır, sonraki her satır bir veri kümesidir.
In use	Kullanımda
Inches	İnç
Indexed Color	Dizinlenmiş Renk
Indexed Color…	Dizinlenmiş Renk…
Inflate	Şişir
Info	Bilgi
Ink	Mürekkep
Ink Color	Mürekkep Rengi
Ink printed at 0, 25, 50, 75 and 100% tint	%0, 25, 50, 75 ve 100 tonla basılan mürekkep
Inner Glow	İç Parlama
Inner Glow…	İç Parlama…
Inner Radius	İç Yarıçap
Inner Shadow	İç Gölge
Inner Shadow…	İç Gölge…
Inside	İçeride
Intent	Amaç
Intersect Shape Areas	Şekil Alanlarını Kesiştir
Intersect with Selection	Seçimle Kesiştir
Inverse	Ters Çevir
Inverse Fourier Transform	Ters Fourier Dönüşümü
Invert	Negatif
Invert coverage	Kapsamı ters çevir
Invert has no parameters	Negatif'in parametresi yok
Iris Blur…	İris Bulanıklaştırma…
Italic	İtalik
JPEG carries the XMP and the source's EXIF	JPEG, XMP'yi ve kaynağın EXIF'ini taşır
JPG…	JPG…
Justify	İki Yana Yasla
Kaleidoscope…	Kaleydoskop…
Keep as it was	Olduğu gibi bırak
Kept when a comp is first applied	Bir kompozisyon ilk uygulandığında korunur
Kerning	Karakter aralığı
Keyboard Shortcut Sheet…	Klavye Kısayolları Sayfası…
Keyboard Shortcuts…	Klavye Kısayolları…
Keywords	Anahtar sözcükler
Kind	Tür
Kurtosis	Basıklık
Lab Color	Lab Renk
Landscape	Yatay
Language	Dil
Large	Büyük
Last Document State	Son Belge Durumu
Last Filter	Son Filtre
Last line	Son satır
Layer	Katman
Layer Comps	Katman Kompozisyonları
Layer Edges	Katman Kenarları
Layer Mask	Katman Maskesi
Layer Properties	Katman Özellikleri
Layer Style	Katman Stili
Layer knocks out drop shadow	Katman gölgeyi dışarıda bırakır
Layer via Copy	Kopyalayarak Katman
Layer via Cut	Keserek Katman
Layers	Katmanlar
Layers panel options	Katmanlar paneli seçenekleri
Left	Sol
Left Edges	Sol Kenarlar
Left indent	Sol girinti
Length	Uzunluk
Lens Blur…	Mercek Bulanıklaştırma…
Lens Correction…	Mercek Düzeltme…
Lens Flare…	Mercek Parlaması…
Level	Düzey
Levels	Düzeyler
Levels…	Düzeyler…
Light	İnce
Light Grey	Açık Gri
Lighten	Aydınlat
Lighter Color	Daha Açık Renk
Lighting Effects…	Işık Efektleri…
Lightness	Açıklık
Line	Çizgi
Linear	Doğrusal
Linear Burn	Doğrusal Yanma
Linear Dodge (Add)	Doğrusal Soldurma (Ekle)
Linear Light	Doğrusal Işık
Link / Unlink Mask	Maskeyi Bağla / Bağlantıyı Kaldır
Link Layers	Katmanları Bağla
Link selected layers	Seçili katmanları bağla
Link with layer	Katmanla bağla
Linked	Bağlantılı
Linked file	Bağlantılı dosya
Liquify…	Sıvılaştır…
Live Shape	Canlı Şekil
Live preview	Canlı önizleme
Live preview is off.	Canlı önizleme kapalı.
Load	Yükle
Load .atn	.atn yükle
Load .cube file…	.cube dosyası yükle…
Load Selection	Seçimi Yükle
Load Selection…	Seçimi Yükle…
Load actions	Eylemleri yükle
Load channel as selection	Kanalı seçim olarak yükle
Load path as a selection	Yolu seçim olarak yükle
Loaded file	Yüklenen dosya
Lock	Kilitle
Lock All	Tümünü Kilitle
Lock Guides	Kılavuzları Kilitle
Lock Image Pixels	Görüntü Piksellerini Kilitle
Lock Position	Konumu Kilitle
Lock Transparent Pixels	Saydam Pikselleri Kilitle
Lock all	Tümünü kilitle
Lock pixels	Pikselleri kilitle
Lock position	Konumu kilitle
Lock transparent pixels	Saydam pikselleri kilitle
Long-tap as a right click	Uzun dokunmayı sağ tık say
Lookup table	Arama tablosu
Luminance	Parlaklık
Luminance of the preview source; the markers are the black and white points.	Önizleme kaynağının parlaklığı; işaretçiler siyah ve beyaz noktalardır.
Luminosity	Parlaklık
MP4…	MP4…
Magenta	Macenta
Magenta / Green	Macenta / Yeşil
Magentas	Macentalar
Magic Cut	Sihirli Kesim
Magic Cut…	Sihirli Kesim…
Make Frames	Kare Oluştur
Make a selection first	Önce bir seçim yapın
Make work path from selection	Seçimden çalışma yolu oluştur
Manual	Elle
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Her rengi tek bir palete eşler. Belge RGBA piksellerini korur; GIF ve PNG dışa aktarma bu paleti yazar.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Etkin katmanı tek bir geri alma adımında bir palete eşler; belge RGB kalır.
Margins	Kenar boşlukları
Mark this state so you can come back to it	Geri dönebilmek için bu durumu işaretle
Mask	Maske
Mask Properties	Maske Özellikleri
Mask source	Maske kaynağı
Match Color	Rengi Eşle
Match Color…	Rengi Eşle…
Matting	Kenar Ayıklama
Maximum	Maksimum
Maximum…	Maksimum…
Mean	Ortalama
Median	Medyan
Median…	Medyan…
Medium	Orta
Memory	Bellek
Menu Bar and Canvas	Menü Çubuğu ve Tuval
Merge	Birleştir
Merge Channels	Kanalları Birleştir
Merge Channels…	Kanalları Birleştir…
Merge Down	Aşağı Birleştir
Merge Layers	Katmanları Birleştir
Merge Visible	Görünenleri Birleştir
Merged	Birleştirilmiş
Method	Yöntem
Metrics	Metrik
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Metrik, yazı tipinin kendi çift aralığını kullanır; 0 aralığı kapatır; Elle, şimdiki metnin her çiftinin arasına tek bir değer (1/1000 em) koyar ve sonradan yazılan karakterler aralıksız başlar; en az iki karakter gerekir, bu yüzden daha kısa metin ve Metin aracının varsayılanları bunu sunmaz. Şekillendiricide optik aralık yoktur, bu yüzden o mod sunulmaz.
Mezzotint…	Mezotint…
Midtones	Orta tonlar
Millimeters	Milimetre
Min diameter	Min. çap
Min roundness	Min. yuvarlaklık
Min size	Min. boyut
Minimal	Minimal
Minimum	Minimum
Minimum size only applies when pressure controls size.	Minimum boyut yalnızca basınç boyutu denetlediğinde uygulanır.
Minimum…	Minimum…
Miter	Gönye
Mode	Mod
Modify	Değiştir
Monochrome	Tek renkli
Monotone	Tek ton
More readouts	Diğer göstergeler
More tabs	Diğer sekmeler
Mosaic…	Mozaik…
Motion Blur…	Hareket Bulanıklığı…
Move Layer	Katmanı Taşı
Move a control first: these settings would change nothing	Önce bir denetimi değiştirin: bu ayarlar hiçbir şeyi değiştirmez
Move this panel	Bu paneli taşı
Move this panel within its dock	Bu paneli yuvası içinde taşı
Move to	Şuraya taşı
Move with the layer	Katmanla birlikte taşı
Multiply	Çarp
Name	Ad
Name Change	Ad Değişikliği
Name the channel first.	Önce kanalı adlandırın.
Navigator	Gezgin
Nearest Neighbour	En Yakın Komşu
Neutralize	Nötrleştir
Neutrals	Nötrler
New	Yeni
New Adjustment Layer	Yeni Ayarlama Katmanı
New Channel	Yeni Kanal
New Document	Yeni Belge
New Fill Layer	Yeni Dolgu Katmanı
New Folder	Yeni Klasör
New Guide	Yeni Kılavuz
New Guide Layout	Yeni Kılavuz Düzeni
New Guide Layout…	Yeni Kılavuz Düzeni…
New Guides from Shape	Şekilden Yeni Kılavuzlar
New Guide…	Yeni Kılavuz…
New Layer	Yeni Katman
New Layer Based Slice	Katman Tabanlı Yeni Dilim
New Selection	Yeni Seçim
New Smart Object via Copy	Kopyalayarak Yeni Akıllı Nesne
New Snapshot	Yeni Anlık Görüntü
New Spot Channel	Yeni Spot Kanal
New Spot Channel…	Yeni Spot Kanal…
New Style Preset	Yeni Stil Ön Ayarı
New Video Group	Yeni Video Grubu
New channel	Yeni kanal
New folder	Yeni klasör
New group	Yeni grup
New layer	Yeni katman
New layer comp	Yeni katman kompozisyonu
New note at the centre of the view	Görünümün ortasında yeni not
New path (saves the Work Path when it is selected)	Yeni yol (seçiliyken Çalışma Yolu'nu kaydeder)
New set	Yeni set
New size	Yeni boyut
New style from the active layer	Etkin katmandan yeni stil
New tool preset from the active tool	Etkin araçtan yeni araç ön ayarı
New {noun} from the active text layer	Etkin metin katmanından yeni {noun}
New…	Yeni…
Next Blend Mode	Sonraki Karışım Modu
No Color	Renk Yok
No character styles yet. New records the active text layer's font, size and look.	Henüz karakter stili yok. Yeni, etkin metin katmanının yazı tipini, boyutunu ve görünümünü kaydeder.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	Bu sürümde hiçbir komut bir kanalı seçim olarak yüklemez; Seç menüsündeki Seçimi Yükle bunun yerine kayıtlı bir seçimi geri yükler
No commands to bind	Bağlanacak komut yok
No document	Belge yok
No document is open	Açık belge yok
No export selected	Dışa aktarma seçilmedi
No faces listed for this family name	Bu aile adı için listelenen yazı biçimi yok
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Henüz kare yok. Kare ekle bir _a_ katmanı oluşturur: her biri bir karedir, en alttaki önce gelir.
No guide crosses the canvas	Tuvali kesen kılavuz yok
No installed family matches	Eşleşen yüklü aile yok
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Henüz katman kompozisyonu yok. Yeni Katman Kompozisyonu her katmanın görünürlüğünü, konumunu ve görünüşünü kaydeder.
No layers yet. Add one with the + button below.	Henüz katman yok. Aşağıdaki + düğmesiyle bir tane ekleyin.
No layers yet: each top-level layer gets a bar on the timeline.	Henüz katman yok: en üst düzeydeki her katman zaman çizelgesinde bir çubuk alır.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Henüz not yok. Not aracıyla (I) tuvale tıklayın ya da Yeni Not görünümün ortasına bir tane iğneler; notlar belgeyle kaydedilir ve asla dışa aktarılmaz.
No open document is the same size as this one	Açık belgelerin hiçbiri bununla aynı boyutta değil
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Henüz paragraf stili yok. Yeni, etkin metin katmanının hizalamasını, girintilerini ve aralığını kaydeder.
No pattern chosen — the overlay paints nothing.	Desen seçilmedi — kaplama hiçbir şey boyamaz.
No patterns are defined yet	Henüz tanımlı desen yok
No profile file was chosen	Profil dosyası seçilmedi
No recent files yet	Henüz son kullanılan dosya yok
No selection has been saved	Kayıtlı seçim yok
No source recorded for this object	Bu nesne için kayıtlı kaynak yok
No stop selected	Seçili durak yok
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Henüz stil ön ayarı yok. Katman > Katman Stili > Stil Ön Ayarı Tanımla ile bir tane tanımlayın ya da Dosya > Aç (.asl) ile bir Photoshop kitaplığı ekleyin.
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Henüz stil yok. + düğmesi etkin katmanın stilini kaydeder; Dosya > Aç bir .asl stil kitaplığı yükler.
No such command	Böyle bir komut yok
No tool presets yet. New Tool Preset saves the active tool with its current options.	Henüz araç ön ayarı yok. Yeni Araç Ön Ayarı, etkin aracı geçerli seçenekleriyle kaydeder.
Noise	Gürültü
None	Yok
Normal	Normal
Normal Map…	Normal Haritası…
Not a hex colour	Onaltılık bir renk değil
Not installed — shaping with	Yüklü değil — şununla şekillendiriliyor:
Not saved yet	Henüz kaydedilmedi
Notes	Notlar
Nothing has changed	Hiçbir şey değişmedi
Nothing in this submenu is available right now	Bu alt menüdeki hiçbir şey şu anda kullanılamıyor
Nothing is left to learn the background from: paint over it with the background brush.	Arka planı öğrenecek bir şey kalmadı: arka plan fırçasıyla üzerini boyayın.
Nothing to measure yet — paint or place something on this layer first	Henüz ölçülecek bir şey yok — önce bu katmana bir şey boyayın veya yerleştirin
Nothing to preview.	Önizlenecek bir şey yok.
OK	Tamam
Oblique	Eğik
Off: the wheel pans the view and Ctrl+wheel zooms	Kapalı: tekerlek görünümü kaydırır, Ctrl+tekerlek yakınlaştırır
Offset…	Kaydır…
Oil Paint…	Yağlı Boya…
One page holding the flattened image; no vector content.	Düzleştirilmiş görüntüyü içeren tek sayfa; vektör içerik yok.
Onion skin	Soğan kabuğu
Only English is available in this build	Bu sürümde yalnızca İngilizce kullanılabilir
Only a mask channel can be loaded as a selection here	Burada yalnızca bir maske kanalı seçim olarak yüklenebilir
Only web-safe colours	Yalnızca web güvenli renkler
Opacity	Opaklık
Opacity 10%	Opaklık %10
Opacity 100%	Opaklık %100
Opacity 20%	Opaklık %20
Opacity 30%	Opaklık %30
Opacity 40%	Opaklık %40
Opacity 50%	Opaklık %50
Opacity 60%	Opaklık %60
Opacity 70%	Opaklık %70
Opacity 80%	Opaklık %80
Opacity 90%	Opaklık %90
Opacity jitter	Opaklık titreşimi
Opacity key	Opaklık ana karesi
Opacity must be between 0% and 100%	Opaklık %0 ile %100 arasında olmalı
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	Opaklık katmanı ve efektlerini ölçekler; Dolgu yalnızca katmanın kendi piksellerini ölçekler.
Opacity stops sit above the bar, colour stops below it.	Opaklık durakları çubuğun üstünde, renk durakları altında durur.
Open	Aç
Open .ABR…	.ABR Aç…
Open .ACO…	.ACO Aç…
Open .ASL…	.ASL Aç…
Open Recent	Son Kullanılanı Aç
Open a document first	Önce bir belge açın
Open a document to animate it.	Canlandırmak için bir belge açın.
Open a document to apply styles to its layers.	Katmanlarına stil uygulamak için bir belge açın.
Open a document to insert glyphs into its text.	Metnine glif eklemek için bir belge açın.
Open a document to keep text styles in it.	Metin stillerini içinde tutmak için bir belge açın.
Open a document to lay guides out on it.	Üzerine kılavuz yerleştirmek için bir belge açın.
Open a document to pin notes on it.	Üzerine not iğnelemek için bir belge açın.
Open a document to record layer comps.	Katman kompozisyonları kaydetmek için bir belge açın.
Open a document to see its CSS	CSS'ini görmek için bir belge açın
Open a document to see its facts.	Bilgilerini görmek için bir belge açın.
Open a document to see its histogram	Histogramını görmek için bir belge açın
Open a document to see its history	Geçmişini görmek için bir belge açın
Open a document to see its properties	Özelliklerini görmek için bir belge açın
Open another document, or add another pixel layer, to match its colours.	Renklerini eşlemek için başka bir belge açın veya başka bir piksel katmanı ekleyin.
Open as	Farklı aç
Open editor…	Düzenleyiciyi aç…
Open or close the folder	Klasörü aç veya kapat
Open the Adjustments panel	Ayarlamalar panelini aç
Open…	Aç…
Operation	İşlem
Orange	Turuncu
Other	Diğer
Out of gamut	Gamut dışı
Outer Glow	Dış Parlama
Outer Glow…	Dış Parlama…
Outline the path	Yolun konturunu çiz
Output	Çıktı
Output channel	Çıktı kanalı
Outside	Dışarıda
Overlay	Kaplama
PBM…	PBM…
PDF Presentation…	PDF Sunusu…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Sayfa
Page {n}	Sayfa {n}
Page {page} opens at {w} x {h} px	Sayfa {page}, {w} x {h} px olarak açılır
Pages	Sayfalar
Paint	Boya
Paint Filter Mask	Filtre Maskesini Boya
Paint Mask	Maskeyi Boya
Paint over the part to keep with the foreground brush first.	Önce tutulacak kısmı ön plan fırçasıyla boyayın.
Paint over what to keep and over what to drop	Tutulacak ve atılacak kısımların üzerini boyayın
Paint the inside of the path	Yolun içini boya
Painting	Boyama
Paints a band along the active selection's border.	Etkin seçimin kenarı boyunca bir şerit boyar.
Pair kerning	Çift aralığı
Palette	Palet
Paragraph	Paragraf
Paragraph Style	Paragraf Stili
Paragraph Styles	Paragraf Stilleri
Particles…	Parçacıklar…
Paste	Yapıştır
Paste Into	İçine Yapıştır
Paste Layer Style	Katman Stilini Yapıştır
Paste Outside	Dışına Yapıştır
Paste Special	Özel Yapıştır
Paste in Place	Yerinde Yapıştır
Path	Yol
Path Blur…	Yol Bulanıklaştırma…
Path editing lives in the Paths panel	Yol düzenleme Yollar panelindedir
Paths	Yollar
Pattern	Desen
Pattern Dither	Desen Taklidi
Pattern Overlay	Desen Kaplaması
Pattern Overlay…	Desen Kaplaması…
Pattern Preview	Desen Önizlemesi
Pattern…	Desen…
Pencil 1px	Kurşun Kalem 1 px
Percent	Yüzde
Perceptual	Algısal
Perspective	Perspektif
Perspective Warp	Perspektif Çarpıtma
Photo Filter	Fotoğraf Filtresi
Photo Filter…	Fotoğraf Filtresi…
Photography	Fotoğrafçılık
Picas	Pika
Pick a filter; it applies at its default settings.	Bir filtre seçin; varsayılan ayarlarıyla uygulanır.
Pin Light	Sabit Işık
Pinch…	Sıkıştır…
Pixel Grid	Piksel Izgarası
Pixel dimensions	Piksel boyutları
Pixel mask	Piksel maskesi
Pixel to Pixel	Pikselden Piksele
Pixelate	Pikselleştir
Pixels	Piksel
Place Embedded…	Gömülü Yerleştir…
Place Linked…	Bağlantılı Yerleştir…
Play	Oynat
Play from step	Adımdan itibaren oynat
Play selection	Seçimi oynat
Play this step (unchecked steps are passed over)	Bu adımı oynat (işaretsiz adımlar atlanır)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Kaynak klasördeki her görüntüde kayıtlı bir eylemi oynatır ve her sonucu hedefe kaydeder.
Pointer	İşaretçi
Pointillize…	Noktacılık…
Points	Punto
Polar Coordinates…	Kutupsal Koordinatlar…
Position	Konum
Position is locked — unlock it in the Layers panel to move or resize	Konum kilitli — taşımak veya boyutlandırmak için Katmanlar panelinde kilidi açın
Position key	Konum ana karesi
Posterize	Posterleştir
Posterize…	Posterleştir…
Precise Cursor	Hassas İmleç
Preferences…	Tercihler…
Preserve Transparency	Saydamlığı Koru
Preserve luminosity	Parlaklığı koru
Preset Manager…	Ön Ayar Yöneticisi…
Press a key…	Bir tuşa basın…
Pressure controls flow	Basınç akışı denetler
Pressure controls size	Basınç boyutu denetler
Preview	Önizleme
Preview against	Şuna karşı önizle
Preview is off.	Önizleme kapalı.
Previewed on the active layer; applied to its pixels as one undoable step.	Etkin katmanda önizlenir; piksellerine geri alınabilir tek bir adımda uygulanır.
Previous Blend Mode	Önceki Karışım Modu
Print Size	Baskı Boyutu
Print as PDF…	PDF Olarak Yazdır…
Print size	Baskı boyutu
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Gri tonlamalı görüntüyü her biri kendi eğrisinden geçen bir ile dört mürekkeple basar. Mürekkepler mod değişince piksellere uygulanır.
Print…	Yazdır…
Profile	Profil
Profile from File…	Dosyadan Profil…
Profiles are assigned to RGB documents	Profiller RGB belgelere atanır
Profiles are converted between in RGB documents	Profiller arası dönüştürme RGB belgelerde yapılır
Profiles belong to RGB documents; convert to RGB first	Profiller RGB belgelere aittir; önce RGB'ye dönüştürün
Proof Colors	Renk Provası
Properties	Özellikler
Puppet Warp	Kukla Çarpıtma
Purge	Temizle
Purple	Mor
Quadtone	Dört Ton
Quality	Kalite
Quick Export Layer as PNG…	Katmanı PNG Olarak Hızlı Dışa Aktar…
Quit	Çık
RGB Color	RGB Renk
Radial Blur…	Radyal Bulanıklaştırma…
Radius	Yarıçap
Radius (px)	Yarıçap (px)
Range	Aralık
Raster Studio Help	Raster Studio Yardımı
Rasterize	Rasterleştir
Reassign anyway	Yine de yeniden ata
Recent	Son Kullanılanlar
Record	Kaydet
Record Source Size	Kaynak Boyutunu Kaydet
Record an Action in the Actions panel first	Önce Eylemler panelinde bir eylem kaydedin
Record an edit, then replay the whole sequence on any document with at least as many layers.	Bir düzenleme kaydedin, sonra tüm diziyi en az bu kadar katmanı olan herhangi bir belgede oynatın.
Record into set	Sete kaydet
Recording: every edit is captured until Stop	Kaydediliyor: Durdur'a kadar her düzenleme yakalanır
Red	Kırmızı
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Seçili {noun} öğesini etkin metin katmanından yeniden tanımla ve onu kullanan her katmanın stilini yenile
Redo	Yinele
Reds	Kırmızılar
Reduce Colors	Renkleri Azalt
Reduce Colors changed nothing: the layer already uses only colours of that palette	Renkleri Azalt hiçbir şeyi değiştirmedi: katman zaten yalnızca o paletin renklerini kullanıyor
Reduce Colors: the layer now uses at most {n} colours	Renkleri Azalt: katman artık en fazla {n} renk kullanıyor
Reduce Colors…	Renkleri Azalt…
Reduce Noise…	Gürültüyü Azalt…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Gri tonlamalı görüntüyü saf siyah ve beyaza indirger. Katmanlar beyaz üzerinde teke düzleştirilir.
Reference point: Bottom	Başvuru noktası: Alt
Reference point: Bottom Left	Başvuru noktası: Sol Alt
Reference point: Bottom Right	Başvuru noktası: Sağ Alt
Reference point: Centre	Başvuru noktası: Merkez
Reference point: Left	Başvuru noktası: Sol
Reference point: Right	Başvuru noktası: Sağ
Reference point: Top	Başvuru noktası: Üst
Reference point: Top Left	Başvuru noktası: Sol Üst
Reference point: Top Right	Başvuru noktası: Sağ Üst
Refine	İyileştir
Refine Edge…	Kenarı İyileştir…
Refine Mask	Maskeyi İyileştir
Refine Mask…	Maskeyi İyileştir…
Regular	Normal
Relative	Göreli
Relative Colorimetric	Göreli Kolorimetrik
Release Clipping Mask	Kırpma Maskesini Serbest Bırak
Release Notes	Sürüm Notları
Relink to File…	Dosyaya Yeniden Bağla…
Remove Black Matte	Siyah Kenarı Kaldır
Remove Color Fringe	Renk Saçağını Kaldır
Remove Color Fringe…	Renk Saçağını Kaldır…
Remove Fringe	Saçağı Kaldır
Remove White Matte	Beyaz Kenarı Kaldır
Remove export	Dışa aktarmayı kaldır
Remove this instance of the effect	Efektin bu örneğini kaldır
Remove this shortcut	Bu kısayolu kaldır
Rename Layer	Katmanı Yeniden Adlandır
Rename Layer…	Katmanı Yeniden Adlandır…
Rename set	Seti yeniden adlandır
Render	Oluştur
Rendering the preview…	Önizleme oluşturuluyor…
Repeat…	Yinele…
Replace Color	Rengi Değiştir
Replace Color…	Rengi Değiştir…
Replace Contents	İçeriği Değiştir
Replace Contents…	İçeriği Değiştir…
Replace existing guides	Mevcut kılavuzları değiştir
Replay	Yeniden oynat
Report an Issue	Sorun Bildir
Reselect	Yeniden Seç
Reset	Sıfırla
Reset Transform	Dönüştürmeyi Sıfırla
Reset View Rotation	Görünüm Döndürmeyi Sıfırla
Reset all shortcuts	Tüm kısayolları sıfırla
Resize Canvas	Tuvali Yeniden Boyutlandır
Resize Images	Görüntüleri Yeniden Boyutlandır
Resize Images…	Görüntüleri Yeniden Boyutlandır…
Resolution	Çözünürlük
Resolution must be greater than zero	Çözünürlük sıfırdan büyük olmalı
Restore Layer	Katmanı Geri Yükle
Result	Sonuç
Return this tool to its defaults	Bu aracı varsayılanlarına döndür
Reveal All	Tümünü Göster
Reveal Selection	Seçimi Göster
Reverse	Tersine Çevir
Revert	Geri Döndür
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Görüntü hedef profil altında aynı görünsün diye her piksel katmanının değerlerini tek bir geri alma adımında yeniden yazar.
Right	Sağ
Right (narrow)	Sağ (dar)
Right (wide)	Sağ (geniş)
Right Edges	Sağ Kenarlar
Right indent	Sağ girinti
Right-click a swatch to remove it	Kaldırmak için bir renk örneğine sağ tıklayın
Ring	Halka
Ripple…	Dalgalanma…
Rise	Yükseliş
Rotate	Döndür
Rotate 180°	180° Döndür
Rotate 90° Clockwise	90° Saat Yönünde Döndür
Rotate 90° Counter Clockwise	90° Saat Yönünün Tersine Döndür
Rotate Canvas	Tuvali Döndür
Rotate the active layer so the measured line is level (Enter)	Ölçülen çizgi düz olsun diye etkin katmanı döndür (Enter)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Tuvali ve her katmanı döndürür. Dik açılar piksel tam; diğer açılar yeniden örneklenir.
Rotation key	Döndürme ana karesi
Round	Yuvarlak
Round (computed)	Yuvarlak (hesaplanan)
Rounded Steps	Yuvarlatılmış Adımlar
Roundness jitter	Yuvarlaklık titreşimi
Rows	Satırlar
Rulers	Cetveller
Run	Çalıştır
SVG…	SVG…
Same Radii	Aynı Yarıçaplar
Sample a colour from the canvas	Tuvalden bir renk örnekle
Sample radius	Örnek yarıçapı
Sampled	Örneklenmiş
Sampled colour	Örneklenen renk
Sampled tip not loaded; painting round	Örneklenen uç yüklenmedi; yuvarlak boyanıyor
Satin…	Saten…
Saturation	Doygunluk
Saturation jitter	Doygunluk titreşimi
Save	Kaydet
Save As	Farklı Kaydet
Save As…	Farklı Kaydet…
Save Brush	Fırçayı Kaydet
Save Selection	Seçimi Kaydet
Save Selection…	Seçimi Kaydet…
Save actions	Eylemleri kaydet
Save as PSD…	PSD Olarak Kaydet…
Save current brush	Geçerli fırçayı kaydet
Save selection as channel	Seçimi kanal olarak kaydet
Saves every image in the source folder to the destination in another format, quality or size.	Kaynak klasördeki her görüntüyü başka bir biçim, kalite veya boyutta hedefe kaydeder.
Scale	Ölçekle
Scale %	Ölçek %
Scale Effects	Efektleri Ölçekle
Scale Effects…	Efektleri Ölçekle…
Scale H	Ölçek Y
Scale V	Ölçek D
Scale key	Ölçek ana karesi
Scale:	Ölçek:
Scales every size and distance of the active layer's style as one undo step.	Etkin katmanın stilindeki her boyutu ve uzaklığı tek bir geri alma adımında ölçekler.
Scaling by 100% changes nothing	%100 ölçekleme hiçbir şeyi değiştirmez
Scratch directory	Geçici dizin
Screen	Ekran
Screen, print and social presets	Ekran, baskı ve sosyal medya ön ayarları
Script…	Komut Dosyası…
Scroll wheel zooms instead of scrolling	Kaydırma tekerleği kaydırmak yerine yakınlaştırır
Search Commands…	Komut Ara…
Search layers	Katman ara
Search layers by name	Katmanları ada göre ara
Select	Seç
Select All	Tümünü Seç
Select Bottom Layer	En Alttaki Katmanı Seç
Select Layer Above	Üstteki Katmanı Seç
Select Layer Below	Alttaki Katmanı Seç
Select Linked Layers	Bağlantılı Katmanları Seç
Select None	Hiçbirini Seçme
Select Top Layer	En Üstteki Katmanı Seç
Select a layer first	Önce bir katman seçin
Select a layer to see its CSS	CSS'ini görmek için bir katman seçin
Select a layer to see its properties	Özelliklerini görmek için bir katman seçin
Select a layer: a click on a style applies it to the active layer.	Bir katman seçin: bir stile tıklamak onu etkin katmana uygular.
Select a path first	Önce bir yol seçin
Select a text layer, or type into one: a click inserts the glyph at the caret.	Bir metin katmanı seçin veya birine yazın: tıklama glifi imleç konumuna ekler.
Select a text layer to edit its type	Metnini düzenlemek için bir metin katmanı seçin
Select every pixel near one colour	Bir renge yakın her pikseli seç
Selection	Seçim
Selection Edges	Seçim Kenarları
Selection: white is replaced, black is kept.	Seçim: beyaz değiştirilir, siyah korunur.
Selective Color	Seçici Renk
Selective Color…	Seçici Renk…
Selects a band of this width along the selection's edge	Seçimin kenarı boyunca bu genişlikte bir şerit seçer
Semi Condensed	Yarı Dar
Semi Expanded	Yarı Geniş
Semibold	Yarı Kalın
Send Backward	Geri Gönder
Send to Back	En Arkaya Gönder
Separate documents	Ayrı belgeler
Separate keywords with commas or semicolons.	Anahtar sözcükleri virgül veya noktalı virgülle ayırın.
Sepia	Sepya
Set	Set
Set the History Brush to paint from this state (the marked row)	Geçmiş Fırçasını bu durumdan boyayacak şekilde ayarla (işaretli satır)
Shadows	Gölgeler
Shadows/Highlights	Gölgeler/Vurgular
Shadows/Highlights…	Gölgeler/Vurgular…
Shape	Şekil
Shape Dynamics	Şekil Dinamikleri
