# Raster Studio interface strings, fr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Français
Layer via Cut	Calque par couper
Layers	Calques
Layers panel options	Options du panneau Calques
Left	Gauche
Left Edges	Bords gauches
Left indent	Retrait à gauche
Length	Longueur
Lens Blur…	Flou de l’objectif…
Lens Correction…	Correction de l’objectif…
Lens Flare…	Halo…
Level	Niveau
Levels	Niveaux
Levels…	Niveaux…
Light	Maigre
Light Grey	Gris clair
Lighten	Éclaircir
Lighter Color	Couleur plus claire
Lighting Effects…	Effets d’éclairage…
Lightness	Luminosité
Line	Ligne
Linear	Linéaire
Linear Burn	Densité linéaire +
Linear Dodge (Add)	Densité linéaire - (Ajout)
Linear Light	Lumière linéaire
Link / Unlink Mask	Lier / délier le masque
Link Layers	Lier les calques
Link selected layers	Lier les calques sélectionnés
Link with layer	Lier au calque
Linked	Lié
Linked file	Fichier lié
Liquify…	Fluidité…
Live Shape	Forme dynamique
Live preview	Aperçu en direct
Live preview is off.	L’aperçu en direct est désactivé.
Load	Charger
Load .atn	Charger un .atn
Load .cube file…	Charger un fichier .cube…
Load Selection	Récupérer la sélection
Load Selection…	Récupérer la sélection…
Load actions	Charger des scripts
Load channel as selection	Charger la couche comme sélection
Load path as a selection	Charger le tracé comme sélection
Loaded file	Fichier chargé
Lock	Verrouiller
Lock All	Tout verrouiller
Lock Guides	Verrouiller les repères
Lock Image Pixels	Verrouiller les pixels de l’image
Lock Position	Verrouiller la position
Lock Transparent Pixels	Verrouiller les pixels transparents
Lock all	Tout verrouiller
Lock pixels	Verrouiller les pixels
Lock position	Verrouiller la position
Lock transparent pixels	Verrouiller les pixels transparents
Long-tap as a right click	Appui long comme clic droit
Lookup table	Table de correspondance
Luminance	Luminance
Luminance of the preview source; the markers are the black and white points.	Luminance de la source de l’aperçu ; les repères sont les points noir et blanc.
Luminosity	Luminosité
MP4…	MP4…
Magenta	Magenta
Magenta / Green	Magenta / Vert
Magentas	Magentas
Magic Cut	Découpe magique
Magic Cut…	Découpe magique…
Make Frames	Créer des images
Make a selection first	Faites d’abord une sélection
Make work path from selection	Créer un tracé de travail à partir de la sélection
Manual	Manuel
Maps every colour onto one palette. The document keeps RGBA pixels; GIF and PNG export write this palette.	Associe chaque couleur à une palette. Le document garde des pixels RVBA ; les exports GIF et PNG écrivent cette palette.
Maps the active layer onto a palette as one undo step; the document stays RGB.	Associe le calque actif à une palette en une seule étape annulable ; le document reste en RVB.
Margins	Marges
Mark this state so you can come back to it	Marquer cet état pour pouvoir y revenir
Mask	Masque
Mask Properties	Propriétés du masque
Mask source	Source du masque
Match Color	Correspondance de la couleur
Match Color…	Correspondance de la couleur…
Matting	Détourage
Maximum	Maximum
Maximum…	Maximum…
Mean	Moyenne
Median	Médiane
Median…	Médiane…
Medium	Moyen
Memory	Mémoire
Menu Bar and Canvas	Barre de menus et zone de travail
Merge	Fusionner
Merge Channels	Fusionner des couches
Merge Channels…	Fusionner des couches…
Merge Down	Fusionner avec le calque inférieur
Merge Layers	Fusionner les calques
Merge Visible	Fusionner les calques visibles
Merged	Fusionné
Method	Méthode
Metrics	Métrique
Metrics uses the font's own pair kerning; 0 turns kerning off; Manual puts one amount (1/1000 em) between every pair of the text as it is now, and characters typed later start unkerned; it needs at least two characters, so shorter text and the Type tool defaults do not offer it. The shaper has no optical kerning, so that mode is not offered.	Métrique utilise le crénage par paires de la police ; 0 désactive le crénage ; Manuel place une valeur (1/1000 cadratin) entre chaque paire du texte actuel, et les caractères saisis ensuite commencent sans crénage ; il faut au moins deux caractères, donc un texte plus court et les réglages par défaut de l’outil Texte ne le proposent pas. Le moteur de mise en forme n’a pas de crénage optique, ce mode n’est donc pas proposé.
Mezzotint…	Manière noire…
Midtones	Tons moyens
Millimeters	Millimètres
Min diameter	Diamètre min.
Min roundness	Arrondi min.
Min size	Taille min.
Minimal	Minimal
Minimum	Minimum
Minimum size only applies when pressure controls size.	La taille minimale ne s’applique que si la pression contrôle la taille.
Minimum…	Minimum…
Miter	Pointu
Mode	Mode
Modify	Modifier
Monochrome	Monochrome
Monotone	Monotone
More readouts	Plus de mesures
More tabs	Plus d’onglets
Mosaic…	Mosaïque…
Motion Blur…	Flou directionnel…
Move Layer	Déplacer le calque
Move a control first: these settings would change nothing	Déplacez d’abord une commande : ces réglages ne changeraient rien
Move this panel	Déplacer ce panneau
Move this panel within its dock	Déplacer ce panneau dans son dock
Move to	Déplacer vers
Move with the layer	Déplacer avec le calque
Multiply	Produit
Name	Nom
Name Change	Changement de nom
Name the channel first.	Nommez d’abord la couche.
Navigator	Navigation
Nearest Neighbour	Au plus proche
Neutralize	Neutraliser
Neutrals	Neutres
New	Nouveau
New Adjustment Layer	Nouveau calque de réglage
New Channel	Nouvelle couche
New Document	Nouveau document
New Fill Layer	Nouveau calque de remplissage
New Folder	Nouveau dossier
New Guide	Nouveau repère
New Guide Layout	Nouvelle disposition de repères
New Guide Layout…	Nouvelle disposition de repères…
New Guides from Shape	Nouveaux repères d’après la forme
New Guide…	Nouveau repère…
New Layer	Nouveau calque
New Layer Based Slice	Nouvelle tranche d’après le calque
New Selection	Nouvelle sélection
New Smart Object via Copy	Nouvel objet dynamique par copier
New Snapshot	Nouvel instantané
New Spot Channel	Nouvelle couche de ton direct
New Spot Channel…	Nouvelle couche de ton direct…
New Style Preset	Nouveau style prédéfini
New Video Group	Nouveau groupe vidéo
New channel	Nouvelle couche
New folder	Nouveau dossier
New group	Nouveau groupe
New layer	Nouveau calque
New layer comp	Nouvelle composition de calques
New note at the centre of the view	Nouvelle note au centre de la vue
New path (saves the Work Path when it is selected)	Nouveau tracé (enregistre le tracé de travail s’il est sélectionné)
New set	Nouvel ensemble
New size	Nouvelle taille
New style from the active layer	Nouveau style à partir du calque actif
New tool preset from the active tool	Nouvel outil prédéfini à partir de l’outil actif
New {noun} from the active text layer	Nouveau {noun} à partir du calque de texte actif
New…	Nouveau…
Next Blend Mode	Mode de fusion suivant
No Color	Aucune couleur
No character styles yet. New records the active text layer's font, size and look.	Aucun style de caractère pour l’instant. Nouveau enregistre la police, la taille et l’aspect du calque de texte actif.
No command loads a channel as the selection in this build; the Select menu's Load Selection restores a saved selection instead	Dans cette version, aucune commande ne charge une couche comme sélection ; Récupérer la sélection du menu Sélection restaure une sélection enregistrée à la place
No commands to bind	Aucune commande à associer
No document	Aucun document
No document is open	Aucun document n’est ouvert
No export selected	Aucun export sélectionné
No faces listed for this family name	Aucun style listé pour ce nom de famille
No frames yet. Add frame makes an _a_ layer: each one is a frame, bottom first.	Aucune image pour l’instant. Ajouter une image crée un calque _a_ : chacun est une image, en commençant par le bas.
No guide crosses the canvas	Aucun repère ne traverse la zone de travail
No installed family matches	Aucune famille installée ne correspond
No layer comps yet. New Layer Comp records every layer's visibility, position and appearance.	Aucune composition de calques pour l’instant. Nouvelle composition de calques enregistre la visibilité, la position et l’aspect de chaque calque.
No layers yet. Add one with the + button below.	Aucun calque pour l’instant. Ajoutez-en un avec le bouton + ci-dessous.
No layers yet: each top-level layer gets a bar on the timeline.	Aucun calque pour l’instant : chaque calque de premier niveau reçoit une barre dans le montage.
No notes yet. Click the canvas with the Note tool (I), or New Note pins one at the centre of the view; notes are saved with the document and never exported.	Aucune note pour l’instant. Cliquez sur la zone de travail avec l’outil Note (I), ou Nouvelle note en épingle une au centre de la vue ; les notes sont enregistrées avec le document et jamais exportées.
No open document is the same size as this one	Aucun document ouvert n’a la même taille que celui-ci
No paragraph styles yet. New records the active text layer's alignment, indents and spacing.	Aucun style de paragraphe pour l’instant. Nouveau enregistre l’alignement, les retraits et l’espacement du calque de texte actif.
No pattern chosen — the overlay paints nothing.	Aucun motif choisi : l’incrustation ne peint rien.
No patterns are defined yet	Aucun motif n’est encore défini
No profile file was chosen	Aucun fichier de profil n’a été choisi
No recent files yet	Aucun fichier récent pour l’instant
No selection has been saved	Aucune sélection n’a été enregistrée
No source recorded for this object	Aucune source enregistrée pour cet objet
No stop selected	Aucun point sélectionné
No style presets yet. Define one with Layer > Layer Style > Define Style Preset, or add a Photoshop library with File > Open (.asl).	Aucun style prédéfini pour l’instant. Définissez-en un avec Calque > Style de calque > Définir un style prédéfini, ou ajoutez une bibliothèque Photoshop avec Fichier > Ouvrir (.asl).
No styles yet. The + button saves the active layer's style; File > Open loads an .asl style library.	Aucun style pour l’instant. Le bouton + enregistre le style du calque actif ; Fichier > Ouvrir charge une bibliothèque de styles .asl.
No such command	Commande inexistante
No tool presets yet. New Tool Preset saves the active tool with its current options.	Aucun outil prédéfini pour l’instant. Nouvel outil prédéfini enregistre l’outil actif avec ses options actuelles.
Noise	Bruit
None	Aucun
Normal	Normal
Normal Map…	Carte des normales…
Not a hex colour	Pas une couleur hexadécimale
Not installed — shaping with	Non installée — composée avec
Not saved yet	Pas encore enregistré
Notes	Notes
Nothing has changed	Rien n’a changé
Nothing in this submenu is available right now	Rien dans ce sous-menu n’est disponible pour le moment
Nothing is left to learn the background from: paint over it with the background brush.	Il ne reste rien d’où apprendre l’arrière-plan : peignez-le avec la forme d’arrière-plan.
Nothing to measure yet — paint or place something on this layer first	Rien à mesurer pour l’instant : peignez ou placez d’abord quelque chose sur ce calque
Nothing to preview.	Rien à prévisualiser.
OK	OK
Oblique	Oblique
Off: the wheel pans the view and Ctrl+wheel zooms	Désactivé : la molette fait défiler la vue et Ctrl+molette zoome
Offset…	Translation…
Oil Paint…	Peinture à l’huile…
One page holding the flattened image; no vector content.	Une page contenant l’image aplatie ; aucun contenu vectoriel.
Onion skin	Pelure d’oignon
Only English is available in this build	Seul l’anglais est disponible dans cette version
Only a mask channel can be loaded as a selection here	Seule une couche de masque peut être chargée comme sélection ici
Only web-safe colours	Couleurs Web uniquement
Opacity	Opacité
Opacity 10%	Opacité 10 %
Opacity 100%	Opacité 100 %
Opacity 20%	Opacité 20 %
Opacity 30%	Opacité 30 %
Opacity 40%	Opacité 40 %
Opacity 50%	Opacité 50 %
Opacity 60%	Opacité 60 %
Opacity 70%	Opacité 70 %
Opacity 80%	Opacité 80 %
Opacity 90%	Opacité 90 %
Opacity jitter	Variation d’opacité
Opacity key	Clé d’opacité
Opacity must be between 0% and 100%	L’opacité doit être comprise entre 0 % et 100 %
Opacity scales the layer and its effects; Fill scales the layer's own pixels only.	L’opacité agit sur le calque et ses effets ; Fond n’agit que sur les pixels du calque.
Opacity stops sit above the bar, colour stops below it.	Les points d’opacité sont au-dessus de la barre, les points de couleur en dessous.
Open	Ouvrir
Open .ABR…	Ouvrir un .ABR…
Open .ACO…	Ouvrir un .ACO…
Open .ASL…	Ouvrir un .ASL…
Open Recent	Ouvrir les fichiers récents
Open a document first	Ouvrez d’abord un document
Open a document to animate it.	Ouvrez un document pour l’animer.
Open a document to apply styles to its layers.	Ouvrez un document pour appliquer des styles à ses calques.
Open a document to insert glyphs into its text.	Ouvrez un document pour insérer des glyphes dans son texte.
Open a document to keep text styles in it.	Ouvrez un document pour y conserver des styles de texte.
Open a document to lay guides out on it.	Ouvrez un document pour y disposer des repères.
Open a document to pin notes on it.	Ouvrez un document pour y épingler des notes.
Open a document to record layer comps.	Ouvrez un document pour enregistrer des compositions de calques.
Open a document to see its CSS	Ouvrez un document pour voir son CSS
Open a document to see its facts.	Ouvrez un document pour voir ses informations.
Open a document to see its histogram	Ouvrez un document pour voir son histogramme
Open a document to see its history	Ouvrez un document pour voir son historique
Open a document to see its properties	Ouvrez un document pour voir ses propriétés
Open another document, or add another pixel layer, to match its colours.	Ouvrez un autre document, ou ajoutez un autre calque de pixels, pour faire correspondre ses couleurs.
Open as	Ouvrir comme
Open editor…	Ouvrir l’éditeur…
Open or close the folder	Ouvrir ou fermer le dossier
Open the Adjustments panel	Ouvrir le panneau Réglages
Open…	Ouvrir…
Operation	Opération
Orange	Orange
Other	Autre
Out of gamut	Hors gamme
Outer Glow	Lueur externe
Outer Glow…	Lueur externe…
Outline the path	Contour du tracé
Output	Sortie
Output channel	Couche de sortie
Outside	Extérieur
Overlay	Incrustation
PBM…	PBM…
PDF Presentation…	Présentation PDF…
PDF…	PDF…
PGM…	PGM…
PNG…	PNG…
PPM…	PPM…
Page	Page
Page {n}	Page {n}
Page {page} opens at {w} x {h} px	La page {page} s’ouvre en {w} x {h} px
Pages	Pages
Paint	Peindre
Paint Filter Mask	Peindre le masque de filtre
Paint Mask	Peindre le masque
Paint over the part to keep with the foreground brush first.	Peignez d’abord avec la forme de premier plan la partie à garder.
Paint over what to keep and over what to drop	Peignez ce qu’il faut garder et ce qu’il faut retirer
Paint the inside of the path	Peindre l’intérieur du tracé
Painting	Peinture
Paints a band along the active selection's border.	Peint une bande le long du bord de la sélection active.
Pair kerning	Crénage par paires
Palette	Palette
Paragraph	Paragraphe
Paragraph Style	Style de paragraphe
Paragraph Styles	Styles de paragraphe
Particles…	Particules…
Paste	Coller
Paste Into	Coller dedans
Paste Layer Style	Coller le style de calque
Paste Outside	Coller à l’extérieur
Paste Special	Collage spécial
Paste in Place	Coller sur place
Path	Tracé
Path Blur…	Flou de tracé…
Path editing lives in the Paths panel	La modification des tracés se fait dans le panneau Tracés
Paths	Tracés
Pattern	Motif
Pattern Dither	Tramage par motif
Pattern Overlay	Incrustation de motif
Pattern Overlay…	Incrustation de motif…
Pattern Preview	Aperçu du motif
Pattern…	Motif…
Pencil 1px	Crayon 1 px
Percent	Pourcentage
Perceptual	Perception
Perspective	Perspective
Perspective Warp	Déformation de la perspective
Photo Filter	Filtre photo
Photo Filter…	Filtre photo…
Photography	Photographie
Picas	Picas
Pick a filter; it applies at its default settings.	Choisissez un filtre ; il s’applique avec ses réglages par défaut.
Pin Light	Lumière ponctuelle
Pinch…	Pincement…
Pixel Grid	Grille de pixels
Pixel dimensions	Dimensions en pixels
Pixel mask	Masque de pixels
Pixel to Pixel	Pixel pour pixel
Pixelate	Pixellisation
Pixels	Pixels
Place Embedded…	Importer incorporé…
Place Linked…	Importer lié…
Play	Exécuter
Play from step	Exécuter depuis l’étape
Play selection	Exécuter la sélection
Play this step (unchecked steps are passed over)	Exécuter cette étape (les étapes non cochées sont ignorées)
Plays a recorded Action on every image in the source folder and saves each result to the destination.	Exécute un script enregistré sur chaque image du dossier source et enregistre chaque résultat dans la destination.
Pointer	Pointeur
Pointillize…	Pointillisme…
Points	Points
Polar Coordinates…	Coordonnées polaires…
Position	Position
Position is locked — unlock it in the Layers panel to move or resize	La position est verrouillée : déverrouillez-la dans le panneau Calques pour déplacer ou redimensionner
Position key	Clé de position
Posterize	Isohélie
Posterize…	Isohélie…
Precise Cursor	Curseur précis
Preferences…	Préférences…
Preserve Transparency	Conserver la transparence
Preserve luminosity	Conserver la luminosité
Preset Manager…	Gestionnaire des paramètres prédéfinis…
Press a key…	Appuyez sur une touche…
Pressure controls flow	La pression contrôle le flux
Pressure controls size	La pression contrôle la taille
Preview	Aperçu
Preview against	Aperçu sur
Preview is off.	L’aperçu est désactivé.
Previewed on the active layer; applied to its pixels as one undoable step.	Aperçu sur le calque actif ; appliqué à ses pixels en une seule étape annulable.
Previous Blend Mode	Mode de fusion précédent
Print Size	Taille d’impression
Print as PDF…	Imprimer en PDF…
Print size	Taille d’impression
Prints the grayscale image through one to four inks, each through its own curve. The inks are applied to the pixels when the mode changes.	Imprime l’image en niveaux de gris avec une à quatre encres, chacune selon sa propre courbe. Les encres sont appliquées aux pixels au changement de mode.
Print…	Imprimer…
Profile	Profil
Profile from File…	Profil depuis un fichier…
Profiles are assigned to RGB documents	Les profils sont attribués aux documents RVB
Profiles are converted between in RGB documents	La conversion entre profils se fait dans les documents RVB
Profiles belong to RGB documents; convert to RGB first	Les profils appartiennent aux documents RVB ; convertissez d’abord en RVB
Proof Colors	Couleurs d’épreuve
Properties	Propriétés
Puppet Warp	Déformation de la marionnette
Purge	Purger
Purple	Violet
Quadtone	Quadrichromie
Quality	Qualité
Quick Export Layer as PNG…	Export rapide du calque en PNG…
Quit	Quitter
RGB Color	Couleurs RVB
Radial Blur…	Flou radial…
Radius	Rayon
Radius (px)	Rayon (px)
Range	Gamme
Raster Studio Help	Aide de Raster Studio
Rasterize	Pixelliser
Reassign anyway	Réattribuer quand même
Recent	Récents
Record	Enregistrer
Record Source Size	Enregistrer la taille source
Record an Action in the Actions panel first	Enregistrez d’abord un script dans le panneau Scripts
Record an edit, then replay the whole sequence on any document with at least as many layers.	Enregistrez une retouche, puis rejouez toute la séquence sur n’importe quel document comptant au moins autant de calques.
Record into set	Enregistrer dans l’ensemble
Recording: every edit is captured until Stop	Enregistrement : chaque retouche est capturée jusqu’à Arrêter
Red	Rouge
Redefine the selected {noun} from the active text layer, restyling every layer that uses it	Redéfinir {noun} sélectionné à partir du calque de texte actif, en restylant chaque calque qui l’utilise
Redo	Rétablir
Reds	Rouges
Reduce Colors	Réduire les couleurs
Reduce Colors changed nothing: the layer already uses only colours of that palette	Réduire les couleurs n’a rien changé : le calque n’utilise déjà que des couleurs de cette palette
Reduce Colors: the layer now uses at most {n} colours	Réduire les couleurs : le calque utilise désormais au plus {n} couleurs
Reduce Colors…	Réduire les couleurs…
Reduce Noise…	Réduction du bruit…
Reduces the grayscale image to pure black and white. The layers are flattened into one, over white.	Réduit l’image en niveaux de gris au noir et blanc purs. Les calques sont aplatis en un seul, sur du blanc.
Reference point: Bottom	Point de référence : en bas
Reference point: Bottom Left	Point de référence : en bas à gauche
Reference point: Bottom Right	Point de référence : en bas à droite
Reference point: Centre	Point de référence : centre
Reference point: Left	Point de référence : à gauche
Reference point: Right	Point de référence : à droite
Reference point: Top	Point de référence : en haut
Reference point: Top Left	Point de référence : en haut à gauche
Reference point: Top Right	Point de référence : en haut à droite
Refine	Affiner
Refine Edge…	Améliorer le contour…
Refine Mask	Améliorer le masque
Refine Mask…	Améliorer le masque…
Regular	Normal
Relative	Relative
Relative Colorimetric	Colorimétrie relative
Release Clipping Mask	Annuler le masque d’écrêtage
Release Notes	Notes de version
Relink to File…	Rétablir le lien vers le fichier…
Remove Black Matte	Supprimer le cache noir
Remove Color Fringe	Supprimer les franges colorées
Remove Color Fringe…	Supprimer les franges colorées…
Remove Fringe	Supprimer les franges
Remove White Matte	Supprimer le cache blanc
Remove export	Retirer l’export
Remove this instance of the effect	Retirer cette instance de l’effet
Remove this shortcut	Retirer ce raccourci
Rename Layer	Renommer le calque
Rename Layer…	Renommer le calque…
Rename set	Renommer l’ensemble
Render	Rendu
Rendering the preview…	Rendu de l’aperçu…
Repeat…	Répéter…
Replace Color	Remplacement de couleur
Replace Color…	Remplacement de couleur…
Replace Contents	Remplacer le contenu
Replace Contents…	Remplacer le contenu…
Replace existing guides	Remplacer les repères existants
Replay	Rejouer
Report an Issue	Signaler un problème
Reselect	Resélectionner
Reset	Réinitialiser
Reset Transform	Réinitialiser la transformation
Reset View Rotation	Réinitialiser la rotation de la vue
Reset all shortcuts	Réinitialiser tous les raccourcis
Resize Canvas	Redimensionner la zone de travail
Resize Images	Redimensionner des images
Resize Images…	Redimensionner des images…
Resolution	Résolution
Resolution must be greater than zero	La résolution doit être supérieure à zéro
Restore Layer	Restaurer le calque
Result	Résultat
Return this tool to its defaults	Rétablir les valeurs par défaut de cet outil
Reveal All	Tout faire apparaître
Reveal Selection	Faire apparaître la sélection
Reverse	Inverser
Revert	Version précédente
Rewrites every pixel layer's numbers so the picture looks the same under the destination profile, as one undo step.	Réécrit les valeurs de chaque calque de pixels pour que l’image paraisse identique sous le profil de destination, en une seule étape annulable.
Right	Droite
Right (narrow)	Droite (étroite)
Right (wide)	Droite (large)
Right Edges	Bords droits
Right indent	Retrait à droite
Right-click a swatch to remove it	Cliquez avec le bouton droit sur un échantillon pour le retirer
Ring	Anneau
Ripple…	Ondulation…
Rise	Montée
Rotate	Rotation
Rotate 180°	Rotation 180°
Rotate 90° Clockwise	Rotation 90° horaire
Rotate 90° Counter Clockwise	Rotation 90° antihoraire
Rotate Canvas	Rotation de l’image
Rotate the active layer so the measured line is level (Enter)	Faire pivoter le calque actif pour que la ligne mesurée soit horizontale (Entrée)
Rotates the canvas and every layer. Right angles are pixel-exact; other angles resample.	Fait pivoter la zone de travail et tous les calques. Les angles droits sont exacts au pixel ; les autres angles sont rééchantillonnés.
Rotation key	Clé de rotation
Round	Rond
Round (computed)	Rond (calculé)
Rounded Steps	Paliers arrondis
Roundness jitter	Variation d’arrondi
Rows	Rangées
Rulers	Règles
Run	Exécuter
SVG…	SVG…
Same Radii	Rayons identiques
Sample a colour from the canvas	Prélever une couleur sur la zone de travail
Sample radius	Rayon d’échantillonnage
Sampled	Échantillonné
Sampled colour	Couleur prélevée
Sampled tip not loaded; painting round	Pointe échantillonnée non chargée ; peinture ronde
Satin…	Satin…
Saturation	Saturation
Saturation jitter	Variation de saturation
Save	Enregistrer
Save As	Enregistrer sous
Save As…	Enregistrer sous…
Save Brush	Enregistrer la forme
Save Selection	Mémoriser la sélection
Save Selection…	Mémoriser la sélection…
Save actions	Enregistrer les scripts
Save as PSD…	Enregistrer en PSD…
Save current brush	Enregistrer la forme actuelle
Save selection as channel	Enregistrer la sélection comme couche
Saves every image in the source folder to the destination in another format, quality or size.	Enregistre chaque image du dossier source dans la destination dans un autre format, une autre qualité ou une autre taille.
Scale	Mise à l’échelle
Scale %	Échelle %
Scale Effects	Mise à l’échelle des effets
Scale Effects…	Mise à l’échelle des effets…
Scale H	Échelle H
Scale V	Échelle V
Scale key	Clé d’échelle
Scale:	Échelle :
Scales every size and distance of the active layer's style as one undo step.	Met à l’échelle chaque taille et distance du style du calque actif en une seule étape annulable.
Scaling by 100% changes nothing	Une mise à l’échelle à 100 % ne change rien
Scratch directory	Dossier de travail
Screen	Superposition
Screen, print and social presets	Paramètres prédéfinis écran, impression et réseaux sociaux
Script…	Script…
Scroll wheel zooms instead of scrolling	La molette zoome au lieu de faire défiler
Search Commands…	Rechercher des commandes…
Search layers	Rechercher des calques
Search layers by name	Rechercher des calques par nom
Select	Sélection
Select All	Tout sélectionner
Select Bottom Layer	Sélectionner le calque du bas
Select Layer Above	Sélectionner le calque au-dessus
Select Layer Below	Sélectionner le calque en dessous
Select Linked Layers	Sélectionner les calques liés
Select None	Ne rien sélectionner
Select Top Layer	Sélectionner le calque du haut
Select a layer first	Sélectionnez d’abord un calque
Select a layer to see its CSS	Sélectionnez un calque pour voir son CSS
Select a layer to see its properties	Sélectionnez un calque pour voir ses propriétés
Select a layer: a click on a style applies it to the active layer.	Sélectionnez un calque : un clic sur un style l’applique au calque actif.
Select a path first	Sélectionnez d’abord un tracé
Select a text layer, or type into one: a click inserts the glyph at the caret.	Sélectionnez un calque de texte, ou saisissez-y du texte : un clic insère le glyphe au point d’insertion.
Select a text layer to edit its type	Sélectionnez un calque de texte pour modifier son texte
Select every pixel near one colour	Sélectionner chaque pixel proche d’une couleur
Selection	Sélection
Selection Edges	Contours de la sélection
Selection: white is replaced, black is kept.	Sélection : le blanc est remplacé, le noir est conservé.
Selective Color	Correction sélective
Selective Color…	Correction sélective…
Selects a band of this width along the selection's edge	Sélectionne une bande de cette largeur le long du bord de la sélection
Semi Condensed	Demi-étroit
Semi Expanded	Demi-large
Semibold	Demi-gras
Send Backward	En arrière
Send to Back	Arrière-plan
Separate documents	Documents séparés
Separate keywords with commas or semicolons.	Séparez les mots-clés par des virgules ou des points-virgules.
Sepia	Sépia
Set	Ensemble
Set the History Brush to paint from this state (the marked row)	Faire peindre le pinceau d’historique depuis cet état (la ligne marquée)
Shadows	Tons foncés
Shadows/Highlights	Tons foncés/Tons clairs
Shadows/Highlights…	Tons foncés/Tons clairs…
Shape	Forme
Shape Dynamics	Dynamique de forme
Shape Mosaic…	Mosaïque de formes…
Shape Properties	Propriétés de la forme
Sharpen	Renforcement
Sharpen Edges	Renforcement des contours
Sharpen More	Renforcement plus
Sharpest, with a little ringing on hard edges.	Le plus net, avec un léger effet de halo sur les bords nets.
Shear…	Cisaillement…
Shift Edge	Décaler le contour
Show	Afficher
Show / Hide Layer	Afficher / masquer le calque
Show / hide layer	Afficher / masquer le calque
Show / hide the effects list	Afficher / masquer la liste des effets
Show / hide the layer style	Afficher / masquer le style de calque
Show / hide this channel	Afficher / masquer cette couche
Show / hide this effect	Afficher / masquer cet effet
Show / hide this path	Afficher / masquer ce tracé
Show / hide this smart filter	Afficher / masquer ce filtre dynamique
Show Layers	Afficher les calques
Show every layer	Afficher tous les calques
Show or hide the position, size and alignment fields	Afficher ou masquer les champs de position, de taille et d’alignement
Show or hide the recorded steps	Afficher ou masquer les étapes enregistrées
Show or hide the set's actions	Afficher ou masquer les scripts de l’ensemble
Show this alpha channel alone in grayscale and paint into it; click again to store it	Afficher cette couche alpha seule en niveaux de gris et y peindre ; cliquez à nouveau pour l’enregistrer
Sides	Côtés
Similar	Pixels similaires
Size	Taille
Size jitter	Variation de taille
Skew	Inclinaison
Skewness	Asymétrie
Slice Options	Options de tranche
Slice Options…	Options de tranche…
Slices	Tranches
Slices from Guides	Tranches d’après les repères
Slices…	Tranches…
Small	Petit
Small Caps	Petites capitales
Smart Blur…	Flou optimisé…
Smart Filter	Filtre dynamique
Smart Filters	Filtres dynamiques
Smart Guides	Repères commentés
Smart Object	Objet dynamique
Smart Sharpen…	Netteté optimisée…
Smart filter mask: click to paint on it	Masque de filtre dynamique : cliquez pour peindre dessus
Smooth	Lisse
Smooth Selection	Lisser la sélection
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Lisse dessine des bords en niveaux de gris ; Aucun dessine des bords nets et crénelés. Le moteur de glyphes n’a qu’un mode lisse, Net, Précis et Fort ne sont donc pas proposés.
Smooth…	Lissage…
Snap	Magnétisme
Snap To	Magnétisme
Soft Light	Lumière tamisée
Soft Round 100	Rond flou 100
Soft Round 24	Rond flou 24
Soft and cheap. Good for a small enlargement.	Doux et économique. Convient à un petit agrandissement.
Softer Brush	Forme plus douce
Solarize	Solarisation
Solid Color…	Couleur unie…
Solidity	Solidité
Source	Source
Source 1	Source 1
Source 2	Source 2
Source Space	Espace source
Spectrum	Spectre
Spherize…	Sphérisation…
Spin Blur…	Flou de rotation…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Divise le calque actif en calques de détail en Lumière linéaire sur un résidu, le plus fin en haut ; ensemble ils recomposent le calque.
Spot Channel	Couche de ton direct
Spot Channel Options…	Options de couche de ton direct…
Spot channel: composited over the image as its ink	Couche de ton direct : composée sur l’image comme son encre
Square	Carré
Squeeze	Compression
Stack Mode	Mode de pile
Stamp Visible	Tampon des calques visibles
Standard	Standard
Standard Deviation	Écart type
Standard ligatures	Ligatures standard
Step Backward	Étape précédente
Step Forward	Étape suivante
Stop	Arrêter
Straighten Layer	Redresser le calque
Strength	Intensité
Stroke	Contour
Stroke path with the foreground colour at the brush size, on a new shape layer	Tracer le contour du tracé avec la couleur de premier plan à la taille de la forme, sur un nouveau calque de forme
Stroke…	Contour…
Style	Style
Styles	Styles
Styles enabled	Styles activés
Stylize	Esthétiques
Sub	Indice
Subject	Sujet
Subtract	Soustraction
Subtract Front Shape	Soustraire la forme de premier plan
Subtract from Selection	Soustraire de la sélection
Summation	Somme
Sunset	Coucher de soleil
Super	Exposant
Superscript raises and shrinks the text; subscript lowers and shrinks it.	L’exposant élève et réduit le texte ; l’indice l’abaisse et le réduit.
Surface Blur…	Flou de surface…
Swap colours  (X)	Permuter les couleurs  (X)
Swap foreground and background (X)	Permuter premier plan et arrière-plan (X)
Swatches	Nuancier
TGA…	TGA…
TIF…	TIF…
Templates	Modèles
Text	Texte
Text Properties	Propriétés du texte
